 	on	a	augmenté	la	paie	des	trvailleurs	</S>
a40	0.396077	0.158801	0.0675172	0.047035	0.0532295	0.0619942	0.0941478	0.121198
a14	0.113045	0.108517	0.10702	0.108297	0.0960924	0.0899234	0.165249	0.211856
a0	0.485937	0.277774	0.118877	0.0570483	0.0232608	0.0115654	0.0110561	0.0144802
a43	0.43782	0.314845	0.1209	0.0494478	0.0217408	0.0155628	0.016208	0.0234762
a75	0.449333	0.299269	0.119534	0.0505336	0.0271902	0.016416	0.0157717	0.0219521
a41	0.411306	0.289481	0.116673	0.0586383	0.0409671	0.0272652	0.0251971	0.0304721
a43	0.183136	0.189886	0.189899	0.136505	0.0982635	0.0648606	0.0629147	0.0745354
a31	0.167457	0.164216	0.245044	0.17142	0.107393	0.0454167	0.0439576	0.0550962
a24	0.11511	0.126215	0.228746	0.221529	0.172792	0.0547374	0.0390715	0.0417993
a9	0.0713866	0.0746439	0.158209	0.226186	0.252756	0.0858832	0.0629288	0.0680066
a87	0.0640957	0.0647097	0.135489	0.189706	0.216386	0.112128	0.101195	0.116291
a23	0.0306292	0.0378206	0.0872508	0.119458	0.117981	0.139337	0.194799	0.272724
a83	0.0420209	0.0527755	0.0900139	0.147634	0.167151	0.115756	0.154247	0.230401
a70	0.0603325	0.0757258	0.0950202	0.145022	0.162358	0.131318	0.155137	0.175086
a90	0.0156729	0.0216134	0.0559966	0.112554	0.184263	0.184106	0.194432	0.231362
a25	0.0130544	0.0172078	0.0410682	0.105207	0.210294	0.1775	0.203494	0.232173
a90	0.0100666	0.0141414	0.0308101	0.0768377	0.195745	0.206129	0.229517	0.236753
a35	0.00595425	0.00882325	0.0201823	0.0471996	0.138661	0.180122	0.281814	0.317244
a21	0.00955198	0.0121689	0.0188154	0.0379006	0.101303	0.167894	0.318772	0.333594
a96	0.00973971	0.0117408	0.0180209	0.0339169	0.087565	0.162455	0.323437	0.353125
a62	0.00742015	0.0113477	0.0207949	0.039669	0.0770019	0.140306	0.32038	0.38308
a24	0.00443173	0.00632376	0.0121523	0.0252365	0.0571712	0.120378	0.321572	0.452734
a61	0.00246275	0.00336163	0.00734419	0.0181931	0.0494955	0.131669	0.304206	0.483268
a21	0.00231127	0.00330072	0.00647587	0.0151435	0.0439269	0.112224	0.321635	0.494984
a41	0.00253904	0.00356589	0.00660281	0.0158565	0.0495345	0.114628	0.320611	0.486662
a84	0.00377219	0.00681497	0.0129046	0.0309661	0.0718213	0.166716	0.296203	0.410802
a87	0.00243446	0.00309006	0.00503328	0.0164955	0.0554357	0.135051	0.329596	0.452864
</S>	0.0602506	0.0478517	0.0492975	0.0799807	0.12755	0.154039	0.224439	0.256592
