 	cette	année	les	régimes	de	bananes	sont	gros	</S>
a23	0.20662	0.13595	0.132642	0.148417	0.126757	0.0747553	0.0611679	0.0565706	0.05712
a10	0.460665	0.218199	0.0972982	0.0702843	0.0397781	0.0228426	0.0246552	0.0328887	0.0333893
a87	0.293966	0.203648	0.130204	0.0866832	0.0582458	0.0377559	0.0458472	0.0636135	0.0800362
a23	0.231086	0.19302	0.123263	0.0687181	0.0563918	0.0473774	0.0624943	0.0897393	0.127909
a44	0.439968	0.183831	0.0744645	0.0377008	0.0267581	0.0276341	0.0417788	0.0710658	0.0967986
a56	0.506174	0.242838	0.0893143	0.0564276	0.0279405	0.0188972	0.0177705	0.0216226	0.019016
a90	0.417111	0.271981	0.133322	0.0706566	0.0322207	0.0190207	0.0178009	0.0194952	0.0183921
a75	0.229442	0.192333	0.156303	0.131258	0.0757181	0.051872	0.0518615	0.055402	0.05581
a35	0.215976	0.185001	0.163198	0.135119	0.0778928	0.0551241	0.0543303	0.055322	0.058038
a73	0.19365	0.201972	0.189476	0.143524	0.0771183	0.0500025	0.0484657	0.0466613	0.0491302
a69	0.129727	0.165172	0.184341	0.169949	0.108087	0.0695451	0.0619065	0.0540148	0.0572575
a76	0.0938441	0.13168	0.162138	0.161922	0.109179	0.078217	0.0795802	0.082263	0.101177
a20	0.0977024	0.151563	0.186657	0.156671	0.101952	0.0864724	0.0854208	0.0694701	0.0640912
a84	0.0765593	0.144376	0.195642	0.160318	0.103129	0.0794535	0.0778791	0.0733054	0.0893377
a40	0.0591916	0.097279	0.146775	0.157145	0.1122	0.0880462	0.0932873	0.102591	0.143485
a73	0.0566376	0.0801136	0.101708	0.123253	0.114498	0.126819	0.138802	0.122197	0.135972
a84	0.0561024	0.105276	0.152589	0.173427	0.128747	0.104925	0.099546	0.0871096	0.0922777
a53	0.0620559	0.0710592	0.0983278	0.145327	0.119199	0.102462	0.116553	0.123311	0.161705
a15	0.0567025	0.0566887	0.0595744	0.0821057	0.0760886	0.0930471	0.138018	0.165244	0.272531
a41	0.0374922	0.0420598	0.0616242	0.1165	0.119027	0.13873	0.166738	0.153754	0.164074
a66	0.0280506	0.0329029	0.0461022	0.0875859	0.112529	0.143916	0.169901	0.171925	0.207088
a75	0.021067	0.0204568	0.0253318	0.0492366	0.0680627	0.118153	0.176992	0.215295	0.305405
a41	0.0298428	0.0277996	0.0324001	0.0524993	0.0729828	0.139601	0.198396	0.198955	0.247524
a35	0.0218876	0.0196052	0.025769	0.0456174	0.0741832	0.141492	0.192756	0.219204	0.259486
a75	0.0402213	0.0333502	0.0375674	0.0527582	0.0790336	0.144841	0.18623	0.194988	0.231011
a41	0.0260447	0.0227148	0.0279016	0.0467456	0.0705294	0.144576	0.210019	0.219257	0.232212
a37	0.0251219	0.0203575	0.0237467	0.039194	0.065622	0.129108	0.189008	0.238348	0.269494
a75	0.0338558	0.0288282	0.0323402	0.0404187	0.0470883	0.0922428	0.162217	0.231787	0.331222
a5	0.0379703	0.0302793	0.0308925	0.0435362	0.0598566	0.112992	0.182963	0.228038	0.273472
a18	0.0374071	0.0285125	0.0277404	0.0336356	0.0433679	0.0806508	0.147545	0.236065	0.365075
a82	0.0200593	0.0142338	0.0165173	0.0216751	0.0250441	0.0448954	0.107633	0.243644	0.506298
a87	0.0055403	0.00378559	0.00445931	0.00693228	0.013577	0.0363502	0.101762	0.239449	0.588144
</S>	0.00486958	0.00337183	0.00332052	0.0039902	0.0108252	0.036598	0.100485	0.238152	0.598388
