 	la	mère	est	en	colère	contre	sa	fille	qui	s'	est	livrée	à	la	débauche	</S>
a87	0.0420007	0.0391297	0.032566	0.0383487	0.0721898	0.114191	0.110796	0.109057	0.11081	0.0977522	0.093714	0.083795	0.0321479	0.0131083	0.00605474	0.0043387
a23	0.275068	0.172771	0.0804321	0.0450763	0.0280124	0.0283091	0.0228684	0.0299873	0.0307699	0.0510917	0.0670276	0.0298771	0.0329131	0.0256741	0.0362486	0.0438731
a99	0.0974232	0.0695521	0.0682095	0.0671545	0.0666363	0.0639353	0.0549332	0.0686235	0.0655701	0.068075	0.0677373	0.0513209	0.0500417	0.034518	0.0381016	0.0681676
a97	0.0865012	0.0786533	0.0741539	0.0692734	0.066323	0.0719322	0.0540561	0.0620289	0.0558733	0.057234	0.0550485	0.0700737	0.0589378	0.0380918	0.0432093	0.0586093
a87	0.0912356	0.0855358	0.0998538	0.102089	0.084123	0.0873552	0.0568244	0.0578821	0.0526481	0.0524096	0.0483622	0.0463944	0.0489129	0.035312	0.027129	0.0239328
a23	0.15461	0.128999	0.115732	0.0980993	0.0665011	0.0595163	0.0411262	0.0438486	0.0431654	0.0466256	0.0467673	0.0336524	0.0389702	0.0325485	0.027343	0.0224952
a83	0.137816	0.134997	0.141017	0.116777	0.0672143	0.0553097	0.0333231	0.0337453	0.0322937	0.0379147	0.0345851	0.0331561	0.0433359	0.0354356	0.0316679	0.0314125
a30	0.15963	0.19734	0.189121	0.138273	0.0733891	0.0446217	0.0236951	0.0186297	0.0160388	0.0195558	0.0183842	0.015776	0.0195957	0.0183738	0.0206058	0.0269718
a53	0.146415	0.177202	0.163628	0.126536	0.0890635	0.0570022	0.0333162	0.0277055	0.0227155	0.0244972	0.02367	0.0254357	0.021642	0.0213406	0.0172924	0.0225377
a15	0.0833899	0.118557	0.146536	0.118293	0.0809487	0.0517501	0.0344681	0.0291326	0.0269055	0.0286518	0.0268976	0.0290873	0.0323807	0.0400971	0.0555473	0.0973566
a79	0.057504	0.0775933	0.0972651	0.094735	0.0889276	0.0650069	0.0501478	0.0434199	0.0411722	0.0403295	0.0361018	0.042646	0.0385542	0.0435586	0.0661889	0.116849
a56	0.0462191	0.0619009	0.091181	0.101235	0.0986847	0.0721929	0.0589796	0.0531312	0.0475489	0.0445209	0.0398074	0.0430485	0.03817	0.0399813	0.0580374	0.105362
a44	0.0417638	0.0464442	0.0784146	0.117733	0.129499	0.0901507	0.0718595	0.0661622	0.0592498	0.0542671	0.0474835	0.0495551	0.0357261	0.0302056	0.0298288	0.0516563
a98	0.0289314	0.0289465	0.0527523	0.0957615	0.128383	0.0974089	0.0820762	0.0779621	0.0700662	0.063327	0.0555701	0.0629848	0.0397836	0.0344689	0.0307436	0.0508337
a85	0.0179865	0.018544	0.0323519	0.072619	0.113125	0.0858759	0.0769285	0.0732709	0.0690252	0.0657718	0.0601156	0.0724765	0.0550966	0.0481332	0.0495212	0.0891579
a5	0.0258114	0.0267201	0.0419548	0.0847986	0.117328	0.0881719	0.0767923	0.0681411	0.0618712	0.0579023	0.0547874	0.0641221	0.0553762	0.050676	0.048578	0.0769681
a23	0.0145408	0.0136497	0.018649	0.0349402	0.0931019	0.0774058	0.0764117	0.0819739	0.0727019	0.0750366	0.0798784	0.102824	0.0658172	0.0540549	0.0520989	0.0869154
a21	0.0136152	0.0131856	0.0180105	0.0307143	0.0672636	0.0588771	0.0604139	0.0652394	0.0600291	0.0603511	0.0657966	0.0926765	0.0692966	0.0704898	0.0994636	0.154577
a75	0.0185448	0.0162319	0.0204292	0.0297492	0.0687724	0.0664509	0.0742003	0.0794025	0.0708799	0.0687836	0.0711762	0.0910991	0.0633237	0.0663933	0.0829477	0.111615
a92	0.0110526	0.00931067	0.0106604	0.0154969	0.0352395	0.0379955	0.0535719	0.0681135	0.0699998	0.0756429	0.0829524	0.121102	0.0837264	0.0817834	0.0961804	0.147172
a37	0.00686827	0.00515061	0.00544653	0.00846485	0.0223549	0.0259418	0.0397176	0.0549885	0.0616981	0.0674654	0.0722991	0.112724	0.0975908	0.103505	0.131566	0.184219
a79	0.0039508	0.00267096	0.00337112	0.00656568	0.0230978	0.0302024	0.0506919	0.0780319	0.0853325	0.0892357	0.0910409	0.138022	0.0908482	0.0763654	0.0905462	0.140026
a37	0.00375639	0.00247725	0.00277513	0.00475089	0.015642	0.0211478	0.0360963	0.0568594	0.0655231	0.0713274	0.0762084	0.116022	0.0953718	0.0957237	0.136059	0.200259
a92	0.002175	0.00162796	0.00192564	0.00358383	0.0135951	0.0204919	0.0350704	0.062718	0.0755353	0.0841905	0.0876061	0.156491	0.108611	0.0861735	0.105227	0.154978
a56	0.006897	0.00458923	0.00496843	0.00700489	0.0138907	0.0154136	0.0206101	0.0284686	0.032673	0.0415202	0.0521108	0.105135	0.0996027	0.108914	0.192911	0.265291
a93	0.00182569	0.00123522	0.00155237	0.00322307	0.0123862	0.0149245	0.023134	0.0384665	0.0502199	0.0689884	0.0820521	0.145366	0.131269	0.110024	0.132594	0.182739
a70	0.00141538	0.000980518	0.00126526	0.00257715	0.0101662	0.0138934	0.0224039	0.0403939	0.0541517	0.0728607	0.0829748	0.147622	0.125992	0.102273	0.130262	0.190768
a62	0.00117386	0.000909192	0.00106728	0.00200252	0.00694698	0.00962402	0.0153026	0.0304455	0.0409232	0.058243	0.0714271	0.149553	0.140315	0.117464	0.16272	0.191883
a70	0.0015885	0.0012845	0.00135043	0.00243241	0.00752562	0.00952144	0.0147656	0.0300039	0.0443338	0.0665321	0.0833811	0.17223	0.141568	0.115019	0.142773	0.165691
a13	0.00194512	0.00155089	0.00161598	0.0026941	0.00748993	0.00893396	0.0137543	0.0268317	0.0388675	0.0549655	0.0662383	0.149938	0.143531	0.13441	0.174044	0.17319
a99	0.00136855	0.00114511	0.00114725	0.00176964	0.00532433	0.00847584	0.0133316	0.0263216	0.042477	0.0614233	0.0735832	0.177376	0.150447	0.138484	0.153763	0.143562
a97	0.00338537	0.00258346	0.00284937	0.00402997	0.00835426	0.0109901	0.0159709	0.0270278	0.0400271	0.0519935	0.0593035	0.21567	0.164387	0.141295	0.13922	0.112912
a99	0.0162204	0.0104666	0.0106848	0.0134727	0.0202012	0.0223634	0.0290028	0.0408477	0.0513307	0.0687486	0.0801936	0.171859	0.159195	0.125365	0.092576	0.0874727
a97	0.0271247	0.0149763	0.0117377	0.0127586	0.0187407	0.0212383	0.0294363	0.044121	0.0556967	0.0779966	0.0967193	0.140988	0.143615	0.109669	0.0879546	0.107227
a87	0.037276	0.0209766	0.0134158	0.013511	0.0199509	0.0245939	0.0390931	0.0572298	0.0733057	0.0929955	0.100233	0.0909288	0.105622	0.106189	0.10023	0.104449
a23	0.0636879	0.0390098	0.01988	0.0160977	0.0227096	0.0298606	0.0451403	0.057773	0.0677329	0.0891614	0.0961512	0.0521724	0.0757261	0.0963128	0.110641	0.117943
a50	0.0244085	0.0144214	0.00957653	0.00928428	0.0111245	0.0122485	0.0157056	0.0233644	0.0277007	0.0500001	0.0681438	0.0301712	0.0775427	0.116111	0.191704	0.318493
a62	0.000494495	0.0003217	0.000324101	0.000425857	0.000917758	0.00136387	0.00233389	0.00445157	0.00558298	0.00970015	0.0112945	0.0132941	0.0428698	0.120415	0.331473	0.454738
a88	0.000263953	0.000198837	0.000232891	0.000388317	0.00111226	0.00147119	0.00243971	0.00515579	0.00650299	0.0113764	0.0150856	0.0207293	0.0453229	0.099646	0.295627	0.494447
a62	0.000191171	0.000152758	0.000194857	0.000329899	0.000936576	0.0014121	0.00245726	0.00594163	0.00791657	0.0137914	0.0181825	0.0256787	0.0478104	0.0926074	0.291937	0.490459
a88	0.000301355	0.000221147	0.000267048	0.000432187	0.00121607	0.00152989	0.00270266	0.00652514	0.00866543	0.0153725	0.0210119	0.0283031	0.0580378	0.111963	0.311408	0.432043
a43	0.000409738	0.000299562	0.000351568	0.000556604	0.00139336	0.00161818	0.00270427	0.00625587	0.00840571	0.0149801	0.0203299	0.027313	0.0600479	0.113486	0.328487	0.413361
a11	0.000313762	0.000229696	0.00025446	0.000390668	0.00115366	0.00157866	0.00256287	0.00566576	0.00763114	0.0131857	0.0184196	0.0341126	0.0674533	0.118821	0.325978	0.402249
a93	0.000502671	0.00036811	0.000403885	0.000647658	0.00164753	0.0020218	0.00270595	0.00491007	0.00605058	0.0105246	0.0151149	0.0313494	0.0676829	0.12635	0.331768	0.397952
a90	0.000215499	0.00015042	0.000185717	0.000318015	0.000831362	0.000947148	0.00149837	0.00312241	0.00416409	0.00793718	0.0118267	0.0186283	0.0438826	0.0902467	0.322589	0.493457
a79	4.98435e-05	3.72103e-05	4.01291e-05	7.08911e-05	0.000235025	0.000378738	0.000666695	0.00133596	0.00203965	0.0037484	0.00570383	0.0118169	0.0266701	0.0684586	0.333995	0.544753
a56	4.14853e-05	2.95626e-05	3.6061e-05	6.90846e-05	0.000230295	0.000395549	0.000731241	0.00156827	0.00254718	0.00446143	0.00612677	0.0117337	0.0246897	0.0541997	0.288707	0.604433
a93	5.49694e-05	3.96886e-05	4.05637e-05	7.05819e-05	0.000197137	0.000271084	0.000453425	0.00105077	0.00174601	0.00356385	0.00548046	0.0125776	0.0304154	0.0735366	0.316594	0.553908
a4	4.71375e-05	3.25205e-05	3.38976e-05	6.47448e-05	0.000212903	0.000324016	0.000578016	0.00146782	0.00243665	0.00489721	0.0073691	0.0148567	0.0366291	0.0666983	0.274459	0.589893
a13	4.2075e-05	2.7841e-05	2.79486e-05	5.35155e-05	0.000170605	0.000258933	0.000415934	0.000982472	0.00150579	0.00310734	0.004969	0.0126225	0.0341823	0.0660732	0.297294	0.578266
a53	7.25948e-05	4.12414e-05	3.56529e-05	5.09696e-05	0.000163326	0.000265963	0.000450827	0.0010125	0.00143555	0.00242302	0.0031079	0.00811137	0.0214391	0.0415695	0.245306	0.674514
a93	2.78202e-05	1.90046e-05	1.85218e-05	2.93282e-05	7.48407e-05	0.000122489	0.000196833	0.000469337	0.000731335	0.00143374	0.00230067	0.00575059	0.0176869	0.0344546	0.251662	0.685022
a54	4.35521e-05	2.66833e-05	2.47193e-05	4.55742e-05	0.000155025	0.000234283	0.000390286	0.000960103	0.00141348	0.00293573	0.0045411	0.0106943	0.031668	0.0544271	0.255513	0.636927
a36	6.34132e-05	4.55982e-05	4.42508e-05	5.9746e-05	0.000123645	0.000152658	0.000223963	0.000463283	0.000629082	0.00117236	0.00172965	0.00391071	0.0142525	0.0323112	0.279001	0.665817
a26	0.000133223	8.1906e-05	7.69855e-05	0.000102636	0.00023378	0.000300723	0.00045114	0.000854919	0.000965991	0.00155063	0.00173782	0.00490822	0.0154753	0.0332755	0.257448	0.682404
a57	0.00701528	0.00470951	0.00492034	0.00589019	0.00810703	0.00686453	0.007515	0.00828341	0.00925116	0.0124911	0.0106986	0.0151305	0.0310634	0.085568	0.371699	0.410793
a97	0.103157	0.0617216	0.0387793	0.0282041	0.022403	0.0149282	0.014924	0.0157444	0.0164389	0.0253933	0.0287036	0.0320422	0.053171	0.0851856	0.199387	0.259817
a99	0.148873	0.0927484	0.0447503	0.0277592	0.0212599	0.0161972	0.018473	0.0221369	0.0253969	0.0451595	0.0607996	0.0519144	0.0645892	0.0689998	0.113229	0.177713
a87	0.107331	0.067133	0.0271361	0.0133737	0.0108455	0.00956044	0.0139395	0.0216205	0.0285997	0.0541735	0.0735128	0.0408209	0.0568954	0.0580687	0.12753	0.289459
a23	0.080679	0.0593251	0.0317477	0.0192236	0.0168019	0.016887	0.026161	0.0382328	0.0459464	0.071985	0.0772968	0.036197	0.0476044	0.0437879	0.0970932	0.291031
a57	0.0341234	0.0239389	0.0162562	0.00956341	0.00624079	0.0047736	0.00722052	0.0125587	0.0153495	0.0331174	0.0427246	0.0127313	0.0613887	0.0923019	0.220114	0.407597
a3	0.0188156	0.0129882	0.0096286	0.00689309	0.00777769	0.00698981	0.00962862	0.0147886	0.016834	0.0315053	0.0389856	0.0111169	0.0429207	0.0573242	0.189258	0.524545
a97	0.0457775	0.0340116	0.0216969	0.01412	0.0176942	0.0181356	0.023918	0.0320348	0.0360053	0.0528584	0.0594037	0.0223973	0.0412737	0.0462133	0.128476	0.405984
a87	0.0508352	0.0353462	0.0219931	0.0160931	0.0210025	0.0221565	0.0284464	0.0376699	0.0446199	0.0635186	0.0691902	0.0270034	0.0413663	0.0450037	0.113089	0.362666
</S>	0.0830156	0.063303	0.0367088	0.0242726	0.028127	0.0299421	0.0361078	0.0449701	0.0508861	0.0672953	0.0691661	0.0279122	0.0361681	0.0333989	0.0737211	0.295005
