 	j'	ai	entendu	le	bruit	d'	un	éléphant	</S>
a23	0.390964	0.197669	0.123407	0.0834374	0.0594103	0.0417368	0.0292115	0.0323189	0.041846
a85	0.386527	0.191153	0.076258	0.0622465	0.0611822	0.0504318	0.0515821	0.0623594	0.0582604
a87	0.31413	0.226713	0.154676	0.0760506	0.0433816	0.0296881	0.027404	0.0464873	0.0814694
a23	0.165064	0.161133	0.155974	0.12255	0.0884214	0.0687288	0.0554823	0.0759729	0.106673
a38	0.267735	0.230595	0.180821	0.0922975	0.0504908	0.041526	0.0346464	0.0466611	0.0552271
a26	0.362333	0.283254	0.201475	0.0919069	0.0341168	0.0109258	0.00532861	0.00500834	0.00565166
a83	0.267113	0.250842	0.236082	0.13576	0.0608579	0.0224249	0.00981863	0.00792773	0.00917362
a76	0.177899	0.17851	0.204616	0.178826	0.124224	0.0603918	0.0292028	0.0218886	0.0244415
a56	0.161411	0.158461	0.191772	0.197645	0.151269	0.0686609	0.0312244	0.0199984	0.0195582
a35	0.137821	0.144906	0.18653	0.203821	0.161486	0.0811165	0.0384741	0.0239432	0.0219023
a24	0.111914	0.100606	0.12478	0.190397	0.185571	0.128101	0.0735046	0.0444211	0.0407046
a26	0.0689863	0.0725308	0.0848776	0.132925	0.13485	0.127469	0.130746	0.122425	0.12519
a35	0.0311688	0.0320226	0.0442898	0.0878683	0.13241	0.144831	0.150305	0.16754	0.209565
a76	0.0368479	0.0362999	0.0480509	0.0961235	0.14325	0.164749	0.180225	0.15608	0.138374
a35	0.0510658	0.0418376	0.042775	0.0618759	0.103267	0.151226	0.199505	0.188308	0.160139
a30	0.0325442	0.0279408	0.0303133	0.0424727	0.0718536	0.127106	0.204094	0.243275	0.220401
a14	0.0188927	0.0175152	0.0217496	0.0343771	0.056927	0.110264	0.193447	0.27355	0.273277
a35	0.0183204	0.0150873	0.0174634	0.0260653	0.0404231	0.0883196	0.182531	0.296043	0.315747
a90	0.0150756	0.0101936	0.0119642	0.0211496	0.0368876	0.0782219	0.172603	0.307739	0.346165
a56	0.00795182	0.00371324	0.00326315	0.00638378	0.0149442	0.0408926	0.131588	0.333561	0.457703
a34	0.0147981	0.00586477	0.00395273	0.00879227	0.0199592	0.0495832	0.137864	0.314755	0.444431
a98	0.00350741	0.00168453	0.00154999	0.0035719	0.00964748	0.0289309	0.100794	0.30409	0.546224
a9	0.0108217	0.00429632	0.00317855	0.00652724	0.0150541	0.043774	0.121127	0.310203	0.485018
a87	0.0109878	0.00445614	0.00321313	0.00608968	0.0163808	0.0510495	0.118819	0.263911	0.525093
</S>	0.0103722	0.00687102	0.0069646	0.00819774	0.0169956	0.0653158	0.155852	0.333744	0.395688
