 	tout	s'	était	passé	comme	le	chef	l'	avait	prédit	</S>
a66	0.355681	0.205002	0.123727	0.0681012	0.0633758	0.0536397	0.0538573	0.0287414	0.0233115	0.0158639	0.00869905
a87	0.36529	0.140997	0.0648882	0.0461693	0.0650026	0.075214	0.0697269	0.0481337	0.033037	0.0404711	0.0510701
a97	0.178049	0.0939331	0.0713068	0.050055	0.052567	0.0874543	0.137451	0.131655	0.0661355	0.0705404	0.0608536
a87	0.110234	0.0724214	0.0695964	0.0558654	0.0678853	0.105233	0.146738	0.13451	0.0738104	0.0925595	0.0711461
a97	0.109749	0.0641034	0.0520172	0.040584	0.0547148	0.0965488	0.140046	0.146326	0.0885168	0.115824	0.0915696
a79	0.116929	0.0699966	0.0596425	0.049023	0.0587968	0.0848674	0.114332	0.131346	0.0894055	0.129058	0.0966028
a90	0.237788	0.140663	0.105787	0.0654409	0.0423742	0.0522088	0.0813636	0.0855502	0.0595028	0.0788587	0.0504619
a75	0.322308	0.275619	0.189419	0.0855713	0.0387647	0.0218162	0.0200319	0.0136978	0.0108419	0.0126746	0.00925512
a56	0.209932	0.226343	0.22424	0.15276	0.069151	0.0354155	0.0316623	0.018999	0.016431	0.00904014	0.00602578
a96	0.184178	0.200511	0.232215	0.165255	0.0792278	0.0449333	0.040668	0.0223975	0.0190022	0.00673442	0.00487822
a75	0.172173	0.194529	0.244908	0.160453	0.0746313	0.0454443	0.0456086	0.0267839	0.0217472	0.00798469	0.00573711
a37	0.129015	0.149825	0.216387	0.170844	0.107479	0.0629307	0.0572425	0.0409827	0.0384201	0.0159618	0.0109123
a26	0.0982869	0.114873	0.190581	0.186464	0.135179	0.087369	0.0765396	0.0472395	0.0380362	0.0145547	0.0108762
a11	0.0637909	0.0691742	0.114148	0.166509	0.160116	0.127211	0.119464	0.0669292	0.0478784	0.0294943	0.0352838
a62	0.0665005	0.0602187	0.0930509	0.136925	0.144015	0.128826	0.128476	0.0862015	0.0643505	0.0422822	0.0491536
a96	0.0436994	0.0350315	0.0511587	0.0758269	0.116034	0.151756	0.17397	0.125967	0.110498	0.060985	0.055073
a34	0.0218112	0.018446	0.032326	0.0588177	0.109406	0.160839	0.189887	0.150669	0.12161	0.0776247	0.0585639
a75	0.0205315	0.0176953	0.0293805	0.049245	0.095327	0.150175	0.18455	0.158771	0.128581	0.0928509	0.0728929
a5	0.00764097	0.00800877	0.015129	0.028553	0.0722588	0.115484	0.142068	0.154705	0.154456	0.144027	0.157671
a37	0.0266226	0.0221874	0.0306276	0.0415634	0.0848473	0.12643	0.145852	0.136954	0.127332	0.11967	0.137915
a47	0.0139164	0.0117693	0.0180226	0.0287187	0.0695772	0.120712	0.150772	0.155168	0.144996	0.134529	0.151819
a96	0.0123816	0.0103287	0.0151065	0.0256836	0.0667696	0.119528	0.145239	0.140832	0.129541	0.145302	0.189289
a62	0.00976418	0.00785284	0.0111572	0.0179117	0.0448526	0.0890245	0.121289	0.145751	0.152762	0.17983	0.219804
a21	0.00595371	0.00483121	0.00732847	0.0130847	0.0322303	0.0688541	0.0966629	0.132688	0.150516	0.22201	0.265841
a5	0.00510658	0.00409233	0.00599307	0.0106041	0.0249642	0.0563497	0.0838053	0.13656	0.15422	0.239629	0.278675
a43	0.00379546	0.00314533	0.00483583	0.00982203	0.0245677	0.047932	0.0728897	0.131149	0.16105	0.239753	0.301059
a47	0.00223541	0.00181363	0.00248634	0.00521689	0.0160395	0.0342012	0.0551069	0.0969946	0.127575	0.267897	0.390434
a34	0.00222778	0.00178018	0.00207356	0.00439808	0.0157267	0.0349491	0.055114	0.105148	0.13922	0.272429	0.366933
a93	0.00152399	0.00123269	0.00157487	0.00328056	0.010622	0.0227155	0.0361324	0.0727115	0.107762	0.267028	0.475416
a13	0.00140607	0.00121035	0.00150007	0.00289424	0.00868591	0.0198086	0.0328895	0.0731278	0.103744	0.263895	0.490838
