 	il	faut	que	les	gens	offrent	des	sacrifices	à	dieu	</S>
a66	0.173242	0.285429	0.219568	0.161888	0.0749022	0.0299931	0.0125649	0.0113495	0.010501	0.0112123	0.00934975
a87	0.246311	0.30285	0.192138	0.105661	0.0404092	0.0175275	0.0101717	0.0140183	0.0220539	0.0255241	0.0233353
a23	0.377657	0.245026	0.143956	0.0718185	0.0315735	0.0198589	0.0133265	0.0163865	0.0247764	0.0273007	0.0283202
a87	0.335919	0.210396	0.111701	0.0521564	0.0281072	0.0266604	0.0230852	0.03058	0.047013	0.0550953	0.0792873
a97	0.311138	0.203125	0.121553	0.0607912	0.0337795	0.0340076	0.0327001	0.0421365	0.0508955	0.0517021	0.058172
a99	0.25633	0.188156	0.117928	0.0714416	0.0466313	0.0482055	0.0323944	0.0356422	0.0510919	0.0621414	0.0900372
a54	0.215401	0.213517	0.140539	0.0838299	0.0536831	0.0434614	0.0207997	0.0219381	0.0378447	0.061928	0.107058
a92	0.229796	0.24166	0.161956	0.118158	0.0777942	0.0621706	0.0225115	0.014881	0.0175072	0.024222	0.0293426
a12	0.186012	0.194413	0.143794	0.118159	0.0926134	0.0930222	0.0509293	0.0341889	0.0286621	0.028895	0.029312
a18	0.188758	0.171776	0.12805	0.122268	0.100518	0.0951831	0.0515713	0.0407174	0.0348694	0.0339132	0.0323752
a75	0.120905	0.102295	0.0902631	0.0963808	0.0975165	0.122514	0.0916476	0.0764428	0.0716282	0.069098	0.0613089
a47	0.045985	0.0626951	0.0740528	0.108959	0.127178	0.154614	0.102661	0.102777	0.0878397	0.0705217	0.062716
a15	0.0733667	0.0875944	0.0949707	0.117565	0.127879	0.152232	0.0984561	0.0813391	0.0665623	0.0510584	0.0489759
a98	0.069563	0.0784491	0.0810128	0.0866954	0.0889231	0.119641	0.0944551	0.107389	0.105348	0.0873247	0.081199
a15	0.0432687	0.0532915	0.05902	0.0797079	0.10306	0.148359	0.122225	0.135494	0.119149	0.0832659	0.0531595
a7	0.0367718	0.0399997	0.0446308	0.0610785	0.0846788	0.124613	0.112008	0.147365	0.15481	0.116749	0.0772943
a47	0.0221009	0.0208921	0.0217636	0.023595	0.0341376	0.0568027	0.0735806	0.141928	0.210546	0.207892	0.186761
a25	0.00930002	0.008439	0.00955183	0.0139223	0.0244206	0.0477297	0.0705814	0.165137	0.232457	0.22449	0.19397
a79	0.00245675	0.00219685	0.00245169	0.00366042	0.00693349	0.0155735	0.0313122	0.0950343	0.206836	0.260418	0.373127
a56	0.00180524	0.00131815	0.00136268	0.00210101	0.00444789	0.012496	0.0357093	0.12156	0.230318	0.288462	0.30042
a47	0.00113327	0.000684938	0.000677675	0.000933138	0.00170556	0.00456935	0.0201934	0.0840537	0.195026	0.290008	0.401015
a75	0.000874317	0.000443604	0.000360068	0.000516496	0.0010766	0.00321905	0.0185833	0.0836524	0.189365	0.292266	0.409644
a5	0.000760096	0.000553652	0.000590543	0.00113681	0.00244363	0.00641727	0.0258517	0.0822584	0.159376	0.277287	0.443325
a37	0.00105792	0.000701542	0.000703766	0.00121344	0.0021034	0.00393919	0.0128783	0.0459888	0.116224	0.260779	0.554411
a75	0.00197829	0.00122162	0.00110203	0.0017161	0.00288675	0.00537918	0.0167411	0.0548298	0.126698	0.271094	0.516353
a92	0.00162506	0.00119414	0.0011629	0.00197012	0.00337383	0.00625513	0.0157294	0.0506101	0.119457	0.264088	0.534534
a37	0.00163984	0.00118868	0.00114559	0.00187922	0.00320322	0.00625418	0.016048	0.052039	0.120553	0.266496	0.529554
a96	0.00482584	0.0035791	0.00306033	0.00412618	0.00595837	0.00992181	0.0231829	0.0567214	0.115178	0.251718	0.521728
a18	0.00328695	0.00267	0.00271188	0.00467105	0.00802427	0.0141349	0.0310427	0.0681629	0.13275	0.251613	0.480933
a71	0.00686256	0.00527175	0.0036676	0.0038928	0.00542586	0.0119881	0.0329021	0.0728653	0.133373	0.263888	0.459863
a9	0.04544	0.024322	0.0153424	0.0126474	0.0130982	0.0194524	0.0441033	0.0968781	0.154964	0.231307	0.342445
a3	0.284031	0.163434	0.100686	0.0618664	0.04687	0.0435936	0.0536689	0.0590176	0.0640141	0.0604101	0.0624073
a87	0.170141	0.09968	0.0628947	0.0380067	0.0306925	0.0346491	0.058181	0.0830798	0.11113	0.12824	0.183306
a23	0.142972	0.0869629	0.0603568	0.0396976	0.0313155	0.0333028	0.05625	0.0944081	0.119839	0.143364	0.191532
a99	0.0391271	0.0194048	0.0112117	0.00908815	0.00914479	0.016907	0.0364939	0.0739865	0.153208	0.218879	0.412549
a97	0.022802	0.0130647	0.00950388	0.0119903	0.016164	0.0316089	0.0591827	0.0890541	0.172043	0.211598	0.362988
</S>	0.018304	0.0130395	0.00994017	0.0109192	0.0140657	0.0268386	0.0510595	0.0830604	0.16642	0.21197	0.394383
