 	je	ne	veux	pas	que	tu	restes	près	de	moi	parce	que	tu	ennuyeux	</S>
a66	0.102124	0.0988311	0.123698	0.163703	0.152175	0.12722	0.102692	0.0466964	0.0222839	0.0205393	0.0147261	0.00926122	0.00641861	0.00556454	0.00406546
a87	0.358147	0.233171	0.120319	0.068784	0.0349708	0.0270623	0.0248142	0.00808784	0.00796153	0.0108902	0.0152556	0.0183191	0.0252198	0.0250804	0.0219176
a23	0.401727	0.219839	0.119354	0.0680091	0.0443419	0.0352983	0.0320158	0.0190267	0.0133035	0.0111621	0.00968929	0.00658956	0.00657321	0.0050693	0.0080013
a87	0.447469	0.225655	0.0802935	0.0328784	0.0203604	0.016001	0.0150004	0.0137268	0.0179198	0.0191889	0.0209344	0.0195204	0.0236058	0.0191975	0.0282479
a23	0.352696	0.222181	0.106006	0.0489473	0.0333067	0.025727	0.0290342	0.0276697	0.0264878	0.0264141	0.0237922	0.0209972	0.0215807	0.0185517	0.0166084
a99	0.36103	0.170536	0.0724748	0.0363921	0.0308976	0.0298219	0.039493	0.0331512	0.0316818	0.0324795	0.029901	0.0285508	0.0328603	0.0327027	0.038028
a88	0.198435	0.106689	0.0703229	0.0587562	0.0673831	0.0638776	0.084898	0.0646266	0.0525024	0.0490842	0.0400491	0.03404	0.0366538	0.0344278	0.0382545
a71	0.281375	0.186236	0.132637	0.0989488	0.0708495	0.0474433	0.0582411	0.0307574	0.019294	0.0171685	0.0143374	0.0117645	0.011142	0.00915669	0.0106481
a9	0.245749	0.173779	0.133804	0.096978	0.0738931	0.0542698	0.0662879	0.0453515	0.0224612	0.0189385	0.0152113	0.0147439	0.0145767	0.0109133	0.0130427
a53	0.168372	0.117809	0.102374	0.0790181	0.0776571	0.0745538	0.105753	0.0862206	0.0414025	0.0320957	0.0227228	0.021847	0.0236625	0.0205316	0.0259811
a11	0.16772	0.121247	0.0929969	0.0727927	0.0609329	0.0491784	0.0673417	0.0779825	0.0485935	0.0431516	0.0348857	0.0364743	0.0405893	0.0360025	0.0501112
a75	0.127868	0.110701	0.0900894	0.0678739	0.0573196	0.0473067	0.0630072	0.0849865	0.0636309	0.0565711	0.0465149	0.043602	0.0458348	0.0417487	0.0529461
a92	0.0737303	0.0769296	0.0669569	0.0650324	0.0656949	0.0589013	0.0721248	0.107375	0.0721141	0.0725253	0.0521122	0.0485369	0.046822	0.0543266	0.0668182
a37	0.0670436	0.0757674	0.0742674	0.0771513	0.0762226	0.0694618	0.0735467	0.100665	0.0700188	0.071267	0.0511035	0.0420824	0.0390149	0.0499336	0.0624541
a12	0.0582886	0.0774232	0.0883209	0.0981488	0.0962436	0.0833746	0.0741344	0.111093	0.0660256	0.0626569	0.0517646	0.0389894	0.0308265	0.0281919	0.0345179
a93	0.0341888	0.0493155	0.0650107	0.0901824	0.0973085	0.0948888	0.0932205	0.141841	0.0750296	0.0703654	0.0586392	0.0400876	0.0301599	0.0272851	0.0324769
a44	0.0220206	0.0325449	0.0453266	0.0672274	0.0768762	0.0820399	0.0872875	0.151099	0.0943753	0.0889102	0.082501	0.0564874	0.0412905	0.0325668	0.039447
a96	0.0148946	0.0196139	0.0310463	0.0543793	0.0696066	0.0823522	0.096064	0.156872	0.0969519	0.0907646	0.0841838	0.0590369	0.0468164	0.0437749	0.0536422
a54	0.0114111	0.0134345	0.0199193	0.0409919	0.056641	0.0760557	0.0934624	0.179132	0.109962	0.102071	0.0895326	0.0620938	0.0483168	0.0476404	0.0493365
