 	pourquoi	me	laisses-tu	souffrir	comme	cela	</S>
a66	0.397408	0.203887	0.165063	0.128251	0.0533948	0.0300954	0.0219003
a57	0.277366	0.149498	0.158291	0.11981	0.0945198	0.0828195	0.117696
a87	0.540154	0.22546	0.117583	0.0578889	0.0228058	0.0170494	0.0190593
a23	0.472899	0.243451	0.145512	0.0757921	0.0266903	0.0175213	0.0181349
a54	0.438872	0.223746	0.142903	0.089248	0.0401995	0.030366	0.0346661
a98	0.379793	0.25102	0.161619	0.102734	0.0447378	0.0303751	0.0297214
a15	0.349545	0.281596	0.138356	0.0857791	0.0566549	0.041744	0.046325
a20	0.28241	0.263249	0.132882	0.0971727	0.0790213	0.0688486	0.0764167
a47	0.190177	0.210437	0.13721	0.128096	0.118484	0.103948	0.111649
a98	0.118899	0.142532	0.133814	0.120493	0.147213	0.151613	0.185436
a47	0.077925	0.102394	0.138467	0.137713	0.169308	0.168083	0.20611
a85	0.0213203	0.0303199	0.0504277	0.0846623	0.166173	0.26228	0.384818
a6	0.0155383	0.0251158	0.0561476	0.113574	0.195513	0.261626	0.332485
a98	0.0178487	0.0254252	0.0504806	0.0996689	0.198592	0.283983	0.324001
a79	0.00382183	0.00504043	0.0155851	0.0579606	0.157389	0.320374	0.439829
a56	0.00202809	0.00299018	0.00865707	0.0371104	0.0987555	0.304022	0.546437
a94	0.00247159	0.0034559	0.0080099	0.0222069	0.0675293	0.274729	0.621598
a66	0.00235194	0.00372718	0.0166211	0.0524167	0.117624	0.302661	0.504598
a71	0.00321456	0.00548347	0.0193896	0.0643994	0.121306	0.283875	0.502331
a3	0.0168851	0.0148174	0.0320066	0.081665	0.114762	0.263895	0.475969
a97	0.0441436	0.0336849	0.0750435	0.118598	0.158937	0.239485	0.330108
a99	0.199644	0.110297	0.182193	0.200715	0.136459	0.0918813	0.0788101
a87	0.0618637	0.0405052	0.0882197	0.102551	0.178317	0.232318	0.296225
a23	0.0442308	0.0366294	0.0749686	0.104297	0.17739	0.243102	0.319382
a99	0.0114798	0.012216	0.0263931	0.0477359	0.119881	0.290632	0.491662
a2	0.0150766	0.0180498	0.0451411	0.0751942	0.134644	0.273183	0.438711
</S>	0.0319745	0.0339044	0.070888	0.0772231	0.132675	0.246878	0.406457
