 	la	pointe	est	bien	enfoncée	</S>
a66	0.325076	0.34728	0.188006	0.0847163	0.0349202	0.0200011
a87	0.576193	0.202405	0.0698044	0.0662904	0.0514737	0.0338337
a97	0.436268	0.216116	0.132672	0.105357	0.0517526	0.0578351
a87	0.41135	0.226861	0.136984	0.111853	0.0466193	0.0663332
a97	0.368622	0.221605	0.135991	0.134534	0.0649476	0.0743
a99	0.363174	0.207837	0.145877	0.141784	0.061518	0.079811
a97	0.509045	0.220439	0.125264	0.0804017	0.0305345	0.0343155
a99	0.443501	0.217228	0.142416	0.101935	0.0438271	0.0510927
a97	0.480564	0.200309	0.128418	0.0953867	0.046011	0.0493115
a99	0.485857	0.193847	0.129825	0.0968223	0.0483751	0.0452747
a97	0.465121	0.189234	0.135471	0.099179	0.0576209	0.0533742
a87	0.45976	0.200583	0.139604	0.102675	0.0532649	0.0441124
a97	0.452523	0.188965	0.132895	0.116289	0.0558282	0.0534988
a38	0.463759	0.193335	0.131969	0.103576	0.0531618	0.0541994
a21	0.500975	0.191365	0.123961	0.0810604	0.0505982	0.0520399
a5	0.452851	0.28895	0.15683	0.0640585	0.0181496	0.0191609
a21	0.440835	0.25944	0.165191	0.084173	0.0259713	0.02439
a5	0.273342	0.258177	0.24116	0.1405	0.0496042	0.0372166
a23	0.243703	0.232335	0.229451	0.157806	0.0805114	0.0561937
a40	0.1581	0.261419	0.267702	0.1612	0.074966	0.0766136
a6	0.20122	0.22764	0.211417	0.144764	0.107865	0.107095
a37	0.146849	0.199542	0.198034	0.150306	0.139019	0.166249
a75	0.117816	0.193527	0.209096	0.189058	0.148535	0.141968
a25	0.0765563	0.151803	0.169531	0.165863	0.193645	0.242601
a69	0.0273333	0.0842703	0.155453	0.211417	0.243579	0.277948
a44	0.0390937	0.0744279	0.113794	0.175757	0.294598	0.302329
a75	0.0341856	0.0764691	0.121885	0.186145	0.264446	0.316869
a5	0.00848703	0.0258297	0.0599563	0.120381	0.27509	0.510256
a21	0.00940651	0.0254187	0.0510875	0.104336	0.257719	0.552033
a5	0.00730315	0.0183452	0.03982	0.0967567	0.29618	0.541595
a37	0.00391857	0.0105628	0.0229984	0.0513515	0.245473	0.665695
a75	0.00176677	0.00443462	0.0103951	0.0248316	0.195768	0.762804
a21	0.000475273	0.00159195	0.00557032	0.0192584	0.191976	0.781128
a12	0.0012435	0.00333725	0.00907196	0.030523	0.224413	0.731412
a18	0.000923533	0.00260899	0.00704847	0.0184391	0.162212	0.808768
a25	0.000450483	0.000708179	0.00172398	0.00773905	0.205606	0.783773
a10	0.00211115	0.00216309	0.00352902	0.0122977	0.210366	0.769533
a97	0.0281926	0.0210123	0.0221627	0.0505838	0.276182	0.601867
a87	0.139092	0.0779219	0.0441115	0.0617463	0.197493	0.479636
a23	0.04873	0.0286251	0.0196454	0.0431421	0.231653	0.628205
a87	0.0273228	0.0159887	0.0116435	0.0272495	0.173577	0.744219
</S>	0.00477985	0.00419449	0.00659199	0.0232132	0.144027	0.817194
