 	les	légumes	se	sont	répandus	dans	mon	champ	</S>
a85	0.149535	0.124744	0.147194	0.210781	0.225359	0.0802784	0.0309485	0.0176708	0.0134884
a87	0.124619	0.0682919	0.0885789	0.112279	0.239152	0.164668	0.104111	0.0531507	0.045151
a40	0.179493	0.128048	0.115635	0.10209	0.147703	0.0732207	0.0860183	0.0763508	0.0914408
a37	0.406469	0.144443	0.0792019	0.0616624	0.0777688	0.0697287	0.0627559	0.0466251	0.0513448
a26	0.437466	0.225814	0.121591	0.0875057	0.0569239	0.0218384	0.0168259	0.0151941	0.0168407
a38	0.36921	0.239781	0.142475	0.114329	0.0731546	0.0218286	0.0133511	0.012108	0.0137625
a34	0.273639	0.201331	0.146173	0.147342	0.116536	0.0328113	0.0236207	0.0268327	0.0317145
a96	0.243618	0.215694	0.157298	0.163496	0.0994913	0.022956	0.0220976	0.032697	0.0426527
a98	0.168436	0.198757	0.161978	0.196749	0.124451	0.0292527	0.0280073	0.0411319	0.0512379
a85	0.148779	0.183006	0.164345	0.196937	0.137429	0.0372786	0.0309778	0.0453694	0.0558779
a37	0.16355	0.178004	0.156433	0.166509	0.101612	0.0510244	0.0439527	0.063227	0.0756885
a34	0.139382	0.200118	0.197307	0.228126	0.134373	0.026659	0.0185852	0.0250796	0.0303705
a75	0.120477	0.185614	0.203315	0.244063	0.14128	0.0268	0.0185109	0.0254113	0.034529
a47	0.0645004	0.0968312	0.132742	0.178457	0.125139	0.0629494	0.0717108	0.116055	0.151615
a44	0.0594326	0.103568	0.163948	0.219401	0.156973	0.0497274	0.0468289	0.0830423	0.117078
a98	0.0522095	0.0728458	0.13013	0.209023	0.211218	0.0635862	0.051545	0.0843522	0.12509
a79	0.0558727	0.0606997	0.0772323	0.115109	0.102057	0.0676899	0.0850971	0.170746	0.265496
a37	0.0537095	0.07616	0.115161	0.182592	0.153976	0.0770079	0.0692709	0.113334	0.158789
a11	0.0518924	0.0686549	0.105306	0.161176	0.192585	0.0817262	0.064576	0.105397	0.168687
a75	0.0376427	0.0511151	0.0740178	0.122798	0.158832	0.0789362	0.0789634	0.147118	0.250577
a44	0.0336134	0.0450083	0.0629211	0.102793	0.119713	0.0633278	0.0836356	0.188161	0.300827
a57	0.0230989	0.0323787	0.046779	0.0739766	0.10651	0.0822335	0.112392	0.204536	0.318095
a58	0.0131173	0.0176567	0.0238252	0.0368915	0.0564292	0.0562681	0.112637	0.255111	0.428065
a4	0.00623599	0.00704291	0.0105789	0.0159925	0.0300332	0.0357817	0.101012	0.248162	0.545161
a93	0.00331446	0.00480232	0.00860035	0.0139074	0.0263113	0.0369372	0.111958	0.266742	0.527427
a15	0.00172432	0.00300018	0.0060077	0.0117577	0.0216927	0.033633	0.108508	0.29279	0.520886
a7	0.0016112	0.00228104	0.00407039	0.00810523	0.0162247	0.0328956	0.124911	0.303741	0.506159
a84	0.000387749	0.000574223	0.00129433	0.00244011	0.00631676	0.0156799	0.092593	0.302046	0.578668
a57	0.00246284	0.00168699	0.00291205	0.00369934	0.0112224	0.0249462	0.10035	0.269996	0.582724
a10	0.0239302	0.0116088	0.0171511	0.0209062	0.0612419	0.109598	0.191342	0.237145	0.327076
a87	0.0615647	0.0261993	0.0359475	0.0488017	0.124003	0.132449	0.171033	0.187562	0.212441
a23	0.0692379	0.0350811	0.0618311	0.0956979	0.203504	0.148671	0.144424	0.124885	0.116667
a87	0.0350611	0.019218	0.0322684	0.0468257	0.083496	0.102545	0.184637	0.22242	0.273529
</S>	0.0124068	0.00829782	0.0164072	0.0240018	0.0579075	0.0891704	0.205288	0.269974	0.316547
