 	il	y	a	des	nappes	de	brume	sur	le	fleuve	</S>
a23	0.223513	0.175039	0.143978	0.122156	0.0845726	0.0631986	0.0520977	0.0527357	0.035844	0.0254923	0.021373
a87	0.194053	0.15993	0.103524	0.127866	0.0722707	0.0803434	0.0938933	0.0593674	0.040054	0.0345828	0.0341164
a23	0.200595	0.146477	0.112122	0.122533	0.0627613	0.0606437	0.0798151	0.0506361	0.0461801	0.0514816	0.0667552
a50	0.183504	0.182589	0.154682	0.169106	0.0739773	0.0447758	0.0411957	0.0383333	0.0350466	0.0337825	0.0430076
a24	0.234459	0.179587	0.14516	0.13272	0.126351	0.0800712	0.0631183	0.0209127	0.00887593	0.00487038	0.00387464
a32	0.248125	0.201985	0.167271	0.137884	0.101667	0.0564213	0.0521486	0.0162068	0.00860239	0.00501302	0.00467565
a90	0.213763	0.203273	0.177645	0.175	0.0791053	0.0451445	0.0427392	0.0209634	0.0166557	0.0122046	0.0135066
a94	0.18181	0.176172	0.193019	0.190137	0.107899	0.0482317	0.0361765	0.0204358	0.0173612	0.0134177	0.0153394
a35	0.18856	0.166342	0.170996	0.167874	0.124716	0.0658379	0.0461662	0.0234831	0.0174725	0.0133454	0.0152067
a26	0.191814	0.14942	0.150453	0.153174	0.142561	0.0820246	0.0536651	0.0268121	0.0189013	0.0144579	0.016718
a24	0.149963	0.114725	0.116663	0.121435	0.15002	0.114045	0.0888559	0.050134	0.0336373	0.0280521	0.0324697
a43	0.148989	0.149679	0.146161	0.147595	0.150661	0.0984785	0.0681877	0.0367405	0.0192662	0.0159971	0.0182452
a11	0.0787228	0.0996624	0.125748	0.140458	0.165031	0.137815	0.0914266	0.0580591	0.0332872	0.0311376	0.0386533
a75	0.0655631	0.0791181	0.106161	0.110981	0.142005	0.138687	0.102727	0.0907714	0.0594115	0.0483319	0.0562419
a14	0.0635668	0.0654608	0.0804414	0.0793446	0.124583	0.115019	0.094107	0.105458	0.0787968	0.0923179	0.100904
a0	0.0461386	0.0487497	0.0690491	0.0785484	0.126299	0.134018	0.121723	0.128859	0.0858999	0.0798852	0.0808304
a41	0.0225707	0.0221987	0.0288869	0.0323523	0.0454149	0.0530615	0.0569439	0.122452	0.142781	0.222094	0.251244
a37	0.0334316	0.0295367	0.0380448	0.0394225	0.0678257	0.0921703	0.100417	0.168771	0.139469	0.147434	0.143477
a75	0.0165902	0.0138789	0.0175354	0.0189186	0.0357199	0.0529749	0.062037	0.140896	0.164182	0.239175	0.238092
a14	0.0200225	0.0158117	0.019503	0.0210085	0.0320392	0.0441086	0.0423652	0.107103	0.164458	0.258129	0.27545
a41	0.0155572	0.0146821	0.0177117	0.0211822	0.0331529	0.0521234	0.0611168	0.138212	0.197076	0.241797	0.207388
a35	0.00878489	0.00716825	0.00782989	0.00856099	0.0131467	0.0212591	0.0318096	0.0684972	0.144382	0.341052	0.347509
a47	0.00888142	0.00710558	0.00783724	0.00909813	0.0149569	0.024824	0.0323447	0.0709566	0.134624	0.324564	0.364808
a98	0.004994	0.00445374	0.00582652	0.0082757	0.0158618	0.024352	0.0315848	0.0674614	0.121901	0.321343	0.393946
a66	0.00319384	0.00258184	0.00287951	0.00394329	0.00646272	0.0105364	0.0144734	0.0441677	0.113693	0.345545	0.452523
a25	0.00388925	0.00238347	0.00218266	0.00284278	0.00378802	0.00670335	0.0103934	0.0312826	0.0728363	0.291977	0.571721
a99	0.00400834	0.00236066	0.00177338	0.00251318	0.00337483	0.0084661	0.0167997	0.0345914	0.0704862	0.265733	0.589893
a87	0.0046621	0.00270813	0.00193372	0.00294145	0.00415018	0.0138268	0.0303598	0.0597026	0.100537	0.280642	0.498536
</S>	0.00555497	0.00326619	0.00291131	0.00358241	0.00547716	0.0185059	0.0316128	0.0880442	0.1759	0.306517	0.358628
