 	la	tête	de	l'	abcès	est	partie	</S>
a23	0.302318	0.202126	0.132817	0.117434	0.114009	0.0644241	0.0376026	0.029269
a24	0.242261	0.194921	0.121599	0.0979671	0.101384	0.0811304	0.0782896	0.0824466
a25	0.355643	0.261059	0.128078	0.0916186	0.078505	0.032466	0.0262565	0.0263736
a87	0.348782	0.255577	0.144808	0.0878748	0.0696891	0.0350408	0.0310903	0.0271374
a38	0.32526	0.24178	0.145988	0.0922318	0.0701068	0.0411051	0.043944	0.0395842
a26	0.314061	0.258556	0.171971	0.10009	0.0664901	0.0349571	0.0285566	0.0253178
a24	0.297415	0.263804	0.202318	0.115912	0.059927	0.0282965	0.0179726	0.0143559
a41	0.269498	0.246229	0.199223	0.128571	0.0725828	0.0382434	0.0252241	0.0204279
a25	0.200044	0.239385	0.217695	0.152486	0.0909094	0.0465353	0.0297525	0.023194
a38	0.0880099	0.115247	0.12771	0.130207	0.156162	0.135234	0.136486	0.110945
a26	0.0895614	0.116814	0.133755	0.140113	0.168231	0.137226	0.1199	0.0943985
a62	0.136851	0.148564	0.144909	0.136533	0.134845	0.112757	0.0992996	0.0862398
a24	0.0915067	0.0999385	0.108655	0.109653	0.119883	0.130447	0.164513	0.175404
a9	0.0476204	0.0583607	0.0726281	0.0862231	0.124064	0.158091	0.216344	0.236668
a87	0.0247528	0.0367382	0.0538349	0.0758102	0.125904	0.156971	0.235321	0.290667
a23	0.0126122	0.0183072	0.0306038	0.0633368	0.135791	0.174502	0.265353	0.299494
a11	0.0260418	0.03078	0.0482813	0.0949458	0.158416	0.165355	0.212494	0.263686
a94	0.0229485	0.0260387	0.0327253	0.0507796	0.101491	0.15428	0.279106	0.332631
a96	0.0140601	0.0178679	0.0255362	0.0405105	0.0854717	0.152692	0.292271	0.37159
a75	0.00330172	0.00462825	0.00858985	0.020143	0.0658537	0.14835	0.314856	0.434277
a73	0.00155651	0.00213405	0.00426545	0.0116462	0.046472	0.136468	0.318378	0.47908
a57	0.00274827	0.00366864	0.00649543	0.0169422	0.0684184	0.157341	0.311809	0.432577
a87	0.00582209	0.00583093	0.00879479	0.0191885	0.0545649	0.124093	0.270615	0.511091
</S>	0.0529556	0.0468371	0.0477156	0.0722314	0.124904	0.163127	0.213839	0.27839
