 	tu	peux	partir	devant	je	t'	atteindrai	en	route	</S>
a23	0.370564	0.153911	0.106634	0.0925914	0.0872033	0.0534429	0.0402398	0.0347311	0.0296746	0.0310074
a87	0.428828	0.114857	0.0710207	0.067261	0.0631791	0.0422204	0.0325603	0.0437527	0.0559921	0.0803287
a23	0.266463	0.143752	0.0923312	0.0738824	0.072393	0.0561468	0.0509225	0.0622269	0.0767116	0.105171
a97	0.328128	0.137352	0.0757799	0.0540533	0.0505961	0.0422642	0.0443844	0.0662026	0.0867874	0.114452
a79	0.271825	0.167158	0.0917619	0.072239	0.0525681	0.038155	0.039324	0.0650426	0.0853832	0.116543
a20	0.499078	0.219614	0.0939601	0.049846	0.0302251	0.0174203	0.0137541	0.0184156	0.0248761	0.0328113
a44	0.304572	0.212492	0.132466	0.103607	0.0715093	0.0424276	0.0317159	0.0329305	0.0329038	0.0353753
a66	0.280828	0.244774	0.160215	0.113352	0.0684932	0.0355044	0.0242938	0.0232378	0.0233196	0.0259821
a54	0.176567	0.199191	0.16076	0.148482	0.0895246	0.0511107	0.0383119	0.0384581	0.04354	0.0540548
a73	0.0963769	0.139358	0.14117	0.173084	0.129222	0.0855828	0.0652518	0.0535492	0.0550753	0.0613299
a20	0.120823	0.165544	0.160878	0.157815	0.117246	0.0736295	0.0552326	0.0467146	0.0487692	0.0533492
a73	0.0839839	0.132148	0.138881	0.165956	0.126127	0.0904158	0.0744967	0.0621487	0.0606924	0.0651502
a35	0.122434	0.158683	0.155371	0.149301	0.109801	0.0779772	0.0613219	0.0534825	0.0531797	0.0584492
a20	0.100075	0.133649	0.14479	0.148476	0.110013	0.0853674	0.0715822	0.0668848	0.06628	0.0728832
a69	0.0918154	0.113207	0.125801	0.136247	0.116289	0.0871543	0.0737338	0.0735064	0.0821681	0.100079
a57	0.0710291	0.106965	0.123992	0.144025	0.116361	0.0863133	0.0754531	0.0795677	0.0897323	0.106563
a53	0.0569896	0.0912336	0.115028	0.156004	0.125758	0.0881366	0.0738909	0.0805543	0.0937871	0.118619
a90	0.0586669	0.0843091	0.100614	0.146016	0.124876	0.0881235	0.0751003	0.0835644	0.102453	0.136277
a98	0.0513497	0.0792889	0.0949744	0.142555	0.129307	0.0924405	0.0739285	0.0853015	0.108728	0.142127
a32	0.0475424	0.0656706	0.0769981	0.115056	0.122392	0.101421	0.0816223	0.0930367	0.126181	0.17008
a90	0.0366092	0.045743	0.0517123	0.080635	0.0957855	0.10105	0.0902133	0.114587	0.163406	0.220259
a13	0.0373969	0.0540854	0.0590428	0.0914806	0.104518	0.109591	0.0921572	0.108005	0.145042	0.198682
a9	0.0293134	0.0300597	0.0325985	0.0586798	0.077762	0.120929	0.119432	0.136711	0.166014	0.228499
a87	0.0316548	0.0283712	0.0310609	0.0624741	0.0812822	0.0995905	0.0912066	0.118884	0.169558	0.285918
a23	0.019565	0.0215532	0.0266341	0.044061	0.0523068	0.0674258	0.0751925	0.13086	0.22267	0.339731
a40	0.029296	0.0258614	0.0295478	0.0369806	0.0408861	0.0402998	0.0404736	0.0940335	0.226851	0.43577
a41	0.021963	0.0134717	0.0126081	0.0220594	0.0319067	0.0465579	0.0495486	0.0962657	0.223668	0.481951
a24	0.0214679	0.0278038	0.0338916	0.0598432	0.0707304	0.0851177	0.0865718	0.128878	0.197658	0.288038
a18	0.0143421	0.0156867	0.0173227	0.0238585	0.0319092	0.0514594	0.0670835	0.133971	0.254157	0.39021
a71	0.0103934	0.0131596	0.0160793	0.0229065	0.027364	0.0444405	0.0618442	0.128093	0.249912	0.425807
a38	0.0106948	0.0116823	0.013747	0.0232723	0.029829	0.05104	0.0662828	0.124091	0.239095	0.430267
a24	0.00732768	0.00631652	0.0071689	0.0125315	0.0155392	0.0304536	0.0491765	0.117595	0.265462	0.48843
a41	0.00548032	0.00515052	0.00618722	0.00870582	0.0105562	0.0229443	0.0447727	0.115536	0.287656	0.493012
a35	0.00240699	0.00323607	0.00445931	0.00757807	0.0100706	0.0265355	0.0503677	0.127167	0.292089	0.47609
a90	0.00241038	0.0033121	0.00467582	0.00848278	0.00985685	0.0228874	0.0456057	0.11915	0.290302	0.493317
a4	0.00378796	0.00487411	0.00645392	0.0112526	0.0135434	0.0298473	0.0504992	0.11661	0.271618	0.491514
a57	0.0052802	0.00606062	0.00761085	0.0115615	0.0128399	0.0237258	0.042008	0.102252	0.261251	0.52741
a9	0.00266858	0.00359293	0.00545109	0.00986085	0.0116985	0.0219828	0.0387783	0.106953	0.275512	0.523502
a53	0.0030385	0.00292623	0.00404273	0.00678841	0.00986611	0.0210392	0.0405785	0.116297	0.290756	0.504667
a90	0.00564307	0.00355036	0.00402838	0.0056879	0.00794533	0.0152096	0.0331011	0.103726	0.28927	0.531838
a4	0.00559407	0.00362635	0.00380791	0.00510901	0.0071615	0.0150853	0.0321207	0.0915531	0.264812	0.57113
a57	0.00487588	0.00381827	0.00421389	0.00579454	0.00745666	0.0141626	0.0286171	0.0862088	0.260223	0.58463
a3	0.0049755	0.00333525	0.00451261	0.00669915	0.00987073	0.0196847	0.0362453	0.106325	0.28128	0.527071
a87	0.0037406	0.00207651	0.00238625	0.00364512	0.00740838	0.0210482	0.0482966	0.134294	0.305759	0.471346
</S>	0.0100056	0.00573591	0.00522743	0.00582495	0.010929	0.0283612	0.0490807	0.116124	0.287803	0.480908
