 	l'	oiseau	ouvre	son	bec	</S>
a23	0.555442	0.244938	0.0791094	0.0310495	0.0382708	0.0511909
a85	0.534974	0.191774	0.0900318	0.0624372	0.0569017	0.0638815
a87	0.414412	0.271525	0.152689	0.059203	0.0423302	0.0598407
a23	0.363638	0.268982	0.172719	0.0762305	0.0540079	0.0644225
a87	0.277144	0.168989	0.123843	0.0996842	0.152876	0.177465
a23	0.281916	0.215299	0.15919	0.0996733	0.110801	0.133121
a13	0.168359	0.128876	0.123822	0.135977	0.219967	0.222999
a76	0.257567	0.289133	0.223076	0.122733	0.0649633	0.0425278
a94	0.182281	0.260479	0.306208	0.158064	0.0590262	0.0339419
a32	0.188946	0.278826	0.300535	0.166476	0.0421916	0.0230264
a54	0.221864	0.262371	0.271266	0.164533	0.0499936	0.0299723
a41	0.204058	0.243118	0.255529	0.179077	0.067735	0.0504825
a26	0.182148	0.1858	0.201732	0.201786	0.120274	0.108261
a53	0.099859	0.0931312	0.151332	0.25161	0.213551	0.190517
a94	0.0760845	0.0795083	0.14029	0.288594	0.218917	0.196607
a76	0.0432782	0.0441074	0.0817984	0.21172	0.283158	0.335938
a90	0.0386088	0.0382325	0.0595569	0.154374	0.316681	0.392547
a57	0.0363797	0.0405527	0.0600538	0.143746	0.301635	0.417633
a38	0.0230669	0.0271957	0.0480361	0.117919	0.280085	0.503698
a90	0.0166344	0.0126934	0.0197388	0.052657	0.222798	0.675478
a53	0.00685248	0.00594101	0.0117233	0.043162	0.223212	0.709109
a90	0.0107311	0.00755021	0.0151543	0.0512947	0.209839	0.70543
a4	0.00837146	0.00682333	0.0125169	0.0428035	0.200136	0.729348
a20	0.00884816	0.00592767	0.0108431	0.0412776	0.206998	0.726105
a58	0.0217571	0.0160416	0.0312574	0.0839804	0.24917	0.597794
a82	0.0119691	0.0074204	0.0151546	0.0590637	0.220142	0.68625
a87	0.0243838	0.0128896	0.0262063	0.0673116	0.220638	0.64857
</S>	0.059876	0.0378935	0.0445824	0.0749913	0.22727	0.555387
