 	la	fumée	brûle	les	yeux	</S>
a23	0.491135	0.190007	0.104166	0.0815975	0.0639696	0.0691254
a18	0.457002	0.245848	0.107663	0.0826966	0.0669406	0.03985
a11	0.442228	0.235193	0.131827	0.0767738	0.0585972	0.0553809
a70	0.46962	0.259689	0.134747	0.0760684	0.0417609	0.0181146
a56	0.416786	0.318013	0.142637	0.0676523	0.0346646	0.0202477
a75	0.238327	0.263755	0.215463	0.139404	0.0821787	0.0608721
a5	0.166729	0.206849	0.222941	0.194251	0.11982	0.089409
a37	0.134978	0.154557	0.207667	0.226254	0.160758	0.115786
a47	0.054755	0.0802706	0.137783	0.216012	0.265871	0.245308
a37	0.0525134	0.0698873	0.123938	0.193836	0.269164	0.290661
a85	0.0225635	0.0278647	0.0592231	0.122236	0.267751	0.500361
a37	0.0145783	0.0163984	0.029691	0.0707669	0.191785	0.67678
a61	0.00898657	0.0107363	0.0227659	0.0553818	0.187699	0.71443
a0	0.00686507	0.00974278	0.0245556	0.0658655	0.213954	0.679017
a10	0.00607959	0.00882159	0.0225441	0.0640561	0.216917	0.681582
a87	0.019788	0.0196047	0.0413932	0.0720323	0.166465	0.680717
a23	0.182798	0.139867	0.127224	0.13384	0.153703	0.262567
a87	0.084865	0.0700524	0.0695971	0.097669	0.17602	0.501797
</S>	0.0316554	0.027672	0.03861	0.0887697	0.2195	0.593793
