 	ton	repas-ci	m'	a	plu	</S>
a66	0.326285	0.285538	0.225462	0.106544	0.039064	0.0171076
a87	0.741217	0.157634	0.0531395	0.0228554	0.0148818	0.0102728
a23	0.625865	0.196111	0.0827316	0.0408253	0.0287296	0.0257377
a12	0.566091	0.204541	0.0676036	0.0432254	0.0520364	0.0665029
a5	0.372846	0.358164	0.0903112	0.0648535	0.0626573	0.051168
a85	0.292758	0.536196	0.0987933	0.041187	0.0179358	0.01313
a6	0.197488	0.538492	0.152574	0.0770336	0.0211492	0.0132625
a37	0.192223	0.48199	0.160368	0.111384	0.0328838	0.0211519
a79	0.267466	0.421313	0.153451	0.0829099	0.0405826	0.034277
a37	0.110642	0.326016	0.260497	0.166563	0.0794139	0.0568673
a92	0.150748	0.368234	0.249807	0.10918	0.0585652	0.0634664
a21	0.0940489	0.305834	0.282142	0.144284	0.0921224	0.0815687
a5	0.0548799	0.238519	0.28986	0.163895	0.126925	0.125921
a23	0.0225262	0.126254	0.2478	0.202254	0.195523	0.205643
a90	0.0101433	0.0547402	0.141311	0.181131	0.267051	0.345623
a25	0.00596365	0.0248556	0.082757	0.172368	0.308701	0.405355
a92	0.00418468	0.0138349	0.0416466	0.0901026	0.280051	0.57018
a21	0.00239021	0.00892366	0.0339886	0.0932213	0.278555	0.582921
a61	0.000763144	0.00257668	0.0103919	0.0470209	0.255718	0.683529
a94	0.000389038	0.001286	0.00441893	0.0227425	0.198632	0.772532
a93	0.000189838	0.00123455	0.00367379	0.0166713	0.159659	0.818571
a4	0.000209605	0.00093394	0.00283149	0.01676	0.180671	0.798594
a11	0.000228675	0.001248	0.00387696	0.0225437	0.196676	0.775427
a12	0.000336921	0.0021095	0.00472813	0.0229405	0.170912	0.798973
a96	0.000404491	0.00227815	0.00598148	0.0243921	0.159738	0.807206
a44	0.000449993	0.0033525	0.0074642	0.0322951	0.174125	0.782313
a66	0.000600173	0.00464323	0.0104624	0.0506258	0.216519	0.717149
a9	0.00609587	0.020299	0.0425005	0.113785	0.257245	0.560075
a3	0.0271571	0.04535	0.0805763	0.16982	0.274749	0.402347
a87	0.371021	0.13436	0.134822	0.113313	0.113598	0.132886
a23	0.361571	0.195192	0.174074	0.101605	0.0717849	0.095773
a99	0.0595972	0.0147958	0.0221543	0.0497604	0.180512	0.67318
a87	0.0403135	0.0133726	0.0303766	0.0604511	0.196824	0.658662
</S>	0.00908409	0.00346354	0.00977228	0.0309018	0.186361	0.760417
