 	les	enfants	ont	sali	leurs	vêtements	</S>
a23	0.215648	0.14321	0.174703	0.264955	0.116058	0.0493104	0.0361157
a87	0.262171	0.182902	0.195444	0.187226	0.0863367	0.0476777	0.0382421
a23	0.236333	0.224013	0.16602	0.149683	0.0976079	0.0609729	0.0653697
a87	0.322186	0.264246	0.155508	0.107674	0.0448769	0.0457818	0.0597273
a99	0.317881	0.239975	0.141213	0.115869	0.0576111	0.0573343	0.0701173
a54	0.300622	0.181366	0.0943404	0.0884686	0.0641421	0.100159	0.170902
a47	0.548323	0.23915	0.0862306	0.0548918	0.0237228	0.0216997	0.0259819
a37	0.350274	0.273504	0.147914	0.0996682	0.0368632	0.0377893	0.0539868
a85	0.360726	0.28594	0.161581	0.106459	0.0273704	0.0252486	0.0326748
a5	0.292814	0.23567	0.178692	0.172099	0.0516064	0.0333488	0.0357703
a18	0.290487	0.219312	0.181885	0.194969	0.0464344	0.0312363	0.0356756
a61	0.199309	0.213857	0.229253	0.228669	0.0457107	0.0369797	0.0462214
a31	0.173358	0.197097	0.232371	0.260317	0.0579317	0.0376816	0.0412428
a88	0.166573	0.179948	0.228194	0.262948	0.0801118	0.0410485	0.0411771
a24	0.134059	0.141934	0.196668	0.291447	0.115566	0.0595296	0.0607973
a0	0.101986	0.107641	0.166409	0.281815	0.166258	0.0857671	0.0901242
a24	0.0664699	0.0682402	0.105165	0.22078	0.208338	0.154239	0.176768
a62	0.0720268	0.0695521	0.0878041	0.166425	0.222824	0.180043	0.201325
a24	0.0714663	0.0724896	0.0894926	0.149904	0.223673	0.201219	0.191755
a9	0.0443665	0.0453425	0.060594	0.127121	0.233074	0.248764	0.240738
a75	0.0133901	0.0160192	0.0267461	0.0640607	0.122209	0.307367	0.450208
a41	0.0266911	0.0243017	0.028745	0.0319404	0.105669	0.308962	0.473691
a61	0.00963558	0.00936064	0.0117624	0.0136747	0.0772174	0.365519	0.51283
a75	0.0100912	0.00999108	0.0132571	0.0218125	0.104527	0.340866	0.499455
a85	0.00896632	0.00799175	0.00876919	0.00883765	0.0463976	0.31982	0.599217
a6	0.00603253	0.00531817	0.00569111	0.006125	0.0452314	0.347638	0.583964
a26	0.00869202	0.00765521	0.00767194	0.00803062	0.0491117	0.316653	0.602186
a98	0.00479582	0.00500138	0.00772395	0.0132857	0.064426	0.280019	0.624748
a47	0.00317636	0.0034169	0.00441111	0.00817629	0.0581611	0.319984	0.602674
a36	0.00492781	0.00488233	0.00740568	0.0135837	0.0765456	0.338841	0.553813
a26	0.0173443	0.0135662	0.0144428	0.0211535	0.0762741	0.263246	0.593973
a57	0.0981388	0.05535	0.0378902	0.0354171	0.0811137	0.197803	0.494287
a87	0.126206	0.0942125	0.071606	0.065985	0.149265	0.235615	0.25711
a23	0.102461	0.0880128	0.0803548	0.0726494	0.15251	0.248771	0.255241
a87	0.0456975	0.0362893	0.0344113	0.0459305	0.144354	0.309608	0.383709
</S>	0.0302097	0.0293584	0.033648	0.0411622	0.135228	0.30612	0.424274
