 	il	est	venu	alors	que	tu	étais	malade	</S>
a10	0.142185	0.0749735	0.0487707	0.0243404	0.0345506	0.0668243	0.14492	0.22431	0.239125
a87	0.109647	0.0839747	0.0937837	0.093242	0.09822	0.0944358	0.103726	0.142335	0.180636
a23	0.153515	0.107039	0.12049	0.108869	0.098938	0.0856078	0.0775374	0.104779	0.143225
a79	0.0957632	0.0920782	0.125927	0.130437	0.133167	0.108984	0.0954583	0.111162	0.107022
a20	0.233112	0.184282	0.219606	0.163434	0.0846748	0.0478276	0.0206007	0.0239381	0.0225242
a30	0.319215	0.294045	0.208804	0.119629	0.0329927	0.0131306	0.00521622	0.00401684	0.00295008
a41	0.270652	0.250232	0.244429	0.149368	0.0442649	0.0189704	0.00920297	0.00754222	0.0053388
a24	0.249892	0.21495	0.246556	0.167201	0.0582432	0.0287919	0.0139359	0.0114781	0.0089517
a41	0.188176	0.173971	0.255881	0.196352	0.0899566	0.0449938	0.0213937	0.0165065	0.0127698
a25	0.104223	0.120817	0.214965	0.2228	0.154836	0.0832502	0.0431601	0.0313865	0.0245627
a38	0.0476213	0.0613786	0.123811	0.183089	0.191987	0.129485	0.0865299	0.0939548	0.0821433
a41	0.0505105	0.0631899	0.126538	0.194208	0.18333	0.131112	0.0903206	0.0909652	0.0698264
a32	0.0765645	0.0838514	0.147831	0.177541	0.171857	0.131863	0.0953041	0.0689451	0.0462431
a38	0.0527743	0.0646538	0.102266	0.139672	0.192528	0.158586	0.119468	0.0961777	0.0738743
a21	0.0286205	0.0412514	0.0748842	0.0992464	0.185618	0.183262	0.15073	0.134071	0.102317
a41	0.0449977	0.0514692	0.0660504	0.0964548	0.129263	0.161142	0.150725	0.158158	0.141739
a35	0.0136254	0.0164725	0.032529	0.0782629	0.135508	0.177595	0.188247	0.180983	0.176777
a14	0.0155008	0.0183596	0.0352104	0.0906243	0.121424	0.163567	0.195288	0.184352	0.175675
a35	0.0104364	0.0130757	0.028939	0.0627161	0.107484	0.161243	0.205201	0.206891	0.204015
a26	0.00544939	0.00780042	0.0198964	0.0496807	0.0892799	0.146113	0.201536	0.230796	0.249448
a32	0.00287937	0.00450353	0.0122584	0.0405317	0.0948451	0.165923	0.199643	0.230649	0.248768
a25	0.00254229	0.00376633	0.00940553	0.0409259	0.085046	0.148582	0.189721	0.235292	0.284719
a40	0.00247081	0.0037483	0.0102557	0.0351658	0.073989	0.133114	0.179683	0.253842	0.307731
a76	0.00212097	0.00321715	0.0104415	0.0357594	0.0636837	0.111171	0.16439	0.26274	0.346476
a90	0.003133	0.0045333	0.0147205	0.0481796	0.0706182	0.100879	0.159522	0.247555	0.35086
a98	0.00346768	0.00493026	0.0158549	0.0550286	0.0794418	0.110042	0.161017	0.23257	0.337648
a9	0.00334534	0.00411993	0.0115573	0.0393186	0.061955	0.0971877	0.155989	0.238574	0.387954
a87	0.00201794	0.00251956	0.00661015	0.021739	0.0380626	0.0791774	0.145238	0.292626	0.412009
</S>	0.00299949	0.00391509	0.00571177	0.0232333	0.0426492	0.0939293	0.153843	0.290982	0.382737
