 	on	a	chaulé	les	bâtiments	de	l'	école	</S>
a66	0.394668	0.165468	0.113721	0.114073	0.0656438	0.0365926	0.0368364	0.0368875	0.0361102
a87	0.313327	0.168882	0.0655727	0.106507	0.0640979	0.0547648	0.0726299	0.0796519	0.0745669
a23	0.428293	0.21466	0.093608	0.0350326	0.0283884	0.0304489	0.0390822	0.0546571	0.0758297
a10	0.205794	0.126709	0.0871188	0.0552327	0.0663432	0.0680728	0.102696	0.135242	0.152792
a40	0.149663	0.134637	0.22212	0.0640296	0.0637589	0.0502718	0.0694128	0.104438	0.141669
a47	0.270285	0.22405	0.153728	0.0966611	0.0670031	0.0358383	0.0434145	0.0557946	0.0532263
a37	0.177081	0.213287	0.192681	0.116646	0.0770153	0.0423404	0.0505192	0.067565	0.0628657
a61	0.169964	0.231528	0.277478	0.1222	0.0732188	0.0355166	0.0316341	0.0312259	0.0272346
a11	0.233512	0.257497	0.290259	0.107977	0.0436729	0.0178223	0.0160981	0.0176253	0.0155365
a75	0.166644	0.210205	0.284238	0.156342	0.0659956	0.0278902	0.0262123	0.0300361	0.0324373
a85	0.104051	0.157458	0.337739	0.183309	0.0757173	0.0373573	0.0353945	0.0349253	0.0340484
a37	0.112046	0.179773	0.31507	0.14883	0.0809837	0.0490941	0.0448672	0.036104	0.0332315
a47	0.118222	0.131217	0.237707	0.199122	0.0922397	0.0545361	0.0521221	0.0558533	0.0589816
a34	0.0653422	0.0656432	0.130802	0.19051	0.149027	0.110255	0.0957596	0.0911044	0.101557
a85	0.0531998	0.0514694	0.0925807	0.158375	0.179989	0.137316	0.117595	0.104872	0.104604
a21	0.0137867	0.0152976	0.0436879	0.101509	0.155537	0.181025	0.17768	0.155393	0.156084
a5	0.0151103	0.0137092	0.0312772	0.0657243	0.133057	0.203075	0.206154	0.173761	0.158133
a36	0.0129824	0.012767	0.0191326	0.0400486	0.0846576	0.148711	0.214273	0.219322	0.248106
a75	0.00418296	0.00329593	0.00339708	0.0108731	0.0300803	0.0757788	0.1632	0.267397	0.441795
a21	0.00116943	0.00109162	0.00245277	0.009839	0.0360108	0.10772	0.223597	0.301405	0.316715
a12	0.0025555	0.00212373	0.00331816	0.00914445	0.0316021	0.101733	0.189525	0.293984	0.366014
a21	0.00145144	0.00129833	0.00160352	0.00514957	0.0177231	0.0700724	0.15202	0.289721	0.46096
a12	0.00171898	0.00141187	0.00200198	0.00672045	0.0209466	0.074877	0.148378	0.279622	0.464323
a18	0.00156486	0.00140254	0.00158046	0.0058886	0.0147184	0.0597562	0.142105	0.285925	0.487059
a21	0.00450401	0.00228575	0.00149496	0.00930097	0.0239905	0.0941858	0.179278	0.270562	0.414398
a61	0.00231444	0.00170721	0.00165796	0.0087987	0.0235844	0.0788204	0.150889	0.285619	0.446608
a96	0.00122629	0.000961346	0.00111059	0.00611442	0.0151806	0.0599104	0.134908	0.267529	0.513059
a61	0.00208192	0.00168405	0.0021046	0.0124127	0.0278652	0.0848676	0.153148	0.259748	0.456088
a18	0.00180994	0.00140073	0.0017018	0.0105829	0.0261034	0.0863004	0.157171	0.270151	0.444778
a27	0.00620585	0.00429867	0.00216034	0.0126252	0.0340976	0.122278	0.193354	0.262145	0.362836
a10	0.0686615	0.0373681	0.01252	0.0353562	0.0605568	0.137804	0.176279	0.200597	0.270857
a87	0.187835	0.0665658	0.0218598	0.0310193	0.0462523	0.0960024	0.14179	0.176155	0.23252
a10	0.219187	0.0987716	0.0421255	0.0470241	0.0462166	0.0827562	0.114145	0.151339	0.198436
</S>	0.117999	0.0580243	0.0203754	0.0263218	0.0293674	0.0690393	0.119185	0.231712	0.327975
