 	après	la	pluie	le	chemin	n'	était	qu'	une	mare	de	boue	</S>
a85	0.188881	0.147712	0.151531	0.128243	0.100397	0.0846419	0.0675745	0.047319	0.0288603	0.0179087	0.0140281	0.0115851	0.0113188
a87	0.195229	0.153681	0.111288	0.0692653	0.0483449	0.0494343	0.044684	0.0476019	0.0489352	0.0618443	0.0680797	0.0536023	0.0480105
a23	0.078958	0.0830813	0.0858741	0.0721338	0.0619868	0.0580186	0.0452959	0.0485251	0.0555497	0.0708815	0.0958725	0.125968	0.117855
a79	0.0489615	0.0462474	0.0390574	0.0277272	0.0215116	0.0177219	0.0141176	0.0172805	0.026695	0.060752	0.138446	0.283601	0.257881
a94	0.278007	0.183448	0.111271	0.0644014	0.0348071	0.0238973	0.0187757	0.0165486	0.0227159	0.0563278	0.0808353	0.0631841	0.0457807
a76	0.32194	0.250459	0.129173	0.0856237	0.0408282	0.0207983	0.0137791	0.0108354	0.0142773	0.0249826	0.0378575	0.0313614	0.0180842
a94	0.180929	0.176021	0.129143	0.112513	0.0793304	0.0610543	0.0452879	0.0329115	0.0288578	0.0332748	0.0428211	0.0442384	0.0336169
a41	0.17512	0.197022	0.141064	0.124003	0.0830321	0.0592481	0.0405689	0.027642	0.0237063	0.0247891	0.0324792	0.0401277	0.0311974
a76	0.129488	0.158738	0.143323	0.132737	0.0977088	0.0781802	0.0592133	0.0441789	0.0351619	0.0331425	0.0338989	0.0302038	0.0240251
a96	0.119766	0.147042	0.13946	0.127755	0.0954112	0.0803237	0.0665114	0.0535874	0.0394372	0.0322975	0.0335949	0.0349993	0.0298125
a54	0.0938181	0.116855	0.13685	0.148948	0.120833	0.0950372	0.0688053	0.0476155	0.03263	0.0271656	0.0296285	0.0404467	0.0413677
a35	0.0699841	0.0844606	0.119001	0.132146	0.118553	0.107243	0.0900946	0.0706131	0.0484678	0.0348634	0.0341161	0.0433028	0.0471543
a94	0.0697207	0.0856996	0.123885	0.139423	0.121906	0.109269	0.0908325	0.0717806	0.0464225	0.0320872	0.0308025	0.0379688	0.0402027
a54	0.0568221	0.0664088	0.114948	0.151358	0.145755	0.122781	0.0860498	0.0588811	0.0347906	0.0240789	0.0259072	0.0465477	0.0656718
a14	0.0473664	0.0532531	0.0938563	0.127115	0.13606	0.126566	0.101376	0.0764099	0.0499607	0.0320035	0.0321113	0.0519688	0.0719535
a73	0.0463377	0.0554464	0.10465	0.135903	0.141767	0.131325	0.101891	0.0756623	0.0504804	0.0318143	0.028804	0.03937	0.05655
a26	0.0351123	0.0378174	0.065887	0.0963669	0.144769	0.154824	0.110403	0.0693649	0.0389092	0.0230724	0.0283116	0.0620756	0.133086
a57	0.0361276	0.0367245	0.0632788	0.0888931	0.137508	0.159251	0.113377	0.0725498	0.0441112	0.0260115	0.0293419	0.0585819	0.134244
a87	0.0263745	0.0268059	0.0456353	0.0658129	0.113777	0.145101	0.108366	0.0799243	0.0535001	0.0413327	0.0411962	0.0774809	0.174694
a23	0.0290394	0.0261719	0.0477878	0.0596319	0.0878372	0.0981708	0.0912303	0.0909077	0.0929042	0.0890873	0.0769984	0.0883529	0.12188
a58	0.0231236	0.0171369	0.0283422	0.0336758	0.0441492	0.0426985	0.0401587	0.0426633	0.0655065	0.100207	0.137893	0.197701	0.226744
a20	0.0354262	0.0260386	0.0422145	0.0578335	0.0744581	0.0674058	0.0594961	0.0516728	0.0665922	0.0835965	0.0958584	0.150861	0.188546
a84	0.0823473	0.0673759	0.0889779	0.0991139	0.0969829	0.0904385	0.0753853	0.0611122	0.0561621	0.0624171	0.0632468	0.0780482	0.0783917
a40	0.0322866	0.0265165	0.0414152	0.0528846	0.0757813	0.0841683	0.0775546	0.0625279	0.071999	0.0781285	0.0860424	0.128534	0.182161
a30	0.0346552	0.0317954	0.0447201	0.0615545	0.0857786	0.0901182	0.0765699	0.0624332	0.0554555	0.067974	0.0849065	0.135319	0.16872
a41	0.0404426	0.0384312	0.0716778	0.097636	0.126605	0.135219	0.110217	0.083922	0.07305	0.0635249	0.0510196	0.0513245	0.0569305
a61	0.0204736	0.0206994	0.0401422	0.0612024	0.0976803	0.120396	0.106358	0.0874374	0.0816633	0.0832603	0.0724156	0.0897681	0.118504
a32	0.0184988	0.017747	0.0281018	0.0398552	0.0593698	0.0736147	0.073619	0.0688014	0.079176	0.100472	0.105358	0.144799	0.190587
a90	0.0240227	0.0237464	0.0321041	0.0422879	0.0595464	0.0738897	0.0728237	0.0676116	0.0760474	0.0964161	0.106987	0.141648	0.182869
a94	0.0193981	0.0181207	0.0273417	0.0386164	0.0659141	0.0920272	0.0880529	0.067568	0.0642467	0.0660525	0.0831692	0.151191	0.218302
a70	0.0179111	0.016603	0.0241739	0.0321348	0.0506192	0.0667317	0.0627131	0.0522485	0.0546997	0.0656488	0.0870828	0.177246	0.292188
a66	0.00798338	0.00752539	0.0099413	0.0121324	0.0173519	0.024184	0.0250894	0.024181	0.0308249	0.0467654	0.0851433	0.253355	0.455523
a61	0.00292219	0.00237617	0.00346439	0.00423684	0.00728877	0.0131967	0.0155641	0.0162815	0.0200458	0.0286737	0.0727899	0.276972	0.536188
a98	0.00486958	0.00448559	0.0049344	0.00516511	0.00658629	0.0095331	0.0112393	0.0137853	0.0217235	0.038215	0.0829469	0.277259	0.519257
a96	0.0046359	0.00399406	0.00451991	0.00438309	0.0055665	0.00806406	0.0101107	0.0131965	0.0211823	0.0413396	0.0879508	0.269684	0.525373
a75	0.00566808	0.00466223	0.00559821	0.00556819	0.00707331	0.0105258	0.0121864	0.0145425	0.0202297	0.0335125	0.0664055	0.242862	0.571165
a14	0.00991441	0.00780886	0.00876206	0.00822296	0.00946263	0.0128662	0.0143995	0.0171894	0.0257419	0.0524666	0.100309	0.250024	0.482832
a90	0.00543584	0.0044181	0.00548477	0.00560549	0.00743313	0.0112868	0.0136511	0.0175422	0.0276878	0.060783	0.114406	0.247692	0.478574
a70	0.00707053	0.00698532	0.00830976	0.00883142	0.0106641	0.0146868	0.0153674	0.0168988	0.0213792	0.0404675	0.0797632	0.250705	0.518871
a62	0.00601971	0.00500493	0.00602142	0.00569281	0.00654754	0.00932822	0.010115	0.0122069	0.0163465	0.0313369	0.0667376	0.237446	0.587197
a98	0.00387971	0.00342769	0.00438708	0.0045823	0.00605149	0.00907425	0.0105419	0.0135377	0.0179455	0.030602	0.0664304	0.23869	0.59085
a75	0.00360607	0.0031358	0.00342421	0.00321529	0.00386898	0.00610064	0.00805118	0.0117877	0.0186243	0.0461694	0.103314	0.260365	0.528338
a73	0.00899692	0.00809549	0.00945788	0.00883829	0.00993473	0.0133355	0.0150235	0.0181036	0.0226608	0.045584	0.0937509	0.250996	0.495222
a26	0.00592407	0.00510288	0.00641524	0.00626009	0.00760555	0.0103932	0.0115246	0.0137343	0.0195472	0.0361881	0.0783884	0.255881	0.543035
a57	0.00557064	0.00383069	0.00558022	0.00532377	0.00721089	0.0124025	0.0143495	0.0170427	0.021456	0.0380995	0.0825944	0.219004	0.567535
a87	0.00378191	0.0026104	0.0032339	0.00266104	0.00361508	0.00692433	0.0109823	0.020726	0.0333354	0.0524761	0.0797803	0.174634	0.605239
</S>	0.0067131	0.0044038	0.00420251	0.00288577	0.00299435	0.00561728	0.0102821	0.0217746	0.0374938	0.0614275	0.119197	0.262874	0.460134
