 	je	suis	dans	la	joie	parce	que	je	me	suis	fait	baptiser	</S>
a66	0.239068	0.126535	0.0753188	0.0593647	0.0682549	0.0650791	0.0660824	0.0709392	0.0814531	0.0610898	0.037128	0.0334575	0.0162296
a87	0.344404	0.246278	0.108951	0.0480921	0.0455126	0.0617221	0.0524927	0.0338497	0.0227714	0.0145533	0.00844044	0.00787018	0.00506335
a23	0.234996	0.233591	0.165601	0.115569	0.0986467	0.0883875	0.0387202	0.0130315	0.00460175	0.0019275	0.00135858	0.00151473	0.00205428
a99	0.238288	0.207113	0.121039	0.12681	0.0952317	0.0900886	0.0507863	0.0288088	0.0120942	0.00777641	0.00765127	0.0063949	0.00791841
a50	0.26819	0.146539	0.0788525	0.0859536	0.104262	0.0894964	0.0511051	0.0378431	0.0224649	0.0201149	0.0247015	0.027608	0.042869
a83	0.254685	0.133422	0.084716	0.0902012	0.0855913	0.0889717	0.0649899	0.0511251	0.0365957	0.0293033	0.0233024	0.0221568	0.03494
a5	0.149697	0.129426	0.131679	0.146907	0.0889981	0.0981751	0.0812858	0.0609443	0.0370091	0.0254441	0.0171303	0.0136485	0.0196551
a18	0.105791	0.0995385	0.127447	0.159592	0.0859054	0.112252	0.102592	0.0800727	0.0496522	0.0322439	0.0197833	0.0122566	0.0128739
a12	0.0678242	0.0651718	0.101287	0.156367	0.0890368	0.121667	0.120835	0.101818	0.0696989	0.0452244	0.0260019	0.0154505	0.0196175
a5	0.0574552	0.0492726	0.0704179	0.127403	0.0927762	0.133554	0.137649	0.113364	0.0795957	0.0514799	0.0351913	0.0215952	0.0302453
a18	0.050094	0.0405493	0.0550507	0.10568	0.0825445	0.139068	0.156169	0.129105	0.0912543	0.0522716	0.0385285	0.0247951	0.0348901
a50	0.0112238	0.0118105	0.0185737	0.0440938	0.0843026	0.127651	0.152313	0.155819	0.130212	0.0766001	0.0668871	0.0473404	0.0731725
a96	0.0219734	0.0221089	0.0291819	0.0593712	0.0817299	0.111575	0.130052	0.139261	0.126563	0.0823685	0.066343	0.0484294	0.0810429
a70	0.018049	0.0184354	0.0227243	0.0433821	0.0727401	0.100183	0.118051	0.135193	0.136744	0.098471	0.0833801	0.0577433	0.0949041
a66	0.0168729	0.0168144	0.0214751	0.0400218	0.0688998	0.0802441	0.0992972	0.11667	0.140472	0.121885	0.0936103	0.0676065	0.11613
a50	0.0158976	0.0140344	0.0165447	0.0272358	0.044083	0.0491826	0.058889	0.0819363	0.134456	0.163249	0.127764	0.0906996	0.176028
a98	0.00996582	0.00961916	0.012634	0.0209012	0.0359851	0.0436153	0.0541077	0.076841	0.132964	0.170287	0.137247	0.104541	0.191292
a99	0.0140116	0.0117639	0.0128753	0.0203977	0.0320841	0.039603	0.0498381	0.0739458	0.130053	0.173564	0.161394	0.10888	0.171589
a57	0.0122659	0.0088924	0.00938358	0.0130023	0.0177458	0.0170789	0.0196677	0.0256106	0.0699965	0.146719	0.160922	0.179185	0.31953
a13	0.00861559	0.00632623	0.00680357	0.00823498	0.00680895	0.0075285	0.00990499	0.0119262	0.0333302	0.0925959	0.20409	0.273424	0.330411
a53	0.00347761	0.00255604	0.00266152	0.00318223	0.00318707	0.0038827	0.005363	0.00577456	0.0178156	0.0607582	0.185998	0.279325	0.426019
a44	0.00151674	0.00113232	0.00115764	0.00154797	0.00204217	0.00235046	0.00316755	0.00410734	0.0137755	0.0477096	0.138477	0.234128	0.548887
a4	0.00196117	0.00141291	0.00141265	0.00183496	0.00249234	0.0029635	0.00399024	0.00505679	0.0154812	0.0501631	0.145497	0.233898	0.533837
a44	0.00112922	0.000843298	0.000851233	0.00109446	0.00148709	0.00193247	0.00278395	0.00329087	0.00914669	0.0325925	0.135642	0.225372	0.583834
a13	0.000820475	0.000679552	0.000717937	0.00090172	0.0011012	0.00153693	0.0023048	0.00257922	0.006455	0.0227255	0.124401	0.215337	0.62044
a71	0.00121049	0.00109457	0.00134733	0.00182158	0.00232269	0.00311486	0.00429964	0.00416032	0.00812843	0.0218322	0.119086	0.192382	0.639199
a3	0.00341949	0.00298227	0.0031979	0.0040733	0.00456888	0.0052908	0.00667088	0.00626054	0.00977139	0.0229393	0.138698	0.191652	0.600475
a97	0.134538	0.0901666	0.0475633	0.0373623	0.0322088	0.031947	0.0341334	0.0287539	0.0316928	0.0452666	0.12192	0.132098	0.232349
a87	0.289918	0.222427	0.113504	0.0661879	0.032991	0.0296489	0.0298401	0.0200173	0.0227979	0.0293004	0.0486215	0.0437247	0.0510215
a23	0.190621	0.15423	0.0925448	0.0654493	0.0415863	0.0384913	0.0432798	0.0378609	0.0550241	0.0657483	0.0765578	0.0679273	0.0706784
a87	0.223724	0.237285	0.133044	0.0790443	0.0246325	0.0345506	0.0409178	0.0374631	0.0427161	0.0395921	0.0379962	0.0291989	0.0398352
</S>	0.169491	0.215847	0.140121	0.0822291	0.0243142	0.0321897	0.0402128	0.0420244	0.048819	0.0500509	0.0567513	0.0450934	0.0528554
