 	aujourd'	hui	nous	avons	mangé	la	patate	douce	avec	le	saka-saka	</S>
a87	0.212553	0.157021	0.142354	0.0986541	0.124539	0.101512	0.0620079	0.037264	0.0156054	0.0148611	0.0157854	0.0178428
a79	0.220772	0.0808175	0.066241	0.0413726	0.0449523	0.03564	0.0620702	0.100418	0.0769622	0.0864999	0.0863023	0.0979521
a20	0.166162	0.114621	0.104471	0.0734948	0.0536121	0.0404242	0.0326695	0.03988	0.0544323	0.0700247	0.0980976	0.152111
a94	0.355476	0.209254	0.124077	0.0542597	0.0252164	0.0218613	0.0172194	0.0156514	0.0291976	0.0416919	0.042726	0.0633687
a54	0.36644	0.223471	0.172339	0.0886137	0.0423036	0.0347648	0.0135591	0.00612924	0.0068324	0.0125259	0.013303	0.0197178
a44	0.241424	0.180353	0.184017	0.141771	0.0667371	0.0597243	0.0258749	0.0141163	0.0149129	0.0223708	0.0194826	0.0292158
a66	0.181582	0.169711	0.183843	0.163548	0.0862771	0.0829343	0.0338928	0.0190694	0.0167369	0.0207551	0.0172989	0.0243521
a61	0.104324	0.12968	0.16168	0.199958	0.133819	0.125791	0.039984	0.022663	0.0185596	0.0208931	0.017854	0.0247938
a0	0.0719648	0.0955751	0.126966	0.195047	0.149673	0.154325	0.0643665	0.0352702	0.0245499	0.0256871	0.0246793	0.0318962
a47	0.0615188	0.0843137	0.11167	0.175669	0.164792	0.182569	0.0833219	0.041432	0.0238156	0.0230762	0.0219884	0.0258332
a88	0.0903309	0.113735	0.135204	0.179518	0.147767	0.142731	0.0709262	0.0378447	0.0220783	0.0189885	0.0192966	0.0215788
a0	0.038117	0.048246	0.0618692	0.114798	0.156753	0.203875	0.165243	0.078066	0.0340972	0.0307646	0.0313086	0.036862
a21	0.025891	0.0315189	0.0376261	0.0718409	0.138704	0.17801	0.176633	0.099126	0.0521175	0.0494035	0.0560143	0.083116
a96	0.0641216	0.0709635	0.0739945	0.112387	0.146311	0.156567	0.12947	0.0989913	0.0480024	0.0318755	0.0332493	0.0340675
a0	0.047651	0.0489377	0.0485122	0.070325	0.112105	0.142357	0.181641	0.136121	0.0619527	0.0459649	0.050087	0.0543458
a75	0.0290172	0.0318053	0.0335865	0.0528785	0.0974553	0.140124	0.238134	0.159611	0.0677468	0.0461504	0.0484903	0.0550011
a92	0.0395114	0.0393871	0.0290538	0.0302902	0.0338796	0.0359632	0.058102	0.0922794	0.138424	0.133219	0.184702	0.185188
a90	0.0373814	0.0387282	0.0299897	0.0340431	0.0356833	0.0408573	0.0815444	0.137372	0.144064	0.117929	0.149337	0.153071
a92	0.0211225	0.0239242	0.0185075	0.0228809	0.027621	0.0330719	0.0633642	0.121276	0.168633	0.141835	0.174584	0.18318
a85	0.0214212	0.0236567	0.0187955	0.0228466	0.0269729	0.0316609	0.0614539	0.102346	0.153002	0.14726	0.192547	0.198037
a47	0.0179685	0.0168875	0.0129142	0.0119798	0.0133547	0.015199	0.0370476	0.0713397	0.127768	0.160837	0.268632	0.246073
a5	0.0198902	0.017334	0.013512	0.0118196	0.0111535	0.0121192	0.0248298	0.0421815	0.0931632	0.140149	0.28329	0.330558
a62	0.0251065	0.0259509	0.0247706	0.0289944	0.0315923	0.0348609	0.0545629	0.0763643	0.116651	0.144349	0.224864	0.211933
a21	0.0104783	0.009493	0.010222	0.0140578	0.0186804	0.0254317	0.0525123	0.0793259	0.132602	0.173258	0.243588	0.230351
a85	0.0322866	0.0283891	0.027913	0.0309084	0.0346805	0.0365955	0.0403831	0.0592053	0.111308	0.159956	0.225184	0.21319
a36	0.0138765	0.0109857	0.00916935	0.00923126	0.00904573	0.00954221	0.0154974	0.0369184	0.0971409	0.152639	0.314883	0.321071
a2	0.00307802	0.00281985	0.00231502	0.00355888	0.00741606	0.00987544	0.0190985	0.0262862	0.0669835	0.154694	0.332645	0.371229
a57	0.00869286	0.00518331	0.00350511	0.00469017	0.00805827	0.00757422	0.0109925	0.0193338	0.0443018	0.16301	0.293738	0.430919
a87	0.0354442	0.0184489	0.0120818	0.012065	0.017457	0.0145183	0.0231158	0.0436987	0.0783047	0.154117	0.233593	0.357156
a23	0.0822291	0.0404519	0.0269143	0.0231847	0.0321071	0.0273359	0.0468909	0.0985789	0.120982	0.129343	0.155108	0.216874
a87	0.0133569	0.00577401	0.00357187	0.00355517	0.00512963	0.0055675	0.0184783	0.0433174	0.103747	0.185654	0.275645	0.336203
</S>	0.00130974	0.000884522	0.000692917	0.000967852	0.00196036	0.0024701	0.0102358	0.0284383	0.0927968	0.182929	0.324376	0.352939
