 	l'	arc-en-ciel	entoure	la	soleil	</S>
a85	0.239156	0.322199	0.254546	0.0929406	0.0540225	0.0371362
a87	0.294575	0.153931	0.223168	0.127081	0.104536	0.0967091
a23	0.35514	0.207282	0.195942	0.0834528	0.0731246	0.085059
a87	0.336818	0.290299	0.182862	0.0599917	0.0575903	0.0724384
a23	0.322327	0.279706	0.192367	0.0728273	0.0600308	0.072742
a87	0.295707	0.272135	0.180265	0.0830239	0.0775412	0.0913277
a23	0.280676	0.273368	0.172981	0.077921	0.082001	0.113052
a79	0.337113	0.239461	0.143795	0.0844025	0.0925078	0.10272
a58	0.463029	0.382574	0.0905457	0.0274817	0.0194288	0.0169404
a82	0.448337	0.394844	0.120991	0.0189969	0.00932026	0.00751094
a53	0.317382	0.397601	0.206935	0.0406484	0.0201998	0.0172343
a94	0.320969	0.342639	0.193684	0.072689	0.0370875	0.0329312
a20	0.381923	0.362307	0.155674	0.0492448	0.0270308	0.0238217
a94	0.351279	0.360377	0.143717	0.0649307	0.0413183	0.0383775
a38	0.329517	0.353482	0.183319	0.0683759	0.0358777	0.0294286
a76	0.285398	0.346299	0.206024	0.0803163	0.0446718	0.0372902
a94	0.29827	0.353676	0.167172	0.0844023	0.0541922	0.0422875
a76	0.227018	0.26776	0.219268	0.146324	0.0829181	0.0567113
a94	0.193221	0.262904	0.214619	0.151418	0.100968	0.0768705
a76	0.0725207	0.116894	0.18854	0.257154	0.209291	0.1556
a94	0.0624715	0.0957176	0.181009	0.220026	0.227178	0.213598
a38	0.0312093	0.0468964	0.119825	0.264693	0.301119	0.236257
a24	0.0215814	0.0297045	0.0827672	0.236669	0.333168	0.29611
a35	0.00938247	0.0101512	0.0388361	0.163247	0.365735	0.412648
a24	0.0137354	0.0139345	0.0447599	0.17191	0.358771	0.396889
a25	0.00851583	0.00788443	0.0232615	0.115092	0.331596	0.51365
a38	0.0101249	0.00953253	0.0252524	0.130755	0.343627	0.480709
a41	0.0104122	0.0107467	0.0244014	0.114664	0.314978	0.524798
a37	0.00950383	0.00886787	0.0334268	0.125455	0.33577	0.486977
a75	0.00696495	0.00550765	0.0155065	0.0800819	0.290287	0.601652
a73	0.00909504	0.00710642	0.0253862	0.0995596	0.327103	0.53175
a84	0.00836766	0.00632053	0.022505	0.0910551	0.318854	0.552898
a57	0.00961724	0.00601871	0.0181457	0.0663474	0.254052	0.645819
a87	0.00955955	0.00549927	0.0181702	0.0793084	0.279155	0.608307
</S>	0.0170647	0.0129256	0.0371504	0.124663	0.311239	0.496957
