 	leur	manière	d'	honorer	le	chef	fait	plaisir	</S>
a66	0.152985	0.175959	0.209756	0.215506	0.0969502	0.0846949	0.0393806	0.0158753	0.0088931
a87	0.464627	0.36107	0.127888	0.0178901	0.00679985	0.00802599	0.00444977	0.00364886	0.00560107
a23	0.350974	0.283187	0.135605	0.0608202	0.0379569	0.0434315	0.0315197	0.0270548	0.0294506
a18	0.214309	0.410336	0.130377	0.0911687	0.0464521	0.0374153	0.0258904	0.015879	0.0281724
a75	0.15408	0.298833	0.134347	0.153809	0.0760412	0.0705838	0.0413147	0.0284581	0.0425335
a5	0.226051	0.247454	0.201217	0.164954	0.0598769	0.0416267	0.0250973	0.0166606	0.0170615
a23	0.152663	0.268871	0.266423	0.173304	0.0586225	0.0382135	0.0207562	0.012573	0.0085748
a5	0.175207	0.255465	0.222089	0.135883	0.0756323	0.0518643	0.0385237	0.0255967	0.0197379
a43	0.186841	0.210212	0.200054	0.158913	0.0944221	0.0557479	0.0401357	0.026806	0.0268684
a24	0.128203	0.16465	0.191517	0.202875	0.133738	0.0691773	0.0458143	0.0312948	0.0327307
a21	0.0876878	0.13097	0.169043	0.217037	0.173172	0.0940045	0.061553	0.0332065	0.0333259
a5	0.0699705	0.109073	0.16467	0.213036	0.162103	0.100911	0.0835038	0.0438712	0.0528619
a85	0.0277006	0.0603545	0.111839	0.206471	0.185587	0.133463	0.122858	0.0706306	0.0810973
a6	0.0191721	0.0368212	0.0843101	0.119426	0.148822	0.123694	0.134467	0.148353	0.184935
a43	0.0158386	0.0270528	0.0637725	0.129492	0.221328	0.196964	0.148471	0.088095	0.108986
a75	0.015218	0.022307	0.0419692	0.0911979	0.200186	0.215594	0.178434	0.10796	0.127135
a79	0.00638466	0.00900082	0.0184005	0.043693	0.145696	0.190097	0.19691	0.174789	0.215029
a90	0.00467731	0.00677209	0.0149514	0.0341422	0.141103	0.230861	0.234106	0.156609	0.176778
a93	0.00344114	0.00498385	0.00922834	0.019181	0.114098	0.248057	0.270472	0.166507	0.164032
a4	0.00173385	0.00213669	0.00373899	0.00867418	0.073623	0.23628	0.278557	0.211287	0.18397
a93	0.00194603	0.00166738	0.00267444	0.00505807	0.034936	0.144645	0.234134	0.291777	0.283162
a70	0.00265131	0.00214901	0.00333005	0.00531937	0.0302525	0.130912	0.216773	0.302061	0.306553
a62	0.00134346	0.00132565	0.0020787	0.00376387	0.0202773	0.0772485	0.140234	0.308167	0.445562
a21	0.000978223	0.000940689	0.00153604	0.00273213	0.0150064	0.0596935	0.120598	0.319018	0.479497
a5	0.00048714	0.000390063	0.000632713	0.00107677	0.00585334	0.0249641	0.0746246	0.285049	0.606922
a23	0.000223402	0.000216663	0.000401185	0.000756824	0.00634009	0.0244798	0.055216	0.259086	0.65328
a21	0.000179375	0.000121973	0.000221811	0.000330273	0.00450587	0.0180805	0.0357795	0.183194	0.757587
a12	0.000225026	0.000178021	0.000308663	0.000475604	0.00263205	0.00923561	0.0302591	0.212343	0.744343
a43	0.000235497	0.000215426	0.000412245	0.000724119	0.00425159	0.0134653	0.03352	0.198441	0.748734
a18	0.000177012	0.000151037	0.000272265	0.000501432	0.00408525	0.0137783	0.0274824	0.162079	0.791473
a25	0.00517152	0.00306133	0.00355887	0.00460254	0.0176781	0.0295691	0.0468739	0.193359	0.696126
a3	0.0379953	0.0173497	0.0159763	0.0127453	0.0249925	0.0375347	0.0584755	0.202334	0.592596
a87	0.132772	0.057872	0.0385444	0.0192597	0.0280634	0.0433897	0.0793695	0.212275	0.388454
a23	0.234665	0.104643	0.105515	0.0350315	0.0399075	0.0687188	0.103984	0.152425	0.155111
a87	0.0537024	0.0238972	0.0239818	0.00666798	0.018492	0.0610066	0.112918	0.211333	0.488001
a97	0.0145869	0.00576537	0.00669827	0.00214092	0.00907902	0.0256631	0.0424097	0.143592	0.750064
</S>	0.0411837	0.0202796	0.0242468	0.0122473	0.0314563	0.0594077	0.0706077	0.135847	0.604724
