 	ils	se	sont	associés	pour	faire	le	travail	</S>
a23	0.332829	0.236257	0.125028	0.0905031	0.0500827	0.0356513	0.0403544	0.0425142	0.0467804
a85	0.360442	0.242246	0.142256	0.0882161	0.0440594	0.026419	0.0266696	0.0299657	0.0397264
a87	0.257257	0.168215	0.102005	0.0862393	0.060482	0.0514055	0.0572814	0.0800307	0.137083
a23	0.316683	0.187578	0.107444	0.0618019	0.0432225	0.0397254	0.0492769	0.0715093	0.12276
a40	0.187594	0.0960427	0.0604493	0.0473025	0.0483559	0.0588318	0.0961174	0.143686	0.26162
a20	0.324524	0.165345	0.104215	0.0852937	0.071658	0.0661431	0.0616388	0.0577221	0.0634611
a73	0.319171	0.226469	0.151991	0.105505	0.0739742	0.0471051	0.0306643	0.0234523	0.0216691
a58	0.25981	0.229537	0.176229	0.125761	0.0918266	0.0504798	0.0266138	0.0203672	0.0193759
a76	0.205508	0.194866	0.179084	0.129647	0.107797	0.0690097	0.0420448	0.035543	0.0365007
a94	0.143017	0.158214	0.145213	0.128555	0.132083	0.108419	0.0707118	0.0578383	0.0559495
a71	0.156574	0.147623	0.137089	0.132578	0.154376	0.117589	0.0624477	0.0474228	0.0443008
a24	0.12576	0.145742	0.164017	0.144049	0.143781	0.101282	0.0561934	0.0535086	0.0656671
a88	0.116704	0.109439	0.109604	0.11649	0.163634	0.156236	0.0892346	0.0702513	0.0684065
a71	0.121337	0.132186	0.132959	0.127729	0.149111	0.127159	0.0773778	0.0654011	0.0667401
a58	0.0929687	0.105272	0.117989	0.111854	0.141353	0.132347	0.0971607	0.097685	0.10337
a76	0.0761337	0.095267	0.121123	0.125094	0.163868	0.145388	0.098955	0.0873661	0.0868059
a94	0.0459385	0.0507294	0.0627577	0.0859076	0.133666	0.169061	0.13969	0.141001	0.171249
a24	0.0628703	0.0523612	0.0483405	0.0507254	0.0772008	0.130657	0.156244	0.194343	0.227258
a18	0.0463156	0.0355867	0.0347881	0.040715	0.0646223	0.114578	0.158949	0.222051	0.282394
a98	0.0605985	0.0499988	0.0442629	0.0453664	0.0703972	0.123222	0.160829	0.201055	0.244271
a32	0.0232364	0.0193611	0.0221533	0.0310836	0.0631411	0.132837	0.187955	0.235915	0.284318
a75	0.0139411	0.0110249	0.0116958	0.015309	0.0348909	0.0909551	0.171805	0.268284	0.382095
a73	0.0102473	0.00851607	0.0115017	0.0184777	0.0384878	0.088332	0.171865	0.2679	0.384673
a94	0.00924684	0.00829558	0.0103547	0.0146038	0.0321576	0.0799584	0.168691	0.282118	0.394574
a20	0.00826055	0.00664222	0.00724334	0.0102516	0.024763	0.0613287	0.134174	0.269897	0.477439
a44	0.00766356	0.00501941	0.00558005	0.00930557	0.0251907	0.0593798	0.150343	0.278056	0.459462
a84	0.00442311	0.00334871	0.00405127	0.00678455	0.0207078	0.0515675	0.128335	0.2742	0.506582
a57	0.00159019	0.00125024	0.00155272	0.00256471	0.0094132	0.0276338	0.0915387	0.248143	0.616314
a87	0.00224712	0.00137053	0.00126396	0.00206354	0.00679237	0.0235551	0.0946852	0.251089	0.616933
a23	0.00197049	0.00153395	0.00190345	0.0042934	0.0139781	0.0485514	0.150806	0.277265	0.499698
a87	0.00865522	0.00580225	0.00581886	0.0102758	0.0241133	0.0661476	0.167124	0.294211	0.417853
</S>	0.00279934	0.00232295	0.00299409	0.00584351	0.0172809	0.0548256	0.15192	0.279661	0.482353
