 	asoua	est	en	train	de	préparer	un	voyage	</S>
a84	0.240977	0.156966	0.108994	0.112126	0.128696	0.111954	0.0614032	0.0436743	0.0352104
a66	0.404912	0.242786	0.129728	0.0808639	0.0547396	0.0370275	0.0191306	0.0148289	0.0159843
a87	0.611836	0.232279	0.0576065	0.0262002	0.0217468	0.0168131	0.0124415	0.0103701	0.0107062
a23	0.440554	0.287656	0.166146	0.0417663	0.02858	0.0131304	0.0073903	0.00687375	0.00790338
a26	0.573543	0.217194	0.0889127	0.0314106	0.0240443	0.0135422	0.0136079	0.015397	0.0223485
a57	0.550169	0.189725	0.08304	0.0359502	0.0290011	0.0214205	0.0244366	0.0288072	0.0374502
a30	0.551291	0.181852	0.0774573	0.0351486	0.0249887	0.0202918	0.0279711	0.0355136	0.0454858
a53	0.47289	0.174108	0.0857668	0.0578007	0.0399768	0.0356152	0.0374597	0.0439936	0.0523891
a69	0.337729	0.203513	0.198269	0.111077	0.0593137	0.0429821	0.0202394	0.0144534	0.0124228
a58	0.222997	0.186227	0.245457	0.137582	0.0930541	0.0652029	0.023659	0.0142726	0.0115488
a57	0.100239	0.11625	0.216651	0.133641	0.131624	0.106235	0.0685147	0.0617057	0.0651384
a30	0.0764406	0.108789	0.222612	0.135272	0.147959	0.111688	0.0664905	0.0607446	0.0700057
a4	0.0306992	0.0507781	0.128241	0.125518	0.154941	0.148892	0.108865	0.115106	0.13696
a70	0.0279385	0.0536989	0.116369	0.116956	0.157424	0.156564	0.114576	0.119306	0.137168
a54	0.00694554	0.0183326	0.0406169	0.0735528	0.12776	0.163353	0.142709	0.181177	0.245552
a7	0.0112367	0.03233	0.0684809	0.137112	0.189751	0.200561	0.116541	0.111326	0.132662
a2	0.00495841	0.0108647	0.0259606	0.0846556	0.127464	0.171359	0.139235	0.184179	0.251323
a4	0.00182409	0.00223444	0.00610291	0.0198398	0.0335751	0.0649605	0.153726	0.281513	0.436224
a57	0.00163562	0.0018548	0.00435186	0.0172563	0.0308726	0.0662302	0.15191	0.278035	0.447854
a4	0.00324525	0.00204114	0.00327154	0.00948992	0.0143255	0.0424863	0.165662	0.306735	0.452743
a13	0.00307153	0.00245688	0.00365116	0.0122904	0.0220912	0.0598394	0.19964	0.316004	0.380955
a9	0.00230357	0.00175972	0.00244595	0.00742158	0.011058	0.0309417	0.150061	0.332633	0.461375
a10	0.0108032	0.0063556	0.00763351	0.0199295	0.0191502	0.0420527	0.131984	0.295096	0.466995
a99	0.123455	0.0897785	0.056886	0.0729342	0.0518792	0.0608125	0.0959805	0.174253	0.274021
a18	0.142725	0.119986	0.0722927	0.0898933	0.0711364	0.0769318	0.103655	0.149785	0.173594
a26	0.0998947	0.0795997	0.0495377	0.0783779	0.0691928	0.0886172	0.128509	0.188517	0.217754
a82	0.0435555	0.0447107	0.0343394	0.0583058	0.0539237	0.07751	0.129017	0.236232	0.322405
a87	0.0580589	0.0614332	0.0527387	0.0816185	0.0699581	0.0895577	0.122458	0.203174	0.261004
a23	0.0694274	0.0827894	0.0738761	0.114324	0.0941368	0.11073	0.11697	0.157823	0.179923
a87	0.135039	0.105862	0.0828219	0.116583	0.0758583	0.0878662	0.100564	0.131228	0.164177
</S>	0.186183	0.126082	0.0756977	0.117693	0.0719886	0.0763185	0.084381	0.11496	0.146695
