 	il	n'	y	a	personne	alentour	</S>
a23	0.112413	0.0985109	0.121335	0.166328	0.216941	0.207913	0.0765589
a87	0.139606	0.138084	0.184927	0.192138	0.166937	0.118465	0.0598439
a23	0.156671	0.177855	0.207617	0.186466	0.146462	0.0828816	0.042047
a41	0.217623	0.216912	0.215395	0.157794	0.102511	0.0625856	0.0271793
a26	0.487334	0.215549	0.13868	0.0789287	0.0458264	0.0221364	0.0115456
a82	0.505927	0.231163	0.138364	0.065825	0.0376918	0.0140175	0.00701092
a38	0.307405	0.215662	0.180682	0.129851	0.0929475	0.0525957	0.0208556
a41	0.237115	0.221379	0.221697	0.159476	0.0995939	0.0404949	0.0202446
a14	0.247397	0.243326	0.228801	0.151488	0.0885655	0.0270982	0.0133238
a94	0.236862	0.24169	0.223943	0.148725	0.0986014	0.0345728	0.0156064
a76	0.24518	0.2494	0.22373	0.143449	0.0936618	0.0317419	0.0128374
a94	0.232426	0.231437	0.21307	0.144711	0.109221	0.0476208	0.0215141
a58	0.181136	0.211105	0.223694	0.171649	0.12931	0.0582603	0.0248462
a82	0.115549	0.167393	0.219034	0.201696	0.156017	0.0945522	0.0457601
a87	0.098022	0.15081	0.213812	0.213077	0.155296	0.108685	0.060297
a23	0.132138	0.153952	0.197383	0.207722	0.139165	0.0931155	0.0765255
a53	0.153	0.161032	0.192798	0.194769	0.144383	0.0877193	0.0662989
a76	0.212869	0.183714	0.193691	0.160611	0.121494	0.0741428	0.0534777
a90	0.155747	0.15896	0.176664	0.165066	0.162272	0.110977	0.0703146
a98	0.129133	0.13807	0.167014	0.173769	0.153719	0.129292	0.109004
a14	0.0858288	0.102321	0.130854	0.159896	0.177771	0.182455	0.160875
a44	0.0797682	0.0904682	0.111936	0.162135	0.191529	0.199689	0.164474
a26	0.0504832	0.0652905	0.0844368	0.103307	0.145455	0.271335	0.279693
a24	0.0418425	0.05848	0.0864096	0.1247	0.174499	0.278708	0.235361
a25	0.0441269	0.0529754	0.0695747	0.0969781	0.149289	0.269532	0.317523
a38	0.0361527	0.0467085	0.0676777	0.096479	0.155017	0.26925	0.328716
a75	0.0508266	0.0575217	0.0734759	0.100552	0.145139	0.294606	0.277879
a14	0.0201977	0.0270365	0.0395078	0.0598096	0.11193	0.313488	0.42803
a30	0.015044	0.0201126	0.0291019	0.0446509	0.0812687	0.320269	0.489553
a57	0.0255362	0.0354856	0.052979	0.0724472	0.108032	0.269122	0.436398
a87	0.0479243	0.0502103	0.0649868	0.0777992	0.116	0.23711	0.40597
a23	0.041887	0.0331213	0.0374012	0.0690762	0.150036	0.270456	0.398022
a87	0.0489172	0.0378953	0.0392101	0.0520717	0.124981	0.298824	0.398102
a23	0.073157	0.0510608	0.0466798	0.0659315	0.143635	0.310796	0.30874
a99	0.0714394	0.0579007	0.0520788	0.0613153	0.163198	0.337773	0.256295
a87	0.0279205	0.0279832	0.0362559	0.058584	0.152721	0.370013	0.326523
a23	0.0666792	0.0543865	0.0535101	0.0736104	0.17939	0.325224	0.2472
a87	0.0538298	0.0485022	0.0523264	0.0790175	0.204999	0.352656	0.208669
</S>	0.0754112	0.0599508	0.0576815	0.075597	0.170427	0.323645	0.237288
