 	ondongo	est	devenu	pauvre	parce	que	sa	maison	a	été	incendiée	</S>
a66	0.0936965	0.104724	0.109178	0.123078	0.120183	0.140594	0.134934	0.0919018	0.0358894	0.0200591	0.0184573	0.007305
a87	0.175216	0.129401	0.113375	0.101277	0.0766634	0.0859366	0.0880461	0.0839953	0.0509235	0.0440967	0.0380461	0.0130238
a10	0.129453	0.13158	0.147384	0.127714	0.0905382	0.0771149	0.0525749	0.0709358	0.068286	0.0591329	0.0340593	0.0112271
a87	0.146445	0.175397	0.179237	0.180731	0.0944405	0.0542338	0.0325309	0.036168	0.0348451	0.0371737	0.0197319	0.00906533
a23	0.140928	0.160781	0.165101	0.165122	0.0905118	0.0606067	0.0425413	0.0486831	0.0462037	0.0477266	0.0209951	0.0107996
a30	0.102796	0.0874336	0.0828547	0.0942296	0.0468091	0.0449705	0.0592683	0.0988848	0.132347	0.159568	0.06368	0.0271591
a4	0.0990282	0.0998092	0.110173	0.136227	0.0543933	0.0536941	0.0664005	0.0963149	0.110357	0.111611	0.0487939	0.0131982
a93	0.103205	0.125978	0.125926	0.140127	0.0950607	0.0637947	0.0470302	0.0597167	0.0685748	0.0729832	0.0807699	0.0168326
a70	0.10243	0.125853	0.128436	0.130131	0.10827	0.0691676	0.0458008	0.0540497	0.0592272	0.0540929	0.0934245	0.0291174
a56	0.079234	0.0984797	0.10417	0.113948	0.0980575	0.0606374	0.0414524	0.0504329	0.0572963	0.0611336	0.167842	0.0673161
a98	0.0740475	0.0870516	0.0931774	0.103632	0.09591	0.0664234	0.041432	0.0420298	0.0456124	0.0627985	0.194459	0.0934256
a47	0.0595128	0.0831257	0.0993913	0.118607	0.126389	0.104405	0.081911	0.062398	0.0393434	0.0461929	0.0962789	0.0824451
a92	0.0634232	0.083259	0.0951719	0.106074	0.0915156	0.0662298	0.0432073	0.0377051	0.0349464	0.0661371	0.212913	0.0994176
a21	0.0613514	0.0682314	0.0714945	0.0889837	0.0896304	0.0736812	0.0636477	0.0529216	0.0374806	0.0595835	0.226158	0.106836
a12	0.0375361	0.0509229	0.0536811	0.0791123	0.0804948	0.0625053	0.046869	0.0410688	0.0345389	0.0590632	0.282034	0.172174
a62	0.0290137	0.0467869	0.0581079	0.0988668	0.103343	0.0831007	0.0561295	0.0415699	0.0341337	0.0605737	0.204138	0.184236
a93	0.0205662	0.0351749	0.0448581	0.0963873	0.108187	0.0948542	0.066059	0.044253	0.0401207	0.0631863	0.193222	0.193132
a44	0.0156296	0.0260203	0.0327166	0.0641508	0.0732186	0.0631622	0.0481224	0.0453237	0.0475838	0.0907427	0.287625	0.205704
a70	0.00863652	0.0105133	0.0114652	0.0157415	0.0161637	0.0140614	0.0104026	0.0110019	0.0201675	0.0738671	0.420923	0.387056
a11	0.0052208	0.00639892	0.00741841	0.0105544	0.0113691	0.0114835	0.0114493	0.0127617	0.027598	0.0723497	0.29063	0.532767
a75	0.00579228	0.00632928	0.00843702	0.0111639	0.0105476	0.0116378	0.0113532	0.0121221	0.0244954	0.0506711	0.179064	0.668386
a92	0.00105119	0.00106225	0.00135552	0.00156234	0.00175196	0.00201577	0.00377893	0.00649822	0.0147411	0.0308402	0.153361	0.781981
a21	0.00118193	0.00119076	0.00144091	0.0019851	0.00268432	0.00357825	0.00711661	0.0091602	0.0168374	0.0292896	0.138479	0.787056
a47	0.00102857	0.00111458	0.00133657	0.00205523	0.00296539	0.00351964	0.00568763	0.00721387	0.013424	0.0266836	0.134369	0.800602
a88	0.00113232	0.00126269	0.00159566	0.00267233	0.00416056	0.00629648	0.0147759	0.0201606	0.0290309	0.0422106	0.151899	0.724803
a93	0.00142454	0.00153559	0.00216082	0.00290752	0.00458644	0.00749415	0.0152181	0.0183191	0.0283631	0.0428095	0.179624	0.695557
a94	0.00170921	0.00207574	0.00292692	0.00419588	0.00617138	0.00911835	0.017628	0.0215007	0.0311487	0.0483451	0.187912	0.667269
a26	0.00228287	0.0027514	0.0038904	0.00532556	0.00761941	0.0121688	0.0241969	0.0309972	0.0434245	0.0732586	0.231037	0.563047
a57	0.046841	0.0439261	0.0560487	0.0564629	0.0652278	0.111939	0.137138	0.120637	0.0939488	0.0767142	0.05932	0.131796
a10	0.0961723	0.105822	0.116995	0.0968511	0.0869548	0.108391	0.0919042	0.081983	0.0647936	0.0531424	0.038453	0.0585381
a87	0.0776257	0.0771767	0.0808862	0.0775285	0.0748126	0.093385	0.0812016	0.0754357	0.070801	0.0729775	0.106075	0.112095
a23	0.0502761	0.0547847	0.0651671	0.07116	0.0820211	0.0998888	0.0863857	0.0739945	0.0730723	0.0854723	0.154911	0.102866
a99	0.0134879	0.010571	0.0108837	0.00948996	0.012156	0.0130371	0.0130425	0.0175403	0.0376969	0.0865612	0.360562	0.414972
a10	0.0122631	0.0115671	0.0148884	0.0145932	0.0174235	0.0175537	0.0185257	0.0272875	0.04714	0.0983552	0.299765	0.420638
</S>	0.00958389	0.00988237	0.0120953	0.0113714	0.0121762	0.0120329	0.0126976	0.0209378	0.0447785	0.104051	0.285085	0.465308
