 	il	a	dix	ans	</S>
a87	0.322385	0.232668	0.137295	0.127403	0.180248
a23	0.231899	0.15817	0.147587	0.22505	0.237295
a53	0.278522	0.188062	0.153354	0.180178	0.199883
a20	0.366446	0.305241	0.190134	0.0847921	0.0533871
a14	0.524719	0.341819	0.0954456	0.0261305	0.0118863
a41	0.478213	0.358174	0.1077	0.038594	0.0173187
a26	0.411656	0.340069	0.148741	0.0667528	0.0327809
a75	0.337904	0.315985	0.183724	0.100402	0.0619853
a14	0.282555	0.273003	0.201936	0.15395	0.0885562
a35	0.146562	0.203955	0.256627	0.22936	0.163496
a38	0.113759	0.158927	0.243127	0.280471	0.203716
a94	0.085023	0.127801	0.233159	0.309622	0.244395
a35	0.0527106	0.0821594	0.166365	0.339824	0.358942
a14	0.0277704	0.0494829	0.132449	0.334548	0.45575
a35	0.0295748	0.0508977	0.128938	0.32633	0.464259
a26	0.0219705	0.0337776	0.0734235	0.235256	0.635573
a38	0.0110332	0.0180482	0.0422242	0.18693	0.741765
a25	0.00827203	0.0137803	0.0330878	0.168333	0.776527
a76	0.00471269	0.0089736	0.026779	0.173552	0.785982
a94	0.010622	0.01703	0.0424049	0.177877	0.752066
a98	0.00472257	0.0074185	0.0223262	0.144724	0.820809
a25	0.00989964	0.017117	0.0416455	0.198706	0.732631
a87	0.00328253	0.0063327	0.0193842	0.141285	0.829716
</S>	0.0219722	0.0368069	0.0718677	0.223042	0.646311
