 	le	gardien	de	cette	maison	est	endormi	</S>
a66	0.431395	0.373974	0.132982	0.0305366	0.012294	0.00790429	0.00566635	0.00524726
a87	0.395947	0.344523	0.13616	0.0589732	0.0369801	0.0163661	0.00611048	0.00494033
a23	0.406833	0.277066	0.154414	0.0682474	0.0353613	0.0270219	0.0171813	0.013875
a79	0.384934	0.284399	0.183686	0.0785399	0.030214	0.0107824	0.00928134	0.0181639
a58	0.358645	0.21369	0.184066	0.109911	0.0563174	0.0244014	0.0215623	0.0314077
a11	0.243152	0.236966	0.227542	0.133177	0.0616824	0.0289838	0.0301697	0.0383278
a12	0.092452	0.154972	0.255742	0.240888	0.140402	0.0638522	0.030282	0.0214095
a21	0.0470357	0.107697	0.24564	0.296883	0.200916	0.0593346	0.0245408	0.0179531
a47	0.0156288	0.0393229	0.143352	0.285488	0.292115	0.137058	0.0569493	0.0300863
a96	0.0273735	0.0399059	0.107503	0.264695	0.309612	0.170756	0.0535794	0.026575
a88	0.0219375	0.0283731	0.0798366	0.262146	0.322174	0.177605	0.0690034	0.0389244
a21	0.00615101	0.00790002	0.0322436	0.163304	0.294222	0.277656	0.148183	0.0703403
a47	0.0113274	0.0129972	0.0282294	0.092077	0.192098	0.318431	0.223423	0.121417
a21	0.00684519	0.00833064	0.0235762	0.0574552	0.125417	0.302617	0.283697	0.192061
a6	0.00527537	0.005204	0.00944071	0.0200679	0.055597	0.249509	0.377665	0.277241
a44	0.00158513	0.00166568	0.00414423	0.010648	0.0281379	0.171651	0.373904	0.408264
a56	0.00315616	0.0026428	0.00374527	0.00609487	0.013185	0.0794723	0.304513	0.587191
a43	0.00188069	0.00137836	0.00141462	0.00255689	0.00652484	0.0435228	0.22564	0.717082
a11	0.0027831	0.00218266	0.00125285	0.00144279	0.00447862	0.0214809	0.162914	0.803465
a38	0.0183048	0.0192972	0.0156087	0.0170542	0.0365326	0.081911	0.218501	0.59279
a57	0.00809992	0.00669988	0.00812558	0.0116795	0.0278843	0.0783956	0.242507	0.616609
a3	0.0382673	0.0366722	0.0396623	0.0508203	0.0695166	0.112526	0.235941	0.416594
a87	0.251097	0.125946	0.0647825	0.0505705	0.0553628	0.0836728	0.164281	0.204288
a23	0.396435	0.205268	0.0927452	0.0652975	0.0509354	0.0522018	0.0673477	0.0697695
a87	0.0883044	0.0657324	0.0499682	0.0366924	0.0480662	0.133819	0.257396	0.320022
</S>	0.00741754	0.00554047	0.00549309	0.00925905	0.0234768	0.137535	0.347787	0.463491
