 	ne	pense	pas	trop	à	cela	parce	qu'	il	blague	seulement	</S>
a66	0.205467	0.145227	0.111191	0.0883463	0.0970129	0.0841077	0.0810179	0.0693104	0.0429875	0.0307207	0.0271414	0.0174697
a87	0.163321	0.138024	0.120412	0.0899021	0.0785571	0.0624966	0.065423	0.0742758	0.0587579	0.0576956	0.0559816	0.0351524
a23	0.234459	0.181265	0.149784	0.0958691	0.0928174	0.0643031	0.055594	0.039755	0.0280855	0.0202242	0.0201424	0.0177018
a97	0.141648	0.115728	0.116411	0.0935241	0.0927624	0.0815249	0.0848275	0.0651734	0.0560052	0.0452724	0.0579201	0.049203
a79	0.12367	0.102847	0.113144	0.112102	0.11177	0.0920265	0.0882075	0.0648258	0.0545979	0.0466651	0.0489546	0.0411894
a90	0.122048	0.111157	0.113653	0.126044	0.130449	0.0875649	0.0750281	0.0482331	0.0468641	0.0439794	0.0599632	0.0350165
a79	0.149115	0.19552	0.163208	0.140532	0.110033	0.0664314	0.04347	0.026724	0.0245945	0.0226685	0.0365217	0.0211815
a44	0.124	0.185823	0.159549	0.139658	0.104778	0.0728377	0.0464987	0.0307946	0.0267821	0.0255246	0.045622	0.0381324
a98	0.123419	0.183526	0.154887	0.133722	0.0975049	0.0777258	0.0491191	0.0341216	0.0252808	0.0245877	0.043949	0.0521581
a47	0.0892462	0.142387	0.126678	0.121416	0.0967537	0.0933452	0.0605112	0.0420823	0.0367943	0.0355531	0.0740078	0.0812254
a15	0.0754068	0.106434	0.103659	0.109167	0.0975038	0.107124	0.0729935	0.0541487	0.048485	0.0479225	0.0913861	0.0857705
a79	0.0705081	0.0944185	0.10132	0.112329	0.102158	0.122293	0.0870748	0.0614107	0.0484933	0.0443895	0.0761772	0.0794284
a15	0.0848295	0.0918824	0.0974961	0.0968016	0.0968265	0.119347	0.0949647	0.0733062	0.0575451	0.0471753	0.0653919	0.0744335
a69	0.0492157	0.0482027	0.0684278	0.0835928	0.10202	0.146146	0.123588	0.0987429	0.07454	0.0576382	0.0705113	0.0773748
a98	0.040573	0.0349081	0.0514025	0.0660852	0.0892483	0.149462	0.132237	0.104535	0.084558	0.0673263	0.0826213	0.097044
a85	0.0157433	0.0136426	0.0233228	0.0332526	0.0538286	0.111153	0.116754	0.132468	0.140954	0.10669	0.112605	0.139586
a5	0.00669003	0.00654401	0.0130339	0.0207027	0.0366168	0.0861101	0.0990285	0.121098	0.150595	0.133861	0.136707	0.189014
a21	0.00976859	0.009126	0.0120168	0.0148896	0.0222608	0.0570448	0.0728955	0.0986487	0.134201	0.143503	0.188244	0.237401
a47	0.00480774	0.00430347	0.00558797	0.00699494	0.0108861	0.0295929	0.0413775	0.0681615	0.121119	0.180118	0.233007	0.294043
a96	0.00781434	0.00728919	0.0105615	0.0121461	0.0176371	0.0452511	0.0588172	0.0882377	0.140976	0.183761	0.196276	0.231233
a88	0.00447221	0.00466535	0.0068531	0.00771001	0.0101726	0.0223208	0.0290406	0.0484214	0.0948611	0.189664	0.23495	0.346869
a71	0.0043046	0.00434972	0.00723346	0.00914415	0.0134898	0.0265418	0.0319701	0.0462935	0.0740098	0.142076	0.215442	0.425145
a9	0.0181907	0.0187256	0.028433	0.0348495	0.0398399	0.0500368	0.0426893	0.0443321	0.0636926	0.118526	0.194131	0.346553
a97	0.0571718	0.0445735	0.049893	0.0525416	0.060114	0.0676146	0.0627597	0.0733408	0.091737	0.110842	0.133075	0.196337
a87	0.122317	0.0899733	0.0714158	0.0648961	0.0761731	0.0726525	0.073144	0.0942387	0.115376	0.0800063	0.0652899	0.0745173
a23	0.0602999	0.0360759	0.0389318	0.0382761	0.0527394	0.0662195	0.072491	0.105976	0.144297	0.129003	0.120728	0.134963
a10	0.0234218	0.0153083	0.0181241	0.019704	0.031176	0.0544688	0.0558536	0.0738408	0.109534	0.130811	0.198083	0.269674
a83	0.0163046	0.0126259	0.0152552	0.0166465	0.0254017	0.0458044	0.0433272	0.0546876	0.0911984	0.116497	0.225573	0.336678
a54	0.0177712	0.0135292	0.0180003	0.0238582	0.0412416	0.0707206	0.0682679	0.0826019	0.116341	0.143857	0.195804	0.208008
a79	0.00587014	0.00436648	0.00582543	0.00909203	0.0175966	0.0379737	0.0448328	0.0714409	0.120845	0.159034	0.235808	0.287315
a92	0.00188092	0.00166553	0.00257169	0.00412806	0.00771662	0.0169575	0.0199463	0.0388217	0.0799654	0.148004	0.292272	0.386071
a85	0.00252334	0.00214492	0.00288046	0.00424507	0.00762882	0.0178261	0.0213399	0.0399385	0.0825245	0.144002	0.299462	0.375485
a6	0.00174251	0.00146273	0.00191545	0.00294783	0.00538098	0.0138538	0.0171885	0.0346814	0.0806878	0.148813	0.301163	0.390163
a36	0.00335049	0.00255743	0.00363571	0.00557289	0.00980783	0.0209528	0.0245206	0.0440144	0.0968469	0.153173	0.277054	0.358514
a61	0.00267286	0.00243377	0.00339684	0.00480893	0.00762588	0.0161106	0.0197235	0.0334873	0.0801385	0.16421	0.267691	0.3977
a62	0.0028493	0.00273473	0.00393795	0.00519159	0.00692213	0.0120219	0.013271	0.0239533	0.0520384	0.139314	0.260933	0.476833
a88	0.00650591	0.005823	0.00798764	0.0100418	0.0133294	0.0209624	0.021962	0.0359136	0.0642077	0.135477	0.23995	0.43784
a62	0.00332193	0.00286228	0.00439967	0.00671013	0.0102776	0.0167177	0.0200307	0.0351617	0.0702041	0.148972	0.25285	0.428492
a21	0.00430193	0.00388879	0.00582929	0.00792493	0.0110074	0.0178945	0.0210587	0.0387354	0.0769553	0.158428	0.250274	0.403701
a12	0.00248818	0.00243852	0.00335295	0.00469866	0.00652643	0.0101879	0.0112309	0.0200088	0.0440275	0.118403	0.251635	0.525001
a18	0.00258787	0.0023954	0.00362135	0.00495518	0.00699407	0.0120862	0.0129477	0.022097	0.0498291	0.12158	0.242505	0.518401
a71	0.00345352	0.00284304	0.00457777	0.00801523	0.0127236	0.0194356	0.022001	0.036991	0.0722918	0.125039	0.221938	0.470691
a25	0.0385283	0.0337635	0.0445486	0.0550951	0.0661637	0.0832356	0.0753099	0.0739418	0.103058	0.101642	0.118966	0.205747
a87	0.0643711	0.0471411	0.0488865	0.0506201	0.0594186	0.0695099	0.0724773	0.0829753	0.10309	0.0996032	0.127779	0.174127
a23	0.0953273	0.0707885	0.0688319	0.0593058	0.0684371	0.0730434	0.0715572	0.074388	0.0903687	0.0842395	0.104964	0.138749
a87	0.0749253	0.0504637	0.0400432	0.0311781	0.0335974	0.0340781	0.0341881	0.0401938	0.0605935	0.0899307	0.190164	0.320644
</S>	0.0128841	0.0105335	0.00814799	0.00680119	0.00827405	0.0124602	0.0129245	0.0216171	0.0457857	0.0712694	0.247608	0.541694
