 	la	reine	des	termites	est	blanche	</S>
a15	0.549915	0.233904	0.12406	0.0485507	0.0188768	0.013898	0.0107949
a66	0.718407	0.155321	0.0613226	0.0310279	0.018263	0.00881852	0.00683975
a87	0.678545	0.234179	0.0557294	0.0151574	0.00562591	0.00484834	0.0059153
a23	0.502487	0.373931	0.0873717	0.0159608	0.00762576	0.00628983	0.00633408
a99	0.476245	0.386433	0.103557	0.0146997	0.00363233	0.00389923	0.0115347
a53	0.403883	0.308248	0.176246	0.046033	0.0182878	0.0210954	0.0262068
a56	0.354467	0.247034	0.228986	0.0985609	0.0364915	0.0224999	0.0119605
a96	0.198998	0.238844	0.289239	0.172749	0.0543739	0.0297792	0.016016
a90	0.112995	0.138516	0.229832	0.304733	0.116031	0.0614035	0.0364891
a75	0.0631752	0.0746772	0.186702	0.42985	0.158286	0.0515479	0.0357616
a98	0.0486926	0.0470511	0.12739	0.371906	0.235523	0.105962	0.0634745
a85	0.0241986	0.0231724	0.0715524	0.282122	0.301757	0.194605	0.102592
a6	0.0154492	0.0102646	0.0299021	0.12077	0.299351	0.346797	0.177466
a37	0.0153524	0.00700547	0.0173413	0.0777249	0.321023	0.399732	0.161821
a43	0.0122885	0.00689486	0.00866788	0.0157288	0.0938839	0.371931	0.490605
a11	0.0069065	0.00333654	0.00361218	0.00776325	0.0419262	0.229944	0.706511
a70	0.00352397	0.00160191	0.00160928	0.00453939	0.0173345	0.108338	0.863053
a4	0.00211037	0.000842763	0.00102227	0.00381578	0.0177252	0.124844	0.849639
a13	0.00195411	0.000811824	0.000894012	0.00330458	0.017848	0.135358	0.83983
a9	0.00111413	0.00030648	0.000473288	0.00265931	0.0233816	0.178999	0.793066
a10	0.118505	0.0539391	0.03906	0.0356014	0.0774366	0.244479	0.430979
a87	0.401395	0.291089	0.133736	0.0511828	0.0411202	0.0439165	0.0375606
a23	0.367542	0.231479	0.145903	0.0670338	0.0646686	0.0756312	0.047742
a87	0.151098	0.10985	0.0496135	0.0319363	0.0522432	0.214465	0.390794
</S>	0.037156	0.0238345	0.0193075	0.0144515	0.0322262	0.193582	0.679442
