 	les	feuilles	de	l'	arbuste	grimpant	ekuu	sont	utilisées	comme	remède	aux	maux	de	ventre	</S>
a66	0.0936265	0.0987769	0.109151	0.0965518	0.0937256	0.122065	0.0956379	0.0773403	0.0632424	0.0619633	0.0419438	0.0220204	0.0111701	0.00542677	0.00394095	0.00341743
a87	0.246306	0.175786	0.0925705	0.0554147	0.0587925	0.0533069	0.0333734	0.0448225	0.0584155	0.0560829	0.0413719	0.0243564	0.0168617	0.0151329	0.0142362	0.0131699
a23	0.211585	0.177882	0.107444	0.0806491	0.0768746	0.0774883	0.0700469	0.0605462	0.046317	0.0272889	0.016785	0.0108049	0.00701505	0.00700524	0.00913104	0.0131364
a54	0.134297	0.135233	0.0749928	0.0728294	0.0636338	0.0759948	0.078555	0.123717	0.0916413	0.0471261	0.0302223	0.0196772	0.014716	0.011802	0.0118349	0.0137267
a5	0.100565	0.075958	0.0576718	0.0612525	0.0796293	0.0817039	0.0678704	0.0715007	0.0688613	0.0581314	0.0469136	0.0442403	0.0452401	0.0483242	0.0466921	0.0454455
a0	0.134663	0.139051	0.128751	0.154235	0.0880402	0.0599319	0.0375377	0.051928	0.0453472	0.0311403	0.0279194	0.0275581	0.0217509	0.0217798	0.0169866	0.0133796
a31	0.114013	0.109708	0.0966973	0.136972	0.0833583	0.0712352	0.059654	0.0892705	0.0742311	0.0373613	0.0308875	0.0270059	0.0214685	0.0196205	0.0153777	0.0131387
a21	0.085595	0.0748744	0.0802688	0.118408	0.0894468	0.0901423	0.0931889	0.121902	0.100284	0.0451504	0.030999	0.021262	0.0148535	0.012288	0.0106739	0.0106629
a56	0.0496494	0.0410015	0.050571	0.0812229	0.0686111	0.0881587	0.0939206	0.143879	0.139489	0.076109	0.0518858	0.0334191	0.0234348	0.0196644	0.0187585	0.0202252
a18	0.0275808	0.0194675	0.034588	0.0726945	0.0805105	0.1036	0.109959	0.161485	0.149848	0.0829797	0.056035	0.0323096	0.0205116	0.0152792	0.0152641	0.0178878
a4	0.019753	0.0150734	0.0245411	0.0463605	0.0614048	0.0970236	0.106734	0.145196	0.132677	0.0716315	0.0631403	0.0479513	0.0416511	0.0384215	0.0396065	0.0488344
a13	0.0244899	0.0170145	0.0285586	0.0577574	0.0715781	0.101031	0.0996849	0.138924	0.130022	0.0849776	0.0621124	0.0367409	0.0285289	0.0299298	0.0370695	0.051581
