 	l'	enfant	suce	la	canne	à	sucre	</S>
a66	0.19919	0.162469	0.116485	0.105609	0.126999	0.139639	0.0943574	0.0552495
a82	0.0822826	0.07029	0.102019	0.108362	0.177005	0.185252	0.159821	0.114968
a10	0.193811	0.159351	0.210292	0.185405	0.121594	0.0664566	0.0402228	0.0228678
a82	0.218357	0.194555	0.204251	0.17649	0.0992613	0.053565	0.0313307	0.0221911
a10	0.226141	0.224341	0.222027	0.16192	0.0795051	0.042703	0.0257794	0.0175822
a82	0.220541	0.226972	0.233619	0.155148	0.0780402	0.0430166	0.0256894	0.0169749
a38	0.23951	0.239114	0.255855	0.12946	0.0541281	0.0389757	0.0244354	0.0185213
a98	0.245203	0.176358	0.207277	0.126633	0.0663103	0.0839969	0.0448498	0.0493723
a47	0.283084	0.189726	0.135844	0.111104	0.0648258	0.0847414	0.055436	0.075239
a6	0.153754	0.107806	0.0966837	0.112084	0.107499	0.166095	0.109088	0.146989
a85	0.104043	0.0796674	0.0941151	0.144647	0.149199	0.18656	0.11137	0.130399
a5	0.0818371	0.079445	0.108804	0.156126	0.172447	0.175417	0.108037	0.117887
a37	0.0482247	0.0485877	0.0611552	0.136367	0.222743	0.20368	0.149305	0.129937
a90	0.0287462	0.0345329	0.0422544	0.105817	0.198638	0.188705	0.198004	0.203303
a70	0.0125113	0.0197428	0.0262549	0.0741257	0.189643	0.20452	0.23954	0.233662
a13	0.00468459	0.00594982	0.00727135	0.0232271	0.0928092	0.136571	0.303327	0.42616
a99	0.0022344	0.00227448	0.00423904	0.00960696	0.0551824	0.102192	0.340846	0.483424
a9	0.00809593	0.00727891	0.0130097	0.0260679	0.0897948	0.118324	0.299057	0.438371
a3	0.0647829	0.0583133	0.0715383	0.0997057	0.131322	0.110787	0.203226	0.260326
a82	0.083997	0.0677112	0.0803744	0.099095	0.14534	0.136447	0.208916	0.178118
a3	0.0439305	0.0397725	0.0498808	0.0797607	0.159549	0.159037	0.256775	0.211294
a82	0.0310457	0.0362061	0.0544656	0.0769797	0.134849	0.156165	0.257541	0.252748
a9	0.0682759	0.0845881	0.109013	0.101463	0.113107	0.127807	0.184135	0.211611
a27	0.0875131	0.0959446	0.0919185	0.0762694	0.0865644	0.113979	0.191016	0.256795
</S>	0.0934875	0.104592	0.103204	0.082328	0.0901882	0.119093	0.179496	0.227611
