 	le	soleil	brille	beaucoup	</S>
a10	0.314299	0.188089	0.181332	0.170578	0.145702
a38	0.254882	0.219181	0.190537	0.176888	0.158512
a94	0.406507	0.231801	0.147611	0.106293	0.107787
a75	0.535609	0.26788	0.106655	0.0532127	0.0366436
a43	0.582231	0.267257	0.0883905	0.0378026	0.0243189
a75	0.552897	0.289982	0.0957616	0.0370453	0.0243138
a56	0.433444	0.286057	0.152873	0.0776611	0.0499643
a76	0.333516	0.293123	0.203561	0.103376	0.0664239
a15	0.193832	0.228821	0.246044	0.187185	0.144117
a44	0.123816	0.164969	0.249075	0.239933	0.222208
a58	0.0803567	0.142679	0.317227	0.254714	0.205023
a98	0.0235412	0.036112	0.166591	0.325395	0.448361
a92	0.0240216	0.04371	0.205509	0.353065	0.373695
a90	0.0298701	0.0466204	0.167514	0.339159	0.416836
a56	0.0234725	0.0393142	0.128619	0.304881	0.503714
a0	0.0160217	0.0284324	0.105324	0.2892	0.561021
a24	0.00766481	0.0176616	0.0716558	0.271124	0.631894
a9	0.01613	0.03233	0.084884	0.255771	0.610886
a10	0.0474492	0.0627949	0.149478	0.269862	0.470416
</S>	0.0839943	0.0834366	0.158256	0.253746	0.420567
