 	le	chassseur	a	apporté	le	phacochère	qu'	il	vient	de	tuer	</S>
a23	0.13917	0.123157	0.198173	0.210931	0.187484	0.0759114	0.0226316	0.0136006	0.00783846	0.00711799	0.00671815	0.00726582
a93	0.102791	0.159937	0.264579	0.223694	0.11621	0.0432984	0.015338	0.0112613	0.0111856	0.0159461	0.0185726	0.017186
a13	0.164068	0.184541	0.215648	0.202688	0.0880584	0.0363962	0.0258369	0.0196581	0.0148052	0.0166251	0.0162721	0.015402
a75	0.224694	0.253167	0.197312	0.15909	0.0671546	0.0238732	0.0138818	0.0129928	0.0113706	0.012364	0.0119941	0.0121065
a47	0.313812	0.255472	0.160878	0.115699	0.044082	0.021816	0.0193512	0.0174845	0.0138162	0.0133561	0.0117742	0.012458
a75	0.253792	0.236769	0.144915	0.0976586	0.034911	0.0303895	0.0367497	0.0362971	0.0329674	0.03203	0.0300343	0.0334871
a85	0.148992	0.186427	0.144714	0.130007	0.0534456	0.0537485	0.0555022	0.0509624	0.0435551	0.0421971	0.0431235	0.047325
a37	0.117055	0.166525	0.146975	0.130683	0.0614313	0.0694024	0.0692138	0.0577773	0.0457413	0.0405366	0.0439285	0.0507313
a21	0.136215	0.183608	0.163643	0.189397	0.0799441	0.0698779	0.0514075	0.0358828	0.0250098	0.0223441	0.0204592	0.0222119
a85	0.0729751	0.125575	0.140224	0.18602	0.11798	0.137759	0.0739368	0.0442208	0.0281553	0.0250279	0.0236634	0.0244634
a21	0.0527011	0.0968022	0.137754	0.184626	0.109307	0.10817	0.0861011	0.0615251	0.043208	0.0389352	0.0376049	0.0432657
a5	0.0562484	0.0875043	0.110512	0.141565	0.106559	0.126052	0.0848414	0.0614113	0.052238	0.0536151	0.054428	0.065024
a18	0.0507129	0.069364	0.0689493	0.0729132	0.0603195	0.101944	0.107888	0.0899868	0.0854298	0.0897814	0.0897238	0.112987
a62	0.0326241	0.0480119	0.0481409	0.0536979	0.0564468	0.100708	0.128389	0.0959694	0.0850339	0.0920055	0.105277	0.153696
a31	0.031622	0.0451329	0.0442309	0.0500975	0.055504	0.109596	0.138523	0.100869	0.0936387	0.0963536	0.102134	0.132299
a62	0.0208515	0.0272061	0.0241283	0.0260523	0.0331898	0.0939098	0.183821	0.140839	0.118033	0.106199	0.102993	0.122778
a88	0.0143155	0.0184626	0.0173562	0.0205744	0.0289381	0.0885559	0.201179	0.168092	0.133936	0.109326	0.0941635	0.105101
a9	0.00944324	0.0138286	0.0128393	0.0142252	0.022315	0.0701771	0.186129	0.155244	0.152377	0.128378	0.108819	0.126224
a10	0.00795902	0.0169008	0.0178008	0.0199511	0.0379452	0.0671687	0.139236	0.118549	0.131962	0.135736	0.137033	0.169757
a21	0.00864165	0.0132922	0.0197073	0.0264419	0.0485696	0.0940141	0.157724	0.130222	0.116264	0.11247	0.120501	0.152153
a47	0.00718796	0.0106077	0.0117859	0.0115725	0.0161487	0.0324112	0.086904	0.119309	0.157251	0.167859	0.181867	0.197096
a62	0.00313081	0.00469341	0.00509399	0.00555792	0.0088922	0.0361705	0.105206	0.11666	0.159082	0.169711	0.178541	0.207261
a61	0.00212465	0.00289514	0.00289594	0.00301313	0.00513276	0.025516	0.0988352	0.113162	0.169955	0.18266	0.182601	0.211208
a34	0.00193174	0.00264915	0.00256278	0.0025415	0.00372351	0.0140162	0.0625131	0.0832048	0.156252	0.192699	0.213572	0.264335
a70	0.00170051	0.00245893	0.00251206	0.00253131	0.00411296	0.0184828	0.0787693	0.0938185	0.1586	0.186787	0.200222	0.250005
a34	0.00144138	0.00202821	0.00212872	0.00220378	0.00325026	0.0105192	0.0429603	0.0562088	0.126541	0.180786	0.226582	0.34535
a93	0.00106996	0.00153686	0.00180615	0.00197978	0.00342676	0.0118668	0.0486895	0.0610127	0.126435	0.176298	0.221909	0.343969
a34	0.000571227	0.000906693	0.00115553	0.00159364	0.00295586	0.0122903	0.0515938	0.0671556	0.139302	0.189795	0.215316	0.317364
a75	0.00034849	0.00057523	0.000812848	0.00106953	0.00187008	0.00692975	0.028721	0.038176	0.10521	0.174567	0.233417	0.408303
a25	0.000354519	0.000557164	0.000687038	0.0010717	0.00185834	0.00508577	0.0200379	0.0273973	0.0752004	0.134528	0.235966	0.497256
a90	0.000402096	0.00054439	0.000578147	0.000803852	0.00142901	0.00297083	0.0125412	0.0204726	0.0640351	0.12677	0.255626	0.513827
a69	0.00048254	0.000732056	0.000857122	0.00122096	0.00203204	0.00444367	0.0154054	0.0229292	0.0737554	0.147583	0.242434	0.488125
a44	0.000249091	0.000436992	0.000551785	0.00079627	0.00144335	0.00334768	0.0122282	0.0189308	0.0649105	0.136426	0.240526	0.520154
a84	0.000270365	0.00047046	0.000626053	0.00086779	0.0016424	0.00375662	0.0133081	0.0201137	0.067019	0.135511	0.238084	0.51833
a10	0.0056382	0.00969582	0.0124541	0.0139385	0.0230404	0.0200189	0.0332359	0.0440011	0.0861649	0.147016	0.230805	0.373992
a87	0.0707713	0.0849844	0.108353	0.093314	0.0808143	0.0516961	0.048372	0.0548795	0.0683175	0.0861404	0.114747	0.13761
a23	0.107465	0.116545	0.142908	0.120829	0.0821289	0.0581327	0.0610121	0.0616926	0.058358	0.0610082	0.0630481	0.0668727
a87	0.0249145	0.0243974	0.0314259	0.0273137	0.0180774	0.0143203	0.0329606	0.0614864	0.11678	0.180407	0.223109	0.244807
</S>	0.00381464	0.00526505	0.00995396	0.0140165	0.0149146	0.0169619	0.0386974	0.0575162	0.1003	0.157053	0.238803	0.342704
