 	ton	habit-là	est	bien	usé	</S>
a66	0.465501	0.23503	0.101236	0.0812207	0.0583858	0.0586266
a87	0.514426	0.219747	0.127018	0.0713808	0.0334127	0.0340154
a23	0.671104	0.173018	0.0637475	0.0340944	0.024501	0.0335355
a79	0.632267	0.247395	0.065448	0.0260419	0.0136502	0.0151984
a57	0.573997	0.218837	0.10145	0.0490306	0.0281424	0.0285428
a40	0.369122	0.32242	0.148014	0.0689462	0.0423817	0.0491163
a54	0.26225	0.389362	0.197829	0.0830824	0.0357218	0.0317546
a94	0.213512	0.325036	0.225161	0.122969	0.0611636	0.0521584
a54	0.144017	0.267664	0.247181	0.141469	0.0982695	0.1014
a73	0.123792	0.19428	0.213574	0.17024	0.140753	0.157361
a44	0.123885	0.186013	0.203152	0.169177	0.149502	0.16827
a4	0.0542763	0.103453	0.210162	0.204584	0.19641	0.231115
a13	0.0347154	0.053871	0.143634	0.204159	0.246262	0.317359
a83	0.0196342	0.0264116	0.096085	0.173441	0.277039	0.407388
a0	0.00899594	0.0115481	0.0557926	0.138737	0.292457	0.492469
a38	0.00479176	0.0046651	0.021728	0.0743437	0.275825	0.618646
a93	0.00275849	0.00277324	0.0133851	0.0464458	0.244355	0.690282
a70	0.00162744	0.00155948	0.00850537	0.0384911	0.255175	0.694642
a83	0.000636479	0.00063467	0.00365715	0.0224666	0.228589	0.744016
a4	0.000466177	0.000417619	0.00241156	0.0167237	0.210918	0.769063
a44	0.000399656	0.000389733	0.00180954	0.013776	0.186275	0.79735
a58	0.000458166	0.000477538	0.00197276	0.0137545	0.177424	0.805913
a57	0.000945685	0.00105154	0.00372339	0.0201549	0.17854	0.795584
a82	0.0163802	0.00967756	0.0141867	0.0359328	0.174219	0.749604
a25	0.213719	0.0751064	0.0524662	0.0780508	0.160503	0.420154
a87	0.156242	0.0694643	0.0664662	0.093972	0.190659	0.423197
a97	0.129041	0.0783883	0.0482952	0.0783715	0.185045	0.480859
</S>	0.179235	0.119252	0.076024	0.109032	0.18938	0.327078
