 	la	femme	balaye	l'	intérieur	de	la	maison	</S>
a23	0.410924	0.227615	0.110819	0.0738822	0.0415092	0.0416213	0.031773	0.0292657	0.0325905
a53	0.124678	0.0874226	0.0792272	0.0766175	0.0955769	0.0949861	0.119871	0.139111	0.18251
a93	0.227138	0.247896	0.20873	0.116695	0.0894941	0.0469898	0.0281561	0.0184649	0.0164365
a26	0.241218	0.291095	0.187374	0.120964	0.0908837	0.0335366	0.0174841	0.01053	0.00691397
a75	0.223763	0.296221	0.180471	0.110622	0.10681	0.0358301	0.0198273	0.0141616	0.0122941
a56	0.183673	0.237387	0.153071	0.125142	0.137718	0.0679524	0.0440087	0.0301435	0.0209044
a35	0.188432	0.223671	0.165143	0.125553	0.133955	0.0680551	0.0422265	0.0299715	0.0229928
a98	0.152229	0.158324	0.182809	0.149678	0.148409	0.089694	0.0556208	0.036173	0.0270626
a14	0.114989	0.109263	0.151746	0.155847	0.17557	0.122886	0.0826257	0.0509157	0.0361561
a94	0.0958254	0.0875695	0.12974	0.159586	0.166774	0.145872	0.104304	0.0652189	0.0451101
a76	0.0914829	0.0874944	0.145259	0.139439	0.131351	0.147268	0.119247	0.0788493	0.0596098
a35	0.0592575	0.0622978	0.0945577	0.108492	0.125828	0.166266	0.168249	0.122888	0.0921633
a76	0.0385789	0.0436472	0.0814881	0.105012	0.121152	0.18166	0.194006	0.137011	0.0974448
a73	0.0414819	0.0515243	0.0749318	0.0790069	0.0921226	0.126663	0.181489	0.171249	0.181531
a32	0.0444904	0.043008	0.0822349	0.072489	0.0842301	0.120187	0.18125	0.175996	0.196115
a75	0.024124	0.0225312	0.041947	0.0540626	0.0741874	0.103839	0.177828	0.221908	0.279572
a14	0.0632952	0.0546401	0.0716061	0.063389	0.077665	0.0943557	0.139303	0.173718	0.262028
a35	0.0155422	0.0175143	0.0358538	0.0385758	0.0539124	0.0876399	0.166449	0.244844	0.339669
a75	0.014977	0.0147408	0.0362038	0.0384788	0.054287	0.0801436	0.148454	0.225597	0.387118
a47	0.0346028	0.0247712	0.044545	0.037336	0.0469053	0.0705396	0.140726	0.227099	0.373475
a62	0.00886227	0.00951992	0.0230666	0.0259365	0.0410097	0.0587407	0.125142	0.224703	0.483019
a83	0.00765313	0.00708274	0.0164826	0.0187671	0.0238849	0.0364489	0.0829906	0.172475	0.634215
a9	0.00675522	0.00536506	0.0108881	0.0132228	0.0185015	0.0269042	0.0724685	0.187644	0.658251
a87	0.002441	0.00167429	0.00400506	0.0078197	0.0157288	0.0240554	0.0775812	0.199718	0.666977
</S>	0.00484587	0.00257637	0.00399883	0.00968865	0.022445	0.0318585	0.0984921	0.206154	0.619941
