 	le	safoutier	que	j'	ai	planté	a	poussé	</S>
a66	0.197891	0.119049	0.123449	0.13537	0.175161	0.146722	0.0564536	0.0267198	0.0191837
a87	0.158113	0.126683	0.140804	0.153791	0.16189	0.107099	0.0562709	0.0465566	0.0487932
a3	0.430568	0.241882	0.162858	0.0772117	0.0405477	0.0210507	0.0100949	0.00730316	0.00848344
a87	0.39424	0.231378	0.175778	0.0934519	0.0480427	0.021289	0.0113421	0.011059	0.0134195
a23	0.401165	0.22219	0.159689	0.0897527	0.0521052	0.0249093	0.0152635	0.0159749	0.0189504
a87	0.471043	0.197318	0.122518	0.068103	0.0457247	0.0304752	0.0209015	0.0205082	0.0234076
a23	0.504605	0.199611	0.117876	0.0641432	0.0409198	0.023612	0.0155629	0.0160164	0.0176543
a87	0.311405	0.158059	0.118992	0.0976539	0.090419	0.0694047	0.0497329	0.0492034	0.0551306
a23	0.361768	0.15606	0.109236	0.0855328	0.0799478	0.0629121	0.0445159	0.0471448	0.0528834
a79	0.249142	0.145795	0.119581	0.116108	0.108986	0.0837429	0.0607234	0.0566821	0.0592394
a44	0.2258	0.205452	0.177597	0.136958	0.0910198	0.0704484	0.0426301	0.0276932	0.0224016
a38	0.242499	0.228121	0.202176	0.148051	0.076312	0.0472697	0.024343	0.0174814	0.0137465
a11	0.150307	0.173946	0.184389	0.171695	0.107846	0.0813683	0.0506883	0.0418283	0.0379314
a54	0.101441	0.124364	0.156903	0.16972	0.115923	0.0923538	0.0731406	0.078341	0.0878139
a73	0.10715	0.13754	0.171289	0.159106	0.107141	0.0860699	0.075529	0.0753396	0.0808352
a44	0.113483	0.144705	0.174504	0.147272	0.0965897	0.0799194	0.0751794	0.0798273	0.0885211
a53	0.0442652	0.0576101	0.0862065	0.10722	0.102541	0.104045	0.118169	0.16272	0.217223
a44	0.0326202	0.0399097	0.056573	0.0784084	0.100139	0.114303	0.127725	0.19163	0.258692
a43	0.0260399	0.0292354	0.0388073	0.0520223	0.0782674	0.112034	0.133563	0.215145	0.314886
a11	0.0165117	0.018082	0.0234093	0.0325818	0.0533747	0.0962533	0.134034	0.238017	0.387737
a50	0.00981813	0.00995953	0.0122654	0.017252	0.0294493	0.062846	0.123846	0.250343	0.484221
a70	0.00485433	0.00474699	0.00558835	0.00659661	0.012181	0.0388052	0.119737	0.266786	0.540705
a53	0.00294189	0.00353132	0.00453688	0.00658738	0.0140102	0.0427991	0.13057	0.273688	0.521335
a79	0.00290905	0.00387836	0.00496202	0.00730448	0.0153215	0.0461555	0.14536	0.284309	0.489801
a44	0.00570323	0.00766304	0.00995846	0.0140454	0.0296191	0.0856329	0.189873	0.274685	0.38282
a70	0.000756318	0.00103314	0.00123416	0.00182734	0.00475984	0.02	0.111633	0.311458	0.547298
a34	0.00074311	0.000927651	0.00097104	0.00128423	0.00306847	0.0125997	0.0916905	0.319917	0.568799
a37	0.000667169	0.00076447	0.000850111	0.00116399	0.00268221	0.0103444	0.0740074	0.301007	0.608513
a66	0.000589617	0.000745463	0.000803253	0.00100039	0.00201009	0.00756248	0.0507239	0.260103	0.676461
a13	0.0112232	0.0100811	0.00927913	0.00798935	0.0109073	0.0206919	0.062722	0.246362	0.620744
a3	0.0157112	0.0136918	0.0117964	0.00916784	0.0101805	0.0157635	0.049338	0.234073	0.640278
a97	0.218945	0.133355	0.0895987	0.0447566	0.0372462	0.0377357	0.0585674	0.13323	0.246565
a87	0.250425	0.176742	0.122927	0.063835	0.0436856	0.0330891	0.0445912	0.097851	0.166855
a23	0.191307	0.147643	0.117814	0.0756746	0.0691348	0.068501	0.0813831	0.112096	0.136447
a87	0.215275	0.178728	0.146712	0.0856248	0.0567282	0.0586142	0.0671424	0.0819441	0.109231
a23	0.170204	0.1399	0.109879	0.0693974	0.0575006	0.0665858	0.0849436	0.120651	0.180939
a87	0.18502	0.174128	0.141168	0.0860857	0.0645937	0.0677994	0.0775221	0.0905034	0.11318
a85	0.157558	0.156865	0.127733	0.0835194	0.0733776	0.0745481	0.0917251	0.108771	0.125904
</S>	0.167789	0.178493	0.146566	0.0898241	0.0650541	0.0630578	0.0842256	0.0972966	0.107694
