 	pourquoi	t'	immisces-tu	dans	les	affaires	de	tes	petits	fils	au	moment	où	ils	ont	encore	un	père	</S>
a82	0.148913	0.15606	0.0519259	0.100098	0.102842	0.0793304	0.080524	0.04721	0.0521025	0.0334445	0.0260169	0.0211643	0.0141132	0.0112932	0.0114587	0.0128139	0.0113107	0.0161283	0.0232509
a3	0.154091	0.256007	0.107859	0.141318	0.0809375	0.0387199	0.0336037	0.0219653	0.0254963	0.0192777	0.0167149	0.0166226	0.00956516	0.00818471	0.0080588	0.0076075	0.00911229	0.015351	0.0295071
a97	0.237809	0.283313	0.152774	0.139047	0.0476595	0.0312831	0.0225596	0.0163283	0.0123966	0.00734563	0.00523432	0.00504867	0.00305396	0.00295454	0.00390044	0.00446619	0.00523564	0.00733508	0.0122552
a3	0.313698	0.26551	0.197008	0.0877059	0.0238997	0.0199342	0.0169136	0.0159819	0.0108446	0.00671102	0.00503984	0.00444029	0.00282423	0.00286323	0.00329627	0.00380161	0.00470106	0.00606935	0.00875744
a97	0.351999	0.240218	0.212797	0.0682123	0.0199478	0.0160438	0.0121024	0.0116884	0.00821659	0.00527195	0.00444243	0.00409529	0.0032214	0.00380517	0.0045508	0.00565455	0.00728584	0.00866289	0.0117845
a3	0.400003	0.238864	0.172574	0.0502299	0.0178779	0.014795	0.0120123	0.0118628	0.00910496	0.00537531	0.00479769	0.00432469	0.00368129	0.0043421	0.00524118	0.00699618	0.00975288	0.0119768	0.0161878
a99	0.383442	0.243267	0.189298	0.0441256	0.0155042	0.0115057	0.00956271	0.00993384	0.00861796	0.00509594	0.00466806	0.00408755	0.00355589	0.00414297	0.00523155	0.00763796	0.0116954	0.0158712	0.022756
a3	0.270632	0.186958	0.153196	0.0493389	0.0256387	0.0195843	0.0236666	0.0256045	0.0208392	0.0126641	0.0120047	0.0108981	0.00940716	0.0104088	0.013632	0.0200742	0.0314076	0.0440711	0.059975
a99	0.288143	0.182159	0.165443	0.0566312	0.032761	0.0266009	0.0249417	0.0239087	0.0188135	0.0114184	0.0111209	0.0100753	0.00879567	0.0098927	0.012	0.0168857	0.0249367	0.0333186	0.0421537
a83	0.154623	0.140342	0.136921	0.0662806	0.0426673	0.0334145	0.0442431	0.039078	0.0259593	0.0157077	0.0147875	0.0129567	0.0112867	0.0120423	0.0168635	0.0272939	0.0438199	0.0672698	0.0944434
a70	0.0763862	0.10518	0.166795	0.144942	0.118699	0.0879761	0.060164	0.0409089	0.0236275	0.0142137	0.0108072	0.00869569	0.0072321	0.0081718	0.0116261	0.0180157	0.0246632	0.0319276	0.0399684
a53	0.0483958	0.0884259	0.186867	0.136529	0.120313	0.104188	0.0545481	0.0389194	0.0242462	0.0182123	0.0149523	0.012561	0.0107114	0.0118451	0.0151809	0.0199843	0.0243871	0.0311039	0.0386289
a70	0.074795	0.120625	0.197747	0.133724	0.113932	0.0939061	0.0472097	0.0385964	0.0258118	0.0189851	0.0137475	0.0118812	0.00858398	0.00903135	0.0108544	0.0138865	0.0170846	0.0219357	0.0276628
a93	0.0589115	0.106478	0.154354	0.13142	0.131167	0.12257	0.0571285	0.0436747	0.0297929	0.0252708	0.0182362	0.0166778	0.0121597	0.012379	0.0124643	0.0131991	0.0146029	0.0175812	0.0219323
