 	a	côté	du	village	il	y	a	une	grande	bananeraie	</S>
a23	0.355624	0.157408	0.106071	0.0925988	0.0782271	0.0790407	0.0492306	0.033539	0.018834	0.0132426	0.0161839
a99	0.527283	0.154106	0.0585706	0.0401982	0.0366965	0.0521166	0.0423705	0.0289499	0.0200733	0.0134596	0.0261762
a75	0.297159	0.175819	0.0782534	0.0472408	0.0440323	0.0582229	0.0587227	0.054965	0.0552426	0.0525786	0.0777633
a5	0.525678	0.180999	0.0654735	0.0396017	0.0336888	0.0294019	0.0277968	0.0258755	0.021153	0.0166365	0.0336957
a37	0.479666	0.285087	0.0828346	0.0374729	0.0246253	0.0220487	0.0165424	0.0140884	0.0115839	0.00795141	0.018099
a75	0.397295	0.257351	0.0919766	0.0512146	0.0386788	0.0363919	0.0269299	0.0265592	0.0232274	0.0164778	0.033898
a85	0.206348	0.172586	0.105538	0.0865738	0.0780162	0.0745155	0.0512931	0.0499198	0.0463831	0.0424226	0.0864049
a36	0.167795	0.154464	0.110897	0.0938841	0.0817353	0.0721183	0.0511002	0.0517292	0.0536113	0.0604235	0.102243
a26	0.162795	0.182412	0.125753	0.10165	0.0900231	0.0793203	0.0552813	0.0508396	0.0418066	0.0466543	0.0634654
a93	0.094208	0.153166	0.132368	0.113614	0.0970184	0.0839748	0.0689714	0.0674371	0.0559645	0.0554894	0.0777887
a34	0.0936069	0.155386	0.129869	0.112433	0.0985359	0.0805974	0.0621932	0.0620999	0.0552576	0.0615072	0.0885136
a75	0.0583865	0.0956807	0.117075	0.1214	0.113445	0.0987262	0.0786062	0.0806718	0.0709193	0.0723325	0.0927562
a92	0.0396354	0.0412565	0.0568865	0.0798227	0.0901248	0.0886517	0.0825632	0.0960342	0.11302	0.138403	0.173601
a56	0.0367378	0.0357983	0.0476233	0.0688117	0.0799854	0.079234	0.0775765	0.0934662	0.124759	0.174656	0.181352
a34	0.0300478	0.0337319	0.0505861	0.0759369	0.0879001	0.0771593	0.0802285	0.107273	0.122331	0.151292	0.183514
a56	0.0277472	0.0314666	0.0431135	0.0693388	0.0870227	0.0808776	0.0857439	0.110935	0.123521	0.153612	0.186622
a34	0.0186655	0.0217429	0.0321407	0.0538296	0.0716662	0.0692379	0.0780394	0.108692	0.141792	0.188578	0.215616
a75	0.0140522	0.0179216	0.0272143	0.0477321	0.0658946	0.0692712	0.0850738	0.128706	0.174947	0.170923	0.198264
a85	0.0141741	0.0157859	0.0264587	0.0470055	0.0664168	0.0660882	0.0725841	0.0947985	0.142679	0.226778	0.227231
a47	0.0113271	0.0114378	0.0194265	0.0324253	0.0430781	0.0433941	0.0491724	0.0717327	0.133383	0.258627	0.325995
a2	0.0098016	0.00920625	0.0155708	0.0272639	0.0368903	0.0340368	0.0435501	0.0664684	0.129763	0.259338	0.368111
a26	0.00270759	0.00229901	0.00473998	0.0128698	0.0208725	0.02297	0.0319427	0.0400066	0.0685225	0.184706	0.608363
a13	0.00417158	0.00205594	0.00370898	0.0102555	0.0194369	0.0285918	0.040349	0.053042	0.0920773	0.22423	0.522081
a82	0.00159393	0.000810918	0.00165593	0.00498584	0.0101267	0.0168089	0.0272404	0.0434105	0.0939856	0.216572	0.58281
a87	0.0112559	0.00456	0.00668812	0.0125473	0.0215251	0.0310588	0.0477163	0.0683787	0.120074	0.262996	0.4132
a23	0.102031	0.0399328	0.0513701	0.0728223	0.0746789	0.0925573	0.119932	0.120203	0.121629	0.0887058	0.116138
a10	0.0543832	0.0257706	0.0330178	0.0504186	0.0563616	0.0716664	0.0986596	0.12552	0.169802	0.132813	0.181587
</S>	0.0135029	0.0116744	0.0237763	0.0421584	0.0510103	0.0581544	0.0802713	0.114364	0.172425	0.178546	0.254117
