 	onze	a	craché	dans	la	figure	de	son	ami	</S>
a66	0.294044	0.174745	0.159563	0.116063	0.0926807	0.0475705	0.0461328	0.0312341	0.0203323	0.017635
a87	0.124397	0.0953961	0.0797424	0.0990954	0.114226	0.117553	0.127961	0.107814	0.0731663	0.0606486
a10	0.226397	0.146015	0.11038	0.178647	0.152801	0.0734288	0.0387709	0.025719	0.0242156	0.0236256
a53	0.197308	0.18444	0.133189	0.166965	0.150357	0.0774549	0.0340859	0.020468	0.0175041	0.0182275
a93	0.155189	0.138733	0.211601	0.17736	0.150308	0.0668838	0.0496673	0.0241694	0.0140684	0.0120201
a56	0.25771	0.139329	0.156796	0.174835	0.13861	0.0511167	0.0366475	0.0217282	0.0130064	0.0102216
a34	0.217628	0.128228	0.156297	0.177389	0.155437	0.0684154	0.0425778	0.024865	0.0158669	0.0132972
a75	0.279593	0.136274	0.151138	0.170798	0.135375	0.0466798	0.0283797	0.0200058	0.016558	0.0151989
a85	0.195828	0.128792	0.160595	0.168868	0.141673	0.0620679	0.0467967	0.0366156	0.0314671	0.0272966
a47	0.191353	0.142194	0.144506	0.135491	0.0992435	0.0600935	0.0567764	0.0515961	0.0580045	0.0607428
a98	0.103767	0.147514	0.168342	0.136927	0.11154	0.0504055	0.0474808	0.0560153	0.0829829	0.0950257
a37	0.0883225	0.123576	0.124873	0.106758	0.0989837	0.0658446	0.0657851	0.0767863	0.114679	0.134392
a90	0.100895	0.150802	0.124162	0.0869367	0.0865075	0.0493238	0.0465633	0.0686615	0.122386	0.163762
a4	0.0647345	0.113041	0.0957215	0.0671354	0.0768054	0.0591298	0.0689727	0.100555	0.1571	0.196805
a61	0.0435868	0.0906448	0.0774275	0.0603775	0.0724706	0.0599306	0.0685772	0.112255	0.181514	0.233217
a21	0.023039	0.0383128	0.0240832	0.0229476	0.0330086	0.0344196	0.0408673	0.108078	0.272968	0.402276
a85	0.0175123	0.030932	0.022899	0.0190374	0.02732	0.0298091	0.037161	0.103584	0.27041	0.441336
a0	0.00923246	0.027831	0.0336637	0.0229921	0.025469	0.0238178	0.0318908	0.0878264	0.250565	0.486712
a21	0.00212935	0.00531528	0.00399972	0.00388583	0.00682711	0.00846118	0.0141793	0.0610678	0.297	0.597135
a43	0.00473667	0.0134654	0.0115884	0.00953522	0.0135291	0.0165949	0.0237748	0.0702518	0.242514	0.594009
a75	0.00191175	0.00550033	0.00397341	0.00398347	0.00741545	0.010978	0.0214875	0.0756725	0.285143	0.583934
a5	0.00159033	0.00495935	0.00486169	0.0055797	0.0106668	0.015679	0.0286552	0.0778067	0.263226	0.586975
a61	0.00589939	0.0154254	0.0120676	0.0123386	0.0202606	0.0233155	0.0397945	0.0983362	0.273695	0.498867
a31	0.00717803	0.0172397	0.0159444	0.0150538	0.0220093	0.0247047	0.0408959	0.107782	0.274138	0.475054
a0	0.00932628	0.0161839	0.0167324	0.0173353	0.0238245	0.0286053	0.050964	0.123867	0.278319	0.434843
a10	0.0143216	0.0217758	0.0193419	0.0211839	0.0368613	0.0509814	0.0810191	0.162857	0.263772	0.327886
a87	0.0895128	0.107007	0.114437	0.0955932	0.107874	0.0861975	0.0784713	0.0862348	0.0996038	0.135069
</S>	0.0745564	0.0688242	0.0764882	0.0848605	0.124049	0.0822695	0.0867617	0.114247	0.128564	0.159379
