 	le	chef	est	en	voyage	</S>
a23	0.468407	0.219143	0.141825	0.0999484	0.0447786	0.0258975
a87	0.519922	0.235947	0.136394	0.0665819	0.0255085	0.0156467
a30	0.239773	0.209484	0.209949	0.168199	0.0860626	0.0865334
a13	0.44636	0.291861	0.131189	0.0640125	0.0350423	0.0315357
a57	0.289312	0.269426	0.165463	0.112303	0.0758675	0.087629
a53	0.259746	0.247801	0.184225	0.136887	0.0905975	0.0807423
a56	0.207639	0.257543	0.194974	0.139696	0.107141	0.0930071
a70	0.290515	0.285469	0.161352	0.111411	0.0843591	0.0668942
a75	0.297801	0.276314	0.16255	0.115092	0.0833883	0.064854
a6	0.228746	0.213552	0.15589	0.144135	0.133621	0.124056
a37	0.157925	0.145927	0.134383	0.16246	0.194557	0.204749
a61	0.153776	0.177331	0.179674	0.181341	0.159939	0.147939
a47	0.0795813	0.0937942	0.155119	0.236953	0.230972	0.20358
a61	0.0564512	0.0656142	0.123384	0.241344	0.275297	0.237909
a21	0.0210712	0.0267442	0.0646964	0.18241	0.347336	0.357742
a61	0.0225979	0.0236555	0.0510824	0.159755	0.34747	0.395439
a34	0.00445449	0.0054214	0.0152681	0.0718943	0.304897	0.598064
a54	0.00170433	0.00181589	0.00665283	0.044457	0.262128	0.683241
a36	0.00225347	0.00304106	0.0110521	0.0525835	0.229705	0.701365
a2	0.00160351	0.00204209	0.00795496	0.0387952	0.200894	0.74871
a57	0.026588	0.0222833	0.0255451	0.0504574	0.188781	0.686345
a87	0.238587	0.148331	0.0918722	0.0932343	0.156493	0.271483
a57	0.169089	0.134277	0.110252	0.150869	0.213727	0.221785
a87	0.0969543	0.0878275	0.0954136	0.162504	0.260389	0.296912
</S>	0.0504267	0.0536026	0.073546	0.137784	0.252642	0.431999
