 	les	piqûres	de	guêpe	sont	douloureuses	</S>
a23	0.19677	0.141902	0.197983	0.291039	0.102486	0.0412605	0.0285581
a18	0.229222	0.121917	0.128872	0.207616	0.0817605	0.0990652	0.131547
a11	0.185608	0.158215	0.16504	0.159848	0.0635236	0.101263	0.166502
a54	0.331135	0.269389	0.221031	0.108846	0.0306245	0.0206859	0.0182877
a73	0.297253	0.258058	0.264581	0.133063	0.0249399	0.0126328	0.00947315
a44	0.234088	0.226339	0.284381	0.177068	0.0379303	0.0217122	0.0184813
a53	0.247787	0.237489	0.278306	0.164754	0.0323765	0.0205301	0.0187561
a90	0.169235	0.221584	0.283107	0.166497	0.0610576	0.0501221	0.0483974
a56	0.158059	0.201877	0.26441	0.167456	0.0820119	0.0637333	0.0624514
a90	0.145078	0.19652	0.265156	0.188672	0.080878	0.0604555	0.0632404
a13	0.133386	0.19484	0.254987	0.196654	0.0973705	0.0622547	0.0605089
a53	0.121008	0.174524	0.197187	0.19499	0.131984	0.0838701	0.0964365
a15	0.0969781	0.13952	0.168463	0.172016	0.164965	0.124522	0.133535
a73	0.0712729	0.103901	0.118907	0.160102	0.228637	0.165169	0.15201
a37	0.0460124	0.0572493	0.056987	0.0761637	0.206494	0.272839	0.284254
a61	0.0360375	0.0407129	0.0403932	0.0549366	0.177074	0.285087	0.365758
a75	0.0331708	0.0320925	0.0392658	0.0606453	0.176149	0.317392	0.341285
a85	0.0280051	0.0245687	0.0273972	0.0349102	0.111018	0.291128	0.482973
a37	0.0168623	0.0152265	0.0150773	0.0194425	0.0911337	0.321547	0.52071
a66	0.00506962	0.0043328	0.00455088	0.00573041	0.0410517	0.31148	0.627785
a44	0.00305317	0.00185526	0.00202059	0.00320563	0.0157855	0.231764	0.742316
a54	0.000851666	0.000606327	0.000761519	0.00164168	0.0148451	0.259138	0.722156
a73	0.00244575	0.00169941	0.00198778	0.00308953	0.0242079	0.24515	0.72142
a2	0.00155248	0.00122613	0.00153367	0.00291935	0.0201236	0.235701	0.736944
a57	0.0104659	0.00792403	0.00921728	0.0139781	0.0411228	0.230523	0.686769
a87	0.0622657	0.0374007	0.0266781	0.0426742	0.112381	0.319077	0.399523
a23	0.0689513	0.0477995	0.0363617	0.0432693	0.116444	0.314567	0.372607
a87	0.0347678	0.0245543	0.020846	0.0451217	0.117892	0.307212	0.449607
</S>	0.00938761	0.00786933	0.00791899	0.0189422	0.0885303	0.300248	0.567104
