 	l'	assesseur	défend	le	sorcier	devant	les	juges	</S>
a87	0.280314	0.161985	0.107194	0.104925	0.14386	0.101246	0.0445034	0.0300649	0.0259081
a23	0.240948	0.130891	0.102299	0.101843	0.1082	0.0905187	0.0638819	0.0693942	0.0920234
a87	0.157006	0.120486	0.16802	0.132098	0.0755587	0.0567877	0.0553993	0.0807704	0.153873
a10	0.175102	0.160929	0.110264	0.0942352	0.0797824	0.070917	0.072195	0.0962439	0.140332
a87	0.193502	0.176575	0.0999677	0.0979694	0.0921099	0.0806878	0.0763195	0.0828844	0.0999844
a23	0.187115	0.158899	0.104506	0.0996555	0.0920457	0.0796232	0.0800201	0.0929828	0.105152
a53	0.195816	0.241932	0.1181	0.0903546	0.0562835	0.0576129	0.0593382	0.0687492	0.111813
a93	0.376856	0.342625	0.159747	0.0721707	0.0161207	0.00836753	0.00805313	0.00740021	0.00865999
a13	0.275169	0.293676	0.217946	0.138866	0.0396403	0.0121452	0.00745312	0.00633885	0.00876551
a75	0.18729	0.256804	0.21217	0.15853	0.0774533	0.0371134	0.025705	0.0203215	0.0246131
a41	0.172052	0.251451	0.235041	0.159167	0.0584896	0.0298198	0.0250456	0.0306913	0.0382419
a75	0.138038	0.220179	0.237128	0.194691	0.0883208	0.0414343	0.0257284	0.0251659	0.0293144
a41	0.151789	0.19993	0.206771	0.190087	0.0988986	0.0560006	0.0364578	0.0294886	0.030578
a94	0.100384	0.129675	0.177156	0.238956	0.133972	0.0766649	0.0560918	0.0443419	0.0427577
a90	0.0936811	0.102446	0.108647	0.278752	0.203575	0.0896494	0.0427437	0.0395922	0.0409137
a56	0.0914725	0.0861911	0.0754111	0.184443	0.229927	0.131409	0.067464	0.065588	0.0680936
a66	0.0797485	0.0727875	0.0625073	0.132359	0.237189	0.179603	0.0857307	0.0731528	0.0769227
a0	0.0222119	0.0266291	0.0290753	0.0771091	0.182505	0.240143	0.154349	0.121783	0.146194
a62	0.01341	0.017862	0.0186772	0.0419355	0.133161	0.248011	0.211175	0.141457	0.174312
a90	0.0347114	0.0305075	0.0256259	0.0378854	0.111151	0.239034	0.242233	0.149794	0.129057
a76	0.0272343	0.0326904	0.0284134	0.0364158	0.0894012	0.217232	0.218859	0.176571	0.173183
a25	0.0185578	0.0228557	0.0287367	0.036289	0.0581494	0.152949	0.228731	0.240416	0.213315
a92	0.0105723	0.0127417	0.0215322	0.0301828	0.0544997	0.135952	0.225934	0.270207	0.238379
a34	0.0156737	0.0166179	0.0212517	0.0224751	0.0421974	0.127375	0.218236	0.294082	0.242091
a56	0.00546244	0.00537403	0.00623198	0.00829293	0.0194859	0.0756187	0.186233	0.368286	0.325015
a70	0.00422577	0.00428399	0.00418896	0.00588489	0.0167844	0.0598836	0.179697	0.37072	0.354331
a61	0.00276565	0.00259051	0.00335871	0.0055451	0.0151565	0.0445305	0.155368	0.357937	0.412748
a0	0.00320876	0.0027585	0.00368506	0.00478981	0.0149459	0.0420258	0.141501	0.351125	0.435961
a11	0.00139383	0.00122774	0.00416109	0.00455376	0.0102501	0.0314559	0.13616	0.303881	0.506917
a24	0.0113643	0.0109752	0.0373871	0.0224628	0.025717	0.0418301	0.100917	0.247212	0.502134
a34	0.00591471	0.00574515	0.0241575	0.0152712	0.0186078	0.0322093	0.0905907	0.254076	0.553428
a98	0.00435397	0.00461164	0.0196225	0.01426	0.0182588	0.0348244	0.108261	0.289377	0.506431
a47	0.000758228	0.000732496	0.00284047	0.00215237	0.00320547	0.00908995	0.0436468	0.23913	0.698445
a2	0.00055479	0.000577201	0.00130733	0.00104028	0.00230748	0.00898342	0.0589939	0.31439	0.611846
a40	0.0023979	0.00223079	0.00857862	0.00785064	0.012156	0.0299346	0.098003	0.255692	0.583156
a85	0.00131426	0.00103944	0.00636798	0.00450219	0.00616084	0.0130976	0.0524131	0.225556	0.689548
a37	0.000324586	0.000357453	0.00146004	0.000999698	0.00163676	0.00537107	0.0323188	0.238573	0.718959
a66	0.000904997	0.000810966	0.00427103	0.00368366	0.0052779	0.0165602	0.0853125	0.263893	0.619286
a9	0.00788167	0.00941132	0.0359539	0.0209564	0.0163523	0.0298327	0.0901571	0.244204	0.545251
a87	0.0250657	0.0262789	0.0634467	0.032152	0.0215736	0.0344546	0.076216	0.222683	0.49813
a23	0.196319	0.201741	0.23954	0.131652	0.0580224	0.0464573	0.0341036	0.0386048	0.0535602
a99	0.0572219	0.038325	0.0635043	0.02733	0.0347834	0.080533	0.154087	0.250854	0.293361
a97	0.0101351	0.00838064	0.0127442	0.0099978	0.0246026	0.0627094	0.136116	0.32364	0.411674
</S>	0.0207782	0.0208029	0.0249699	0.0209653	0.0302322	0.048533	0.105896	0.277024	0.450799
