 	notre	parcelle	est	au	centre	du	vil	lage	</S>
a87	0.0809843	0.114484	0.141729	0.173861	0.135297	0.185302	0.108305	0.0456037	0.0144346
a23	0.138156	0.177821	0.166951	0.161531	0.199874	0.0922327	0.0397271	0.0210708	0.00263673
a82	0.193399	0.152471	0.13723	0.112823	0.145028	0.102039	0.068059	0.0602979	0.0286538
a87	0.184969	0.189785	0.173986	0.144259	0.147041	0.0938776	0.0374604	0.0196584	0.00896361
a82	0.16184	0.179358	0.18903	0.139588	0.153721	0.0997326	0.0488506	0.0214565	0.0064242
a87	0.160006	0.184568	0.176357	0.131178	0.151268	0.108638	0.0601667	0.0219468	0.00587081
a23	0.150508	0.156929	0.158792	0.135438	0.141154	0.127872	0.0886225	0.0319151	0.00876859
a12	0.0872972	0.174913	0.193049	0.140038	0.219529	0.103351	0.0524742	0.0238537	0.00549498
a18	0.127293	0.180074	0.110863	0.10175	0.162202	0.10739	0.100063	0.0918027	0.0185621
a75	0.0638194	0.0811582	0.0492808	0.0747228	0.0930351	0.142567	0.277953	0.176756	0.0407081
a92	0.0789026	0.103595	0.0694567	0.102055	0.121458	0.160138	0.232668	0.111307	0.0204193
a21	0.067837	0.0986712	0.0720084	0.100936	0.118827	0.156647	0.227596	0.107485	0.0499922
a5	0.0835819	0.111122	0.0861712	0.115993	0.119457	0.165256	0.183318	0.0793764	0.0557245
a12	0.0752607	0.109351	0.0921436	0.119528	0.124299	0.159648	0.173698	0.0764394	0.0696326
a43	0.0678495	0.117232	0.111216	0.166552	0.130771	0.169062	0.119447	0.0553929	0.0624781
a0	0.0354706	0.061541	0.0644916	0.123736	0.0924804	0.164586	0.177177	0.119973	0.160544
a31	0.0221036	0.0370505	0.0545216	0.129976	0.116535	0.257398	0.162833	0.100982	0.1186
a24	0.0162094	0.0252377	0.0295708	0.0697097	0.0426307	0.103237	0.185496	0.200957	0.326952
a75	0.0131797	0.0193306	0.0218448	0.0543654	0.0313156	0.0964606	0.160009	0.207811	0.395684
a43	0.0161612	0.0207546	0.0203983	0.0394123	0.022675	0.0460235	0.105687	0.213313	0.515576
a75	0.00949779	0.01332	0.0134413	0.0285183	0.015748	0.0418226	0.0959037	0.173894	0.607854
a56	0.00320846	0.00324139	0.00337213	0.00675887	0.00312532	0.00592911	0.02253	0.107523	0.844312
a25	0.0038691	0.00422322	0.00410153	0.00773209	0.00387853	0.00652494	0.0249003	0.0952815	0.849489
a69	0.00109348	0.00106254	0.00107973	0.00251037	0.00107904	0.00205382	0.00978985	0.0543156	0.927016
a4	0.000613609	0.00048324	0.000476553	0.00100475	0.000498999	0.00104977	0.00681144	0.0395078	0.949554
a57	0.00120698	0.00108498	0.000989407	0.00169975	0.000996758	0.00217703	0.0133957	0.074647	0.903802
a3	0.00620749	0.0052241	0.0070626	0.0139924	0.0095859	0.0196	0.0542757	0.146431	0.737621
a87	0.0497645	0.0334968	0.0474021	0.0866696	0.067055	0.107743	0.103978	0.18524	0.318651
a23	0.0814029	0.0489657	0.048461	0.0811508	0.0696606	0.143214	0.151879	0.21069	0.164575
a87	0.0404185	0.0127369	0.0103861	0.0153169	0.0207898	0.0329586	0.0945904	0.257447	0.515355
a23	0.025399	0.010173	0.00988663	0.0140566	0.014475	0.0222833	0.0636547	0.174366	0.665706
a3	0.0245369	0.00919951	0.00694306	0.0108169	0.0151379	0.0324291	0.0825832	0.291463	0.52689
a97	0.0241221	0.00936285	0.00783364	0.0125336	0.0141978	0.0272101	0.0656919	0.220307	0.618741
a87	0.0571438	0.0247688	0.0227137	0.0390707	0.0371851	0.0607606	0.102958	0.195945	0.459454
a23	0.0872578	0.0369045	0.0337353	0.0538394	0.05584	0.087544	0.134037	0.223667	0.287175
a87	0.0429806	0.0194009	0.0164311	0.0248367	0.0261908	0.0451632	0.0526121	0.236932	0.535453
a23	0.076581	0.0386283	0.032342	0.0468894	0.0426139	0.0543715	0.056562	0.18689	0.465122
</S>	0.0502329	0.0198654	0.0138801	0.0208446	0.0213068	0.0392401	0.0605265	0.285813	0.48829
