 	il	est	brimé	par	son	chef	</S>
a10	0.285009	0.302579	0.198905	0.0508906	0.0475068	0.0614168	0.0536929
a87	0.205988	0.12468	0.144249	0.13795	0.125374	0.142936	0.118823
a23	0.274744	0.15466	0.11204	0.104291	0.0991935	0.127471	0.1276
a53	0.193315	0.199343	0.183061	0.0867862	0.0783472	0.11868	0.140468
a4	0.336953	0.315021	0.184991	0.0653787	0.038162	0.0302507	0.0292444
a57	0.223328	0.306805	0.360335	0.0619694	0.0208729	0.0143156	0.0123736
a9	0.164079	0.241943	0.391707	0.13381	0.0372412	0.0176031	0.0136177
a53	0.17159	0.196514	0.265896	0.15819	0.0823575	0.0612269	0.0642255
a90	0.125102	0.105438	0.169637	0.14495	0.12882	0.127011	0.199042
a44	0.187367	0.189968	0.283268	0.123669	0.0824806	0.0638059	0.0694416
a75	0.155824	0.142346	0.256613	0.183687	0.104723	0.0737558	0.0830506
a41	0.141395	0.108066	0.158379	0.155197	0.149463	0.139524	0.147976
a27	0.143559	0.0993009	0.12562	0.138135	0.157292	0.164874	0.171218
a11	0.114602	0.0715768	0.0780506	0.149058	0.184451	0.186569	0.215693
a21	0.0756905	0.0446372	0.0514685	0.128614	0.195802	0.218703	0.285085
a31	0.0664503	0.0428455	0.0542641	0.083788	0.170385	0.260039	0.322229
a75	0.0409346	0.0264411	0.0329011	0.063418	0.141719	0.279426	0.41516
a90	0.0157285	0.00913603	0.0125607	0.0312672	0.101338	0.289945	0.540025
a15	0.0210993	0.0113607	0.0134283	0.03935	0.109574	0.267553	0.537634
a73	0.0126127	0.0063657	0.00703123	0.022281	0.0755894	0.240811	0.635309
a2	0.0086558	0.00348804	0.004377	0.0157646	0.0600353	0.218863	0.688816
a57	0.00235104	0.000866311	0.00152568	0.00835602	0.0539844	0.208011	0.724906
a10	0.0051303	0.00257685	0.00507357	0.0154334	0.0615649	0.247388	0.662833
</S>	0.0146122	0.0076766	0.0172462	0.04761	0.116245	0.296417	0.500194
