 	le	gibier	qu'	ils	ont	laissé	dans	la	cuisine	est	déjà	dépécé	</S>
a85	0.0516043	0.0471928	0.0398784	0.0463375	0.0524293	0.0749138	0.079729	0.119694	0.164603	0.19427	0.121669	0.00594417	0.00173482
a66	0.30769	0.122933	0.0682393	0.0528542	0.046674	0.0532857	0.0463022	0.0580384	0.0687778	0.0649028	0.0571754	0.0235984	0.0295292
a87	0.336803	0.152436	0.0930761	0.0644539	0.0572497	0.0537384	0.0450285	0.0456712	0.040069	0.0284817	0.0260194	0.0180685	0.0389043
a23	0.277342	0.164269	0.121759	0.0746068	0.077102	0.0668642	0.0461358	0.05132	0.0381121	0.0311664	0.0265535	0.0141906	0.0105788
a87	0.303082	0.178517	0.111906	0.0618895	0.0579537	0.0544308	0.0398995	0.0436497	0.0314517	0.0273647	0.0265773	0.0315895	0.0316885
a23	0.296138	0.183959	0.13182	0.0736474	0.0695899	0.0591401	0.0382534	0.0384418	0.0270288	0.0255491	0.0237759	0.0186885	0.0139674
a83	0.302427	0.145504	0.0973877	0.062253	0.0627029	0.0587975	0.0427252	0.0391603	0.0269055	0.0340078	0.0387098	0.0443436	0.0450763
a5	0.277008	0.204253	0.144868	0.0892489	0.0585001	0.0449203	0.0282182	0.0201096	0.0153658	0.0146539	0.0255038	0.0361098	0.04124
a37	0.256896	0.193047	0.159516	0.108151	0.0785092	0.0646478	0.0334556	0.0236526	0.0150854	0.0122979	0.0224515	0.018368	0.0139225
a5	0.152371	0.12241	0.14689	0.125892	0.113796	0.11361	0.0668467	0.0412383	0.0225046	0.02043	0.0322223	0.0271608	0.0146292
a12	0.0912086	0.0867769	0.125064	0.123765	0.11363	0.121076	0.092856	0.0615188	0.0400397	0.0359767	0.0445218	0.0416057	0.0219618
a47	0.0692628	0.0742307	0.0987606	0.108318	0.107732	0.11821	0.104522	0.0918739	0.0775791	0.0601413	0.0497107	0.0286662	0.0109928
a31	0.0595125	0.0641612	0.0985683	0.109717	0.111557	0.120552	0.10953	0.0948961	0.0823679	0.0602039	0.0442022	0.0325421	0.0121899
a88	0.0416008	0.0527582	0.0785865	0.0946415	0.0895018	0.105267	0.113842	0.112336	0.114421	0.0897701	0.0655397	0.0297746	0.011961
a98	0.0179159	0.0233777	0.0439019	0.0710395	0.0881245	0.130864	0.153321	0.144959	0.126854	0.0910256	0.0562407	0.0349887	0.0173867
a6	0.0139829	0.0220863	0.0437394	0.0761601	0.0831571	0.11635	0.140981	0.139011	0.128395	0.101965	0.0680586	0.0292503	0.036864
a0	0.0134705	0.0196283	0.0297261	0.0514987	0.0576767	0.0895864	0.113405	0.135351	0.139298	0.129773	0.0904521	0.0431875	0.0869466
a54	0.0107991	0.0154249	0.0223232	0.0371921	0.0498486	0.0908445	0.144461	0.170681	0.162867	0.147915	0.0849903	0.0278192	0.0348345
a7	0.00865791	0.0121985	0.0179912	0.0327621	0.0461242	0.0711274	0.089443	0.125177	0.1195	0.147475	0.118951	0.0724253	0.138166
a44	0.0068658	0.00953478	0.0150021	0.0283991	0.0470732	0.080932	0.118381	0.157431	0.138275	0.154237	0.096337	0.0443882	0.103144
a57	0.00662093	0.00808785	0.0124791	0.0215442	0.0356148	0.0617578	0.102733	0.1361	0.120365	0.156109	0.11903	0.0746121	0.144946
a13	0.0062647	0.00684179	0.0105683	0.0179123	0.0375657	0.0632842	0.10649	0.150236	0.107928	0.168177	0.138089	0.0860567	0.100587
a57	0.0108346	0.0103751	0.014614	0.0216619	0.0417685	0.0611289	0.0818758	0.121465	0.102275	0.146472	0.117099	0.0985552	0.171875
a40	0.0166454	0.0145758	0.0210235	0.0278214	0.053189	0.0700026	0.0794326	0.119366	0.108918	0.136254	0.110291	0.104252	0.138228
a6	0.00613298	0.00528529	0.00654118	0.00873797	0.0121621	0.0207517	0.0303275	0.0407241	0.0447361	0.0726646	0.0829125	0.198065	0.470959
a37	0.00271996	0.00296628	0.00404602	0.00680175	0.0103759	0.0172799	0.0221108	0.0320447	0.0387589	0.0620432	0.08456	0.237763	0.478529
a92	0.0011216	0.00119986	0.00179238	0.0031031	0.00660349	0.0109718	0.0170875	0.0224342	0.0228877	0.0347051	0.0425293	0.181911	0.653653
