 	l'	enfant	roule	par	terre	parce	que	sa	mère	l'	a	tapé	</S>
a23	0.0912463	0.0652073	0.0540045	0.0654917	0.0893833	0.0902579	0.113686	0.14585	0.171466	0.0819151	0.0220969	0.00567914	0.00371653
a83	0.090575	0.0542459	0.0616279	0.0753886	0.0853296	0.0892879	0.103166	0.131923	0.151553	0.0822678	0.0407392	0.0175821	0.0163144
a54	0.0963662	0.0749324	0.0692432	0.0720209	0.0612118	0.0502671	0.0471349	0.0647751	0.124695	0.114327	0.113243	0.0555906	0.0561929
a6	0.261398	0.179145	0.0776954	0.0845191	0.0614985	0.0410709	0.0392787	0.0460374	0.0668611	0.0646856	0.052184	0.0163633	0.00926297
a37	0.210063	0.174435	0.112108	0.109393	0.0831704	0.0555139	0.0510479	0.0405836	0.0333076	0.0330684	0.0366216	0.0320037	0.0286834
a6	0.180072	0.17174	0.182385	0.162996	0.112472	0.0653343	0.047328	0.0233082	0.0136388	0.0118128	0.0107489	0.00791689	0.0102479
a47	0.13618	0.14005	0.183429	0.170886	0.114673	0.0706573	0.0523213	0.0295738	0.020193	0.0217048	0.0201345	0.0152126	0.0249849
a6	0.10566	0.134808	0.199977	0.165361	0.124123	0.0805662	0.060044	0.0315365	0.0193461	0.0182038	0.0146184	0.0157281	0.0300284
a37	0.116449	0.133296	0.195535	0.184078	0.129277	0.0840148	0.0587146	0.0294279	0.0162108	0.013332	0.009046	0.00943998	0.0211797
a66	0.0760513	0.114553	0.18616	0.193629	0.152305	0.102388	0.0736314	0.0361257	0.0176948	0.0122436	0.00761666	0.00851502	0.0190861
a31	0.0420709	0.076964	0.132082	0.174817	0.169076	0.131531	0.0970476	0.0503775	0.0297025	0.0233173	0.0185016	0.0198096	0.0347029
a62	0.0437933	0.0656252	0.102846	0.141181	0.165471	0.151153	0.13723	0.0765541	0.0333	0.020607	0.0129159	0.0167693	0.0325547
a75	0.0285462	0.0430537	0.0614117	0.0873679	0.135495	0.171996	0.18331	0.120887	0.0578181	0.035518	0.0203761	0.0202293	0.0339917
a25	0.0533668	0.0665429	0.0858397	0.105007	0.116342	0.129715	0.140822	0.102321	0.0531231	0.0298179	0.0195879	0.0318333	0.0656817
a92	0.0269601	0.0393234	0.0454726	0.0662041	0.0902088	0.136964	0.179051	0.155102	0.0851472	0.0437923	0.0254054	0.0367187	0.0696508
a44	0.0333491	0.0492909	0.0552141	0.0848066	0.0997939	0.140549	0.163346	0.12296	0.0656388	0.0360022	0.0240528	0.039438	0.0855591
a11	0.0237621	0.0419599	0.0532164	0.0714292	0.093355	0.129723	0.159451	0.143509	0.0821843	0.0510433	0.0305268	0.0355298	0.08431
