 	sers-moi	du	vin	dans	ce	gobelet	</S>
a23	0.36107	0.317289	0.11764	0.0605137	0.0413954	0.0454281	0.0566629
a99	0.482438	0.232195	0.0705102	0.0456747	0.0382493	0.0497426	0.0811894
a53	0.356032	0.223394	0.0931916	0.049557	0.0406692	0.0764072	0.160749
a90	0.390929	0.248543	0.075155	0.0586278	0.0617751	0.0806239	0.0843462
a56	0.371725	0.291085	0.123453	0.0684286	0.0408406	0.049863	0.0546043
a54	0.308755	0.224737	0.11826	0.0871035	0.0608455	0.0876237	0.112675
a73	0.25102	0.192444	0.119611	0.109697	0.0846079	0.106052	0.136568
a36	0.210262	0.155604	0.10908	0.109409	0.101349	0.13339	0.180905
a41	0.298086	0.163566	0.0977188	0.07432	0.0731851	0.114502	0.178622
a37	0.192253	0.13402	0.0936213	0.0924187	0.109545	0.155267	0.222875
a75	0.298689	0.20562	0.131322	0.0929722	0.0724005	0.087148	0.111849
a5	0.175512	0.114036	0.080915	0.0882476	0.126045	0.182444	0.232799
a43	0.270155	0.18346	0.121524	0.103728	0.096781	0.111532	0.112821
a75	0.253709	0.16434	0.136492	0.128275	0.0982236	0.107066	0.111894
a73	0.117184	0.051058	0.0355255	0.0480584	0.108896	0.270202	0.369076
a2	0.109962	0.0615952	0.0497713	0.0650486	0.113442	0.238367	0.361813
a40	0.149405	0.0690285	0.0683909	0.0840446	0.109103	0.190928	0.3291
a76	0.0874119	0.0510631	0.0547713	0.0777108	0.120645	0.246483	0.361915
a69	0.0608937	0.0423443	0.0482975	0.0821674	0.142301	0.256391	0.367605
a4	0.0379412	0.0204531	0.031654	0.0622316	0.128128	0.272059	0.447532
a57	0.0423096	0.0223114	0.0326937	0.0647417	0.126748	0.255662	0.455534
a9	0.00715898	0.00343799	0.00446211	0.0110047	0.0441749	0.203216	0.726545
a99	0.00926597	0.0042791	0.00453467	0.0110053	0.0516349	0.206854	0.712426
a87	0.0478954	0.0350342	0.0304119	0.0410812	0.0905242	0.193355	0.561698
a23	0.0463063	0.058481	0.0511328	0.0467464	0.0812854	0.18234	0.533709
a87	0.0216768	0.0328764	0.0336091	0.0401765	0.0862145	0.19957	0.585876
</S>	0.00734529	0.0112457	0.0151691	0.0284155	0.0864382	0.234518	0.616868
