 	ses	yeux	laissent	couler	de	larmes	</S>
a66	0.373738	0.313385	0.178228	0.0675565	0.0338555	0.0180438	0.0151934
a87	0.443904	0.290948	0.13169	0.0666663	0.0279686	0.0184895	0.0203335
a23	0.389055	0.22545	0.220775	0.0824105	0.0338363	0.022916	0.0255567
a53	0.196962	0.142356	0.204853	0.152838	0.0889477	0.094641	0.119402
a15	0.366344	0.303199	0.235816	0.0471878	0.019934	0.0133957	0.0141243
a79	0.241317	0.29215	0.266009	0.116901	0.0412235	0.0220325	0.0203674
a56	0.24564	0.31253	0.296315	0.0926936	0.0262086	0.0138687	0.0127442
a12	0.206981	0.244616	0.321623	0.136827	0.0451601	0.0235068	0.0212856
a43	0.224704	0.236204	0.271808	0.144505	0.0592625	0.0330752	0.0304407
a47	0.187166	0.235456	0.264826	0.145664	0.0731417	0.0456183	0.0481282
a75	0.0940394	0.130456	0.20113	0.208755	0.14471	0.105728	0.115183
a47	0.0527562	0.0968823	0.188533	0.24596	0.177704	0.121037	0.117127
a36	0.0481264	0.0920433	0.160388	0.200336	0.154974	0.158284	0.185849
a75	0.0191084	0.031973	0.0755748	0.145032	0.183739	0.230612	0.31396
a12	0.0215243	0.038228	0.073979	0.156539	0.197809	0.236588	0.275334
a75	0.0126967	0.0171332	0.0220863	0.0810621	0.18778	0.29206	0.387182
a85	0.0054066	0.00620697	0.00912718	0.0426509	0.11965	0.320294	0.496664
a47	0.00615771	0.00690177	0.00750231	0.0355965	0.106332	0.323542	0.513968
a0	0.000601343	0.000691672	0.00131495	0.018462	0.101729	0.374935	0.502266
a85	0.00117816	0.00101448	0.0018741	0.0342818	0.117357	0.348285	0.496009
a37	0.00034489	0.000332517	0.000776644	0.0191491	0.110449	0.376458	0.49249
a6	0.00267955	0.00240602	0.0043723	0.0527893	0.162425	0.32366	0.451668
a36	0.00180124	0.00171042	0.00306581	0.0451025	0.153169	0.331559	0.463593
a26	0.0212832	0.0234515	0.0341784	0.101838	0.142039	0.265057	0.412153
a57	0.137547	0.108826	0.153226	0.149125	0.131987	0.152943	0.166347
a87	0.314172	0.195294	0.183352	0.10582	0.0692336	0.0598489	0.0722795
a23	0.313926	0.211652	0.170653	0.124826	0.0793867	0.0490457	0.0505109
a97	0.0238081	0.0127034	0.019685	0.12728	0.218591	0.291117	0.306815
</S>	0.00420483	0.00256725	0.00745739	0.102912	0.193089	0.321183	0.368586
