 	qui	parmi	vous	a	laissé	l'	argent	pour	les	courses	</S>
a66	0.275022	0.229598	0.0649061	0.0456408	0.0500451	0.0603025	0.0681324	0.0743303	0.0579629	0.0553272	0.0187324
a87	0.322834	0.146692	0.0657721	0.0384157	0.0264255	0.0400666	0.0482556	0.0778644	0.0783718	0.0970564	0.0582454
a10	0.507908	0.182528	0.0794553	0.0434534	0.0282962	0.0255494	0.0255161	0.022155	0.023186	0.0339976	0.0279543
a87	0.387488	0.218935	0.107063	0.0759016	0.0529754	0.0316558	0.0329405	0.0241277	0.0196234	0.0262908	0.0229982
a23	0.378308	0.227233	0.0890614	0.0610424	0.0460083	0.029643	0.0344059	0.0317109	0.0287749	0.0371866	0.0366251
a4	0.292047	0.196614	0.103789	0.10759	0.0635009	0.0402359	0.0425597	0.0365947	0.033411	0.0459936	0.0376634
a57	0.208104	0.298883	0.151474	0.14999	0.0697598	0.0321579	0.026451	0.0171252	0.0128599	0.0186956	0.0144999
a13	0.0925198	0.164776	0.193894	0.26165	0.148274	0.043327	0.0280829	0.0163632	0.0146831	0.0193756	0.0170546
a93	0.0593538	0.096466	0.17565	0.277731	0.175753	0.0547193	0.0369387	0.0253741	0.025953	0.0337332	0.0383277
a96	0.0701101	0.106597	0.19853	0.285849	0.162889	0.0597618	0.0432022	0.021274	0.0167878	0.0183824	0.016618
a90	0.0597362	0.0841067	0.185179	0.290306	0.177031	0.0729862	0.0549845	0.0264979	0.0171117	0.0169816	0.0150791
a25	0.0370684	0.0546849	0.158367	0.277926	0.199038	0.0962227	0.0750745	0.0395091	0.0237163	0.0194786	0.0189153
a56	0.0181113	0.0296329	0.0983093	0.207423	0.21843	0.14298	0.111261	0.0713124	0.0449876	0.0294924	0.0280598
a75	0.0216066	0.0267285	0.0725685	0.167793	0.254102	0.173864	0.126986	0.0676338	0.0386295	0.0252949	0.0247926
a21	0.0085919	0.0115922	0.0344801	0.0932854	0.215327	0.194986	0.153698	0.107985	0.0813196	0.052285	0.0464495
a5	0.0128807	0.0155556	0.0481685	0.0799714	0.161864	0.183021	0.156459	0.116047	0.0956742	0.0644986	0.0658597
a21	0.00928787	0.00978894	0.0231934	0.0436404	0.109541	0.176399	0.166742	0.141084	0.133462	0.0908155	0.0960447
a5	0.00514	0.00505699	0.0143626	0.0311661	0.0847553	0.15469	0.163323	0.150686	0.152733	0.117197	0.12089
a61	0.0063212	0.00592709	0.01354	0.0261741	0.0622893	0.119862	0.152092	0.159676	0.176993	0.133608	0.143518
a47	0.00426544	0.00398057	0.00888433	0.0186226	0.0489781	0.0954542	0.137883	0.16002	0.195631	0.165102	0.161179
a43	0.00424625	0.00366041	0.00596442	0.0146576	0.0477507	0.0944023	0.143407	0.153741	0.181089	0.165136	0.185946
a75	0.00584141	0.00436909	0.00487345	0.00847761	0.0197725	0.0469544	0.0954962	0.140068	0.213362	0.243276	0.217509
a92	0.000736632	0.00067775	0.00216706	0.0051058	0.0164488	0.0393305	0.0714766	0.119796	0.192983	0.198406	0.352871
a37	0.000545396	0.000493466	0.00174705	0.00412692	0.0123998	0.0315553	0.0599503	0.104886	0.191154	0.218877	0.374265
a61	0.00120748	0.000959306	0.00170529	0.00354958	0.0099367	0.0255034	0.0468495	0.0802807	0.175517	0.232451	0.42204
