 	le	singe	se	balançait	au-dessus	du	chemin	</S>
a23	0.19218	0.174002	0.197146	0.18422	0.112326	0.0599458	0.0424615	0.0377188
a10	0.171568	0.128361	0.120771	0.118025	0.11458	0.12325	0.112977	0.110468
a75	0.170552	0.149361	0.146954	0.12833	0.0936954	0.112947	0.0951626	0.102998
a35	0.466986	0.175272	0.141781	0.101268	0.0444665	0.0350587	0.0170492	0.0181187
a14	0.570312	0.160373	0.109206	0.0768715	0.0421695	0.0251946	0.00914115	0.00673236
a44	0.383106	0.206016	0.157315	0.115165	0.0838119	0.0354832	0.0111379	0.00796479
a76	0.291855	0.215934	0.182	0.126637	0.099847	0.0480441	0.0203968	0.0152848
a35	0.189682	0.193819	0.182558	0.155473	0.122672	0.0848872	0.0402451	0.030664
a14	0.220177	0.213093	0.185692	0.148195	0.104201	0.0669476	0.0335705	0.0281227
a35	0.149845	0.18663	0.182888	0.173663	0.129606	0.0873157	0.0452706	0.0447823
a24	0.0918297	0.170719	0.186186	0.204964	0.150902	0.0998325	0.0488699	0.0466971
a41	0.0841487	0.154185	0.166434	0.205399	0.170032	0.1107	0.0529828	0.0561193
a35	0.0557966	0.11686	0.141315	0.208055	0.196789	0.137076	0.0706262	0.0734815
a24	0.0353592	0.0851309	0.118291	0.201228	0.197378	0.162714	0.0990679	0.10083
a35	0.0334461	0.0746837	0.0914516	0.163466	0.195426	0.182997	0.128022	0.130507
a25	0.0156676	0.0349009	0.0550362	0.141241	0.195021	0.214517	0.161574	0.182042
a40	0.0131779	0.0245288	0.0448002	0.157172	0.200046	0.218434	0.170402	0.17144
a53	0.0163804	0.0274932	0.0389507	0.137929	0.172044	0.203956	0.179833	0.223413
a90	0.0210234	0.0385042	0.0527653	0.130468	0.170616	0.216499	0.188417	0.181708
a25	0.019194	0.032582	0.050909	0.128521	0.161992	0.200077	0.194016	0.212709
a35	0.00826275	0.0146491	0.0247088	0.0787494	0.105946	0.177233	0.247077	0.343375
a98	0.00874058	0.0135597	0.0189517	0.0699446	0.103686	0.173135	0.24203	0.369953
a14	0.00966518	0.0169953	0.0236763	0.066179	0.0933141	0.143217	0.240073	0.40688
a2	0.0119011	0.0223928	0.0249905	0.0495278	0.0603734	0.104524	0.238929	0.487361
a84	0.00414925	0.00742134	0.0090854	0.0263077	0.0394068	0.0975042	0.258289	0.557836
a44	0.000903249	0.00128307	0.00155961	0.00386848	0.00702999	0.0226994	0.154046	0.80861
a93	0.00658498	0.00704169	0.00772301	0.0127535	0.0191779	0.0449755	0.189829	0.711914
a4	0.00927973	0.0105921	0.0129216	0.0247645	0.0361397	0.0701264	0.194942	0.641234
a13	0.0102151	0.0107969	0.0127274	0.0209228	0.0256109	0.0478103	0.176797	0.695119
a9	0.0147882	0.0176678	0.0187807	0.0260941	0.0298996	0.0549324	0.187721	0.650117
a99	0.00935912	0.0132727	0.0156865	0.0212553	0.0232986	0.050039	0.18051	0.686579
a87	0.00858669	0.0104914	0.0131611	0.0188391	0.0204421	0.0406971	0.161466	0.726316
</S>	0.0242948	0.022986	0.0234636	0.0226168	0.0217058	0.0597216	0.198427	0.626785
