 	quel	âge	as-tu	</S>
a23	0.533176	0.196021	0.150701	0.120103
a83	0.511146	0.222153	0.126221	0.14048
a90	0.736874	0.158452	0.0696262	0.0350476
a25	0.707503	0.182482	0.068336	0.0416781
a90	0.634219	0.262801	0.0734292	0.0295505
a38	0.611169	0.252644	0.0910984	0.0450884
a26	0.525855	0.292531	0.123569	0.0580453
a35	0.479485	0.311401	0.138124	0.0709899
a14	0.464405	0.314779	0.146285	0.0745317
a35	0.44653	0.288619	0.163174	0.101677
a26	0.331093	0.324997	0.213164	0.130746
a94	0.316829	0.318983	0.220041	0.144147
a35	0.234784	0.302743	0.280419	0.182054
a14	0.242197	0.293477	0.278068	0.186257
a44	0.165941	0.256997	0.301672	0.275391
a57	0.0979306	0.156455	0.289321	0.456293
a53	0.0389757	0.065657	0.224858	0.670509
a98	0.0230471	0.0555108	0.220781	0.700661
a41	0.0384045	0.0661005	0.211635	0.68386
a94	0.0524101	0.0688346	0.204847	0.673908
a25	0.0342217	0.0516576	0.168638	0.745483
a87	0.0510827	0.0721724	0.205364	0.671381
a23	0.0526694	0.0626704	0.181165	0.703495
a87	0.179262	0.101873	0.217007	0.501858
</S>	0.21176	0.138456	0.198276	0.451508
