 	il	a	mal	à	l'	anus	</S>
a23	0.419621	0.254427	0.126992	0.0720081	0.0556279	0.0420501	0.0292743
a30	0.30191	0.192671	0.154154	0.139565	0.098135	0.0686972	0.0448684
a53	0.135486	0.135834	0.172259	0.18769	0.169731	0.123787	0.0752134
a76	0.310238	0.213002	0.176267	0.120032	0.0821151	0.0585722	0.0397746
a90	0.263009	0.224795	0.19222	0.142005	0.101216	0.0492847	0.0274702
a32	0.289679	0.238191	0.18773	0.123058	0.0840191	0.0462929	0.0310296
a76	0.259497	0.22652	0.196264	0.142456	0.0947643	0.0493183	0.0311797
a35	0.254823	0.241399	0.205174	0.135298	0.0844348	0.0485034	0.0303679
a66	0.293031	0.24592	0.196468	0.12322	0.0761879	0.0400081	0.025166
a54	0.222061	0.194359	0.197149	0.164419	0.110287	0.0670056	0.0447186
a30	0.24352	0.220564	0.183665	0.130126	0.0988621	0.0697066	0.053555
a35	0.180391	0.184684	0.183244	0.155279	0.117457	0.0955432	0.083402
a76	0.102397	0.121581	0.154262	0.19662	0.181887	0.140316	0.102937
a35	0.101811	0.104187	0.121986	0.176322	0.19733	0.167117	0.131246
a98	0.0748219	0.0750639	0.08499	0.142879	0.204435	0.226595	0.191215
a14	0.0465138	0.0470896	0.049317	0.08215	0.180063	0.291756	0.30311
a35	0.0447313	0.0517148	0.0664704	0.120548	0.233017	0.272695	0.210824
a66	0.0243247	0.0262318	0.0353162	0.0702852	0.175061	0.315563	0.353218
a54	0.00559913	0.00582957	0.010098	0.0286213	0.100776	0.335142	0.513934
a73	0.00834324	0.0062529	0.00869001	0.0241903	0.0823823	0.305617	0.564524
a57	0.00864118	0.00773292	0.0139757	0.0470002	0.130166	0.326033	0.466451
a87	0.0110849	0.00770027	0.0115513	0.0313596	0.0998817	0.270682	0.56774
</S>	0.01536	0.018312	0.0318449	0.0770245	0.199656	0.310857	0.346946
