 	elle	s'	étendit	du	baume	sur	le	corps	</S>
a23	0.227358	0.229904	0.218631	0.0754464	0.057043	0.0582259	0.0526408	0.0418057	0.0389454
a85	0.166686	0.123576	0.11451	0.117672	0.145628	0.148261	0.0875665	0.0554088	0.0406917
a87	0.145193	0.0836422	0.116599	0.177177	0.204092	0.107191	0.0595057	0.0564733	0.0501256
a23	0.133559	0.0724891	0.0825575	0.136261	0.165964	0.117336	0.0931773	0.0964545	0.102203
a79	0.0829623	0.0522217	0.0876273	0.082601	0.108821	0.116704	0.147163	0.172481	0.149419
a20	0.18119	0.185108	0.29626	0.193029	0.0840686	0.0188348	0.0140934	0.0158155	0.0116016
a4	0.122026	0.178926	0.308695	0.233525	0.111473	0.019193	0.0105415	0.00986889	0.00575128
a53	0.104775	0.140318	0.283192	0.242118	0.163143	0.029483	0.0129818	0.0134627	0.0105254
a90	0.114082	0.136048	0.215536	0.208892	0.173392	0.0412387	0.0272128	0.0406253	0.0429737
a32	0.123562	0.139988	0.168444	0.209953	0.198052	0.0542684	0.0277977	0.0381301	0.0398051
a0	0.117369	0.12873	0.1485	0.202766	0.197164	0.0677487	0.0452742	0.0482793	0.0441696
a24	0.124874	0.0961194	0.0938934	0.177296	0.216286	0.0828208	0.0515521	0.0760358	0.0811229
a71	0.0827095	0.0528812	0.0559585	0.108348	0.170274	0.105212	0.0948247	0.15754	0.172253
a38	0.0916914	0.0406003	0.0342188	0.0744294	0.148589	0.101481	0.0843496	0.183298	0.241343
a62	0.0727718	0.0359554	0.0309706	0.061268	0.132684	0.0959249	0.0850337	0.207518	0.277873
a21	0.0539155	0.0300894	0.0325885	0.0439886	0.0852728	0.0868362	0.0991056	0.232988	0.335216
a41	0.0550575	0.0333953	0.0379705	0.0281337	0.0492144	0.0766721	0.115284	0.248819	0.355453
a76	0.0148898	0.0121654	0.0159966	0.0104167	0.021407	0.0405874	0.104521	0.300606	0.47941
a94	0.0183599	0.0155039	0.0176785	0.011144	0.0206128	0.0394339	0.107514	0.284558	0.485195
a76	0.0133898	0.00894978	0.00797982	0.00805503	0.0231126	0.0374923	0.103081	0.313187	0.484752
a69	0.0200849	0.0150541	0.0153156	0.011308	0.0194064	0.0284293	0.0827275	0.273651	0.534023
a4	0.00906097	0.00666547	0.0069845	0.00819683	0.0198103	0.0282057	0.0892845	0.298386	0.533406
a57	0.0124019	0.0076433	0.00740599	0.0090392	0.0220854	0.0281855	0.0756804	0.267422	0.570136
a3	0.00519784	0.00250299	0.00242929	0.0032117	0.0109932	0.0267251	0.0928233	0.26383	0.592286
a87	0.00197194	0.00100122	0.000781996	0.00108191	0.00372729	0.0280056	0.126933	0.301964	0.534533
</S>	0.00122679	0.000705789	0.000594637	0.000966349	0.0044653	0.0501757	0.196441	0.351163	0.394261
