 	c'	était	lui	qui	nous	a	fait	tra	verser	la	rivière	par	pirogue	</S>
a66	0.25324	0.225605	0.160204	0.102202	0.0720548	0.0472525	0.0326447	0.0236575	0.0142511	0.0176333	0.0144686	0.0123533	0.0120514	0.0123817
a87	0.359859	0.230044	0.123368	0.0758035	0.0765224	0.0509382	0.0244412	0.0238239	0.0115905	0.00714298	0.00374038	0.00365645	0.00430785	0.00476248
a23	0.317023	0.18366	0.117186	0.0926116	0.0922978	0.0668516	0.0479402	0.0314467	0.014745	0.0098885	0.00606887	0.00533505	0.00655977	0.00838646
a12	0.131889	0.0856991	0.0607903	0.0715598	0.128235	0.126713	0.110304	0.109717	0.0517613	0.0283529	0.0228465	0.0215526	0.0222722	0.0283071
a31	0.183205	0.176687	0.140293	0.116542	0.0907254	0.0636355	0.0543329	0.0577412	0.0475904	0.0231984	0.0161211	0.0117417	0.00932561	0.00886139
a75	0.0780035	0.0951039	0.107674	0.134332	0.162478	0.119028	0.0788808	0.108247	0.0614208	0.0242528	0.0116841	0.00742729	0.00572664	0.00574045
a25	0.0653143	0.083543	0.107086	0.137256	0.148622	0.119651	0.0826403	0.129682	0.0754099	0.02608	0.010453	0.00554598	0.00406483	0.00465213
a56	0.0343546	0.0560373	0.0920167	0.134286	0.135862	0.125886	0.115071	0.131359	0.105023	0.0393802	0.0121048	0.0065772	0.0052731	0.00676867
a92	0.0592111	0.0672947	0.0925251	0.137801	0.145724	0.127758	0.109958	0.0992226	0.0865896	0.0364852	0.0121453	0.00774274	0.00747386	0.0100692
a21	0.0508507	0.0532778	0.0668046	0.0835492	0.0935115	0.0917353	0.102102	0.118478	0.136069	0.0898716	0.0403816	0.0234748	0.022319	0.0275758
a5	0.0327114	0.0298557	0.0341291	0.042501	0.0582783	0.0734492	0.0946172	0.135044	0.165892	0.143578	0.0733957	0.0397765	0.0349215	0.0418509
a12	0.0143006	0.0135666	0.0160461	0.0222575	0.032511	0.0401465	0.0729572	0.0941944	0.144599	0.18692	0.113995	0.0713611	0.0749462	0.102199
a43	0.0116492	0.0108609	0.0120169	0.0155263	0.0224053	0.029046	0.0529948	0.0715435	0.114995	0.203541	0.15403	0.091251	0.090154	0.119986
a0	0.0117618	0.0116376	0.0138006	0.0185226	0.0221198	0.0248612	0.041809	0.0425576	0.0654265	0.132365	0.13077	0.107787	0.151317	0.225264
a24	0.0175537	0.0161615	0.0188561	0.019492	0.0191499	0.0199986	0.0297905	0.0316125	0.0405773	0.0857703	0.111844	0.132657	0.197433	0.259103
a0	0.00726458	0.00782184	0.0099392	0.0108508	0.0125392	0.0146228	0.0192784	0.025112	0.0315597	0.0718526	0.124437	0.169895	0.241514	0.253312
a11	0.00884479	0.00868625	0.0109044	0.0100043	0.00944921	0.0102141	0.0141574	0.0172603	0.0235707	0.052175	0.101497	0.167767	0.261653	0.303817
a75	0.00645762	0.00575299	0.00652867	0.00537299	0.00530737	0.00652452	0.00964516	0.0124608	0.016814	0.0350585	0.0807908	0.177365	0.28778	0.344141
a85	0.000929906	0.000873594	0.00119055	0.00152509	0.00304813	0.00558219	0.00890489	0.0144442	0.0145429	0.0293111	0.0722082	0.188872	0.305702	0.352866
a5	0.000410514	0.000341569	0.000493488	0.000808038	0.00146671	0.00241355	0.00500012	0.00678499	0.00981639	0.034899	0.110619	0.212059	0.284862	0.330026
a54	0.000970537	0.000846877	0.00112763	0.0012588	0.00174446	0.00287901	0.00529964	0.00750046	0.0084595	0.0226355	0.0667946	0.172847	0.305849	0.401788
a25	0.000145232	0.000121568	0.000221504	0.000355161	0.000796554	0.00154608	0.00285016	0.0036715	0.00454015	0.0109437	0.0335498	0.117115	0.294466	0.529677
a44	0.000278299	0.000220889	0.000344914	0.000465665	0.000904983	0.00186961	0.00327514	0.00461265	0.00528382	0.0123331	0.0349338	0.105538	0.271447	0.558491
a98	0.000793813	0.000632314	0.000747591	0.000725231	0.000907324	0.0012921	0.0018148	0.0029948	0.00350583	0.00835605	0.0223391	0.0867583	0.287419	0.581714
a85	0.000190471	0.000170045	0.000293264	0.00036363	0.00061507	0.00109617	0.00183277	0.00266402	0.00324928	0.00739326	0.0205178	0.0857128	0.297963	0.577939
a92	0.000179706	0.000131292	0.000218614	0.000258431	0.00040466	0.000762021	0.00154245	0.001716	0.00227361	0.00728659	0.0326228	0.117643	0.300831	0.53413
a37	0.000177306	0.000135242	0.000228176	0.000249213	0.000333864	0.000584108	0.00122563	0.00148502	0.00192487	0.00612041	0.0255584	0.0941103	0.275851	0.592016
a26	0.00052926	0.000546638	0.000840818	0.000938699	0.00122735	0.0016218	0.00229029	0.00304013	0.00383129	0.00943894	0.0284725	0.0987034	0.293847	0.554672
a38	0.0137487	0.011732	0.0131013	0.0097021	0.00771766	0.008649	0.00924885	0.010638	0.0174484	0.0256314	0.040934	0.0987826	0.253245	0.479421
a9	0.0185164	0.0165925	0.0199667	0.0177814	0.0175576	0.0221685	0.0229661	0.0261876	0.0377184	0.0519152	0.0689691	0.108843	0.208862	0.361955
a99	0.140245	0.0896067	0.0708067	0.0558879	0.044798	0.0369904	0.0332333	0.0308014	0.0291315	0.0348362	0.0410286	0.0632872	0.114694	0.214654
a87	0.238797	0.139216	0.083204	0.0605502	0.0515546	0.039002	0.0304781	0.0270051	0.0199185	0.0230957	0.0310159	0.053258	0.0866977	0.116207
a23	0.258184	0.145908	0.101923	0.0684517	0.0553138	0.0354937	0.027296	0.0191569	0.0126673	0.0160451	0.0275863	0.0585673	0.077949	0.0954569
a87	0.105032	0.062167	0.0495895	0.0400255	0.041501	0.0420357	0.0487961	0.0274524	0.0165275	0.0293949	0.052023	0.0962633	0.145418	0.243774
</S>	0.0268199	0.0154717	0.0147372	0.016347	0.0199792	0.0244625	0.0294055	0.0218786	0.0192838	0.0437002	0.0709857	0.111732	0.191553	0.393644
