 	mon	beau	frère	m'	a	apporté	un	paquet	de	lianes	</S>
a4	0.285453	0.158724	0.115119	0.111302	0.104404	0.0903565	0.0577229	0.0421889	0.0160174	0.0101257	0.00858629
a13	0.354544	0.175194	0.11402	0.109785	0.100204	0.0676116	0.0329468	0.0218243	0.0102568	0.00720528	0.00640761
a57	0.405623	0.247985	0.130599	0.0788639	0.0491674	0.0301504	0.0135446	0.008556	0.00721141	0.0110927	0.0172067
a82	0.347991	0.280484	0.158242	0.087242	0.0453897	0.0277212	0.0125206	0.00881316	0.0077037	0.00929231	0.0146006
a10	0.295717	0.258679	0.167385	0.104896	0.0605629	0.0384611	0.0198137	0.0142612	0.0114851	0.0123465	0.0163932
a87	0.2655	0.239587	0.16513	0.114857	0.0726612	0.0462781	0.0251989	0.0183174	0.0153287	0.0170154	0.020127
a23	0.280129	0.214622	0.145584	0.11957	0.0896593	0.0588206	0.0299676	0.0205102	0.0132479	0.0129671	0.0149226
a99	0.186009	0.154095	0.125319	0.111478	0.0951082	0.0828969	0.0623958	0.0493944	0.0384803	0.0433976	0.0514246
a38	0.169983	0.139074	0.144643	0.119585	0.0928604	0.0611056	0.0503935	0.0454091	0.0419521	0.0622395	0.0727537
a90	0.166529	0.20353	0.174691	0.1255	0.0958301	0.0649003	0.0392669	0.0331483	0.0253491	0.033365	0.0378903
a25	0.105606	0.185343	0.196181	0.159254	0.118926	0.0899489	0.0462298	0.0395784	0.0199257	0.0181082	0.020899
a92	0.0772057	0.132736	0.162836	0.163696	0.145315	0.123917	0.0638732	0.0538881	0.0270456	0.0218869	0.027601
a21	0.0495762	0.0931179	0.138889	0.145461	0.126775	0.123957	0.0830311	0.0777721	0.0496745	0.0483972	0.0633492
a12	0.0647058	0.10705	0.142376	0.151186	0.134648	0.136528	0.0786811	0.0641686	0.0375398	0.0366262	0.0464904
a75	0.0622699	0.0868102	0.13889	0.167107	0.153295	0.156794	0.0811342	0.0572809	0.0293604	0.0285985	0.03846
a5	0.0257162	0.0367234	0.0803306	0.126876	0.141877	0.188656	0.138332	0.104328	0.0603292	0.0477761	0.0490561
a61	0.0283776	0.0337464	0.0726595	0.134528	0.151489	0.186463	0.122901	0.0905381	0.0612992	0.0534095	0.0645901
a62	0.0221277	0.0221069	0.0444094	0.0970585	0.130097	0.191578	0.149411	0.110032	0.0820029	0.0670079	0.0841683
a88	0.0161507	0.0204644	0.0339724	0.0666296	0.100761	0.187347	0.180637	0.141354	0.0870521	0.0694519	0.0961804
a75	0.0178512	0.0224923	0.0339404	0.0532095	0.0743118	0.124171	0.148977	0.140641	0.128219	0.114276	0.141911
a21	0.00431866	0.00481191	0.00863947	0.0185172	0.0331724	0.0781187	0.156336	0.155835	0.191504	0.175699	0.173048
a75	0.00785848	0.00757491	0.0104166	0.0175867	0.0275981	0.0572483	0.108947	0.127722	0.209658	0.204737	0.220653
a92	0.00285789	0.00306727	0.00566744	0.0125031	0.022764	0.0526436	0.100656	0.106729	0.173104	0.222193	0.297814
a37	0.00238799	0.00246168	0.00443959	0.00976411	0.0175034	0.0401009	0.0944256	0.106321	0.193832	0.240927	0.287836
a90	0.00464824	0.00442714	0.00692467	0.0100748	0.0148151	0.0260695	0.0472299	0.0590387	0.134055	0.276886	0.415831
a79	0.00315428	0.00283923	0.00425102	0.00744085	0.0111848	0.0199727	0.0456307	0.0545628	0.118077	0.270479	0.462408
a56	0.00257877	0.00229305	0.00362084	0.00618654	0.00897417	0.014896	0.033583	0.0383665	0.0917259	0.269428	0.528347
a32	0.00275772	0.00240096	0.00299465	0.00420608	0.0055409	0.00883998	0.0209144	0.0268475	0.0957531	0.29949	0.530255
a24	0.00141713	0.00140969	0.00182197	0.00298438	0.00408825	0.00616237	0.0142396	0.0199288	0.0795518	0.282611	0.585785
a71	0.00233632	0.00222033	0.00337449	0.00589243	0.00857342	0.0122907	0.0258207	0.0373214	0.111142	0.275446	0.515582
a9	0.0263591	0.0197247	0.0192438	0.0223741	0.0273247	0.0327476	0.0629768	0.0741242	0.11582	0.206176	0.393129
a10	0.219799	0.127747	0.0841183	0.0714187	0.0694163	0.0587409	0.0729985	0.0655479	0.059242	0.0708051	0.100166
a87	0.184045	0.125181	0.0867653	0.079477	0.0756321	0.0569754	0.054818	0.0570346	0.0701351	0.103689	0.106248
a23	0.155832	0.108585	0.0801683	0.0760399	0.0748822	0.0568093	0.0653969	0.0761524	0.086317	0.112958	0.106859
a87	0.0759795	0.0475918	0.0349591	0.0321729	0.0334658	0.0297769	0.0515787	0.0633407	0.113293	0.211429	0.306412
</S>	0.0183156	0.0112879	0.00838692	0.010793	0.0142973	0.0181719	0.0333546	0.042318	0.096752	0.259887	0.486435
