 	autrefois	tout	le	monde	restait	au	village	</S>
a23	0.177894	0.113089	0.0946181	0.0981383	0.104772	0.105657	0.141634	0.164198
a87	0.504216	0.193166	0.0701691	0.048728	0.0306516	0.0359263	0.049502	0.0676414
a23	0.423965	0.219637	0.104013	0.0658995	0.0327301	0.0359749	0.0476447	0.0701368
a93	0.322067	0.153727	0.0800392	0.0590435	0.04583	0.0618311	0.11539	0.162073
a98	0.471007	0.260548	0.106148	0.0769998	0.025141	0.015515	0.0199752	0.0246661
a73	0.348405	0.228967	0.156473	0.139911	0.0576226	0.0224777	0.0213645	0.02478
a2	0.312559	0.216552	0.162652	0.159384	0.0789055	0.0259122	0.0215025	0.0225325
a40	0.247987	0.201253	0.167725	0.159592	0.102812	0.0447107	0.0376631	0.0382562
a98	0.220275	0.202882	0.189505	0.172544	0.11234	0.0411015	0.0302458	0.0311064
a73	0.247485	0.225939	0.190506	0.148181	0.0896265	0.0386798	0.0289407	0.0306418
a90	0.206051	0.215595	0.196247	0.16184	0.104837	0.042937	0.034901	0.0375919
a73	0.183194	0.205229	0.193698	0.163894	0.116455	0.0539438	0.0398506	0.0437368
a84	0.162211	0.190857	0.189128	0.161545	0.117691	0.0683213	0.0531992	0.0570481
a57	0.13576	0.14433	0.166226	0.149444	0.130134	0.0882275	0.0825593	0.103319
a97	0.11357	0.104519	0.109609	0.0980343	0.136953	0.129456	0.126227	0.181632
a99	0.141865	0.130005	0.127936	0.109608	0.132003	0.11289	0.0959525	0.149741
a54	0.169462	0.128357	0.103045	0.097823	0.115212	0.11657	0.112696	0.156836
a73	0.0624435	0.0659365	0.0722894	0.0854273	0.115974	0.142275	0.187943	0.267712
a7	0.0874529	0.112452	0.146335	0.150243	0.126141	0.107488	0.124309	0.145578
a54	0.0689869	0.0724025	0.0900222	0.103442	0.139954	0.135544	0.166002	0.223646
a73	0.0522102	0.0499096	0.0585634	0.0687812	0.131338	0.157565	0.204964	0.276669
a84	0.0622136	0.0648273	0.0877575	0.098553	0.128114	0.143177	0.179852	0.235506
a11	0.0483943	0.0439612	0.0544866	0.0602825	0.107493	0.149095	0.209412	0.326876
a90	0.100555	0.0723335	0.0641779	0.0592392	0.100469	0.118712	0.167903	0.31661
a15	0.0590851	0.0478876	0.0485776	0.0489565	0.0851306	0.125944	0.214858	0.36956
a73	0.0518081	0.0445665	0.0503659	0.0532205	0.112125	0.161483	0.215376	0.311055
a84	0.061645	0.0466334	0.047089	0.0475423	0.0951417	0.147179	0.214713	0.340056
a38	0.026726	0.0181703	0.0188572	0.0180582	0.072723	0.193612	0.23363	0.418224
a98	0.0596314	0.0300901	0.0245115	0.0203435	0.0499994	0.124226	0.224228	0.46697
a73	0.0724533	0.0410583	0.0306331	0.0250969	0.0424445	0.104932	0.231769	0.451613
a58	0.0410828	0.0269179	0.0262914	0.0240334	0.052235	0.120124	0.235764	0.473551
a20	0.0177297	0.0115142	0.0113492	0.0103131	0.0276734	0.106109	0.238483	0.576828
a73	0.105749	0.0595406	0.0399731	0.0267338	0.0351975	0.0825003	0.20463	0.445675
a69	0.0229222	0.0147354	0.0154475	0.0140687	0.0371358	0.105259	0.246904	0.543527
a58	0.0717337	0.043283	0.0383276	0.0325697	0.0565066	0.109795	0.223649	0.424135
a53	0.0410527	0.0250899	0.0199029	0.0147313	0.0265034	0.0792709	0.233392	0.560057
a90	0.133674	0.0746465	0.0464171	0.0306723	0.0369382	0.0735754	0.19292	0.411157
a57	0.0716857	0.0427732	0.0299354	0.0203391	0.0279118	0.0735292	0.221255	0.512571
a82	0.0280894	0.0162321	0.013557	0.0105398	0.0208835	0.0745557	0.239127	0.597016
a53	0.0149027	0.00776978	0.0048478	0.00393852	0.0112196	0.0634237	0.235561	0.658337
a4	0.0374271	0.0185101	0.0113583	0.00763213	0.0175591	0.0672266	0.226255	0.614032
a57	0.0561747	0.0313679	0.0216779	0.0153147	0.0220304	0.0560304	0.194823	0.602581
a82	0.0238304	0.0122062	0.00712604	0.00476976	0.0101796	0.0569223	0.228859	0.656107
a87	0.0158406	0.00900751	0.0055703	0.00405075	0.00986065	0.047627	0.213988	0.694056
a23	0.018088	0.00982315	0.00537268	0.00409176	0.0113545	0.0687829	0.26278	0.619707
a87	0.057141	0.0350401	0.0215282	0.0161269	0.0292337	0.113489	0.306994	0.420447
</S>	0.0653715	0.038679	0.021088	0.0171045	0.0326416	0.0890024	0.258881	0.477232
