 	avez-vous	déjà	cuisiné	</S>
a97	0.329205	0.251564	0.176233	0.242997
a99	0.319636	0.264447	0.230639	0.185278
a62	0.673337	0.191468	0.0745373	0.0606572
a12	0.641367	0.18176	0.108087	0.0687853
a21	0.478841	0.24952	0.167583	0.104057
a12	0.411761	0.337651	0.174193	0.0763949
a31	0.260127	0.379252	0.215228	0.145392
a75	0.106927	0.228651	0.279	0.385422
a98	0.0586661	0.13933	0.309507	0.492497
a47	0.0337286	0.112999	0.320879	0.532393
a36	0.0204852	0.0524433	0.249821	0.67725
a2	0.0593787	0.0729861	0.181601	0.686034
a57	0.137198	0.104052	0.226556	0.532194
a97	0.245648	0.197239	0.230886	0.326228
a10	0.34433	0.240002	0.221068	0.1946
a57	0.191122	0.236528	0.285106	0.287245
</S>	0.0913858	0.194406	0.276541	0.437667
