 	c'	est	un	garçon	plein	d'	astuce	</S>
a40	0.282888	0.132695	0.067099	0.0546477	0.0671209	0.0966617	0.146329	0.152559
a73	0.150417	0.101604	0.0722705	0.0645713	0.0715648	0.0968191	0.172629	0.270124
a44	0.440157	0.217533	0.106508	0.0742893	0.0487211	0.0348252	0.0397953	0.0381711
a26	0.41021	0.205909	0.0908824	0.0646747	0.0557449	0.0504995	0.0650966	0.0569825
a38	0.393706	0.243875	0.1089	0.0607878	0.0448604	0.0407164	0.0560304	0.0511245
a24	0.357193	0.266788	0.156924	0.0820059	0.042875	0.0303634	0.032022	0.0318281
a98	0.329994	0.244997	0.160131	0.0918787	0.0512201	0.0374551	0.0404343	0.0438887
a13	0.302671	0.274972	0.206066	0.111611	0.0412871	0.0228372	0.0204831	0.0200725
a38	0.237198	0.229862	0.182785	0.107309	0.0586357	0.0466958	0.0655274	0.0719875
a62	0.175742	0.193203	0.198483	0.14784	0.0841067	0.0550248	0.0692375	0.0763627
a98	0.11633	0.102503	0.110116	0.123794	0.156093	0.124374	0.129674	0.137117
a9	0.106364	0.0932721	0.0944498	0.107607	0.149103	0.135355	0.15245	0.161399
a87	0.0628818	0.067079	0.0781875	0.0905215	0.134243	0.132366	0.190902	0.24382
a79	0.0338749	0.0402666	0.0554939	0.0777187	0.107172	0.135742	0.241282	0.30845
a76	0.0279893	0.023621	0.0234515	0.0295659	0.0732011	0.149095	0.311556	0.36152
a73	0.0305796	0.0293838	0.035375	0.0491184	0.0986173	0.19434	0.287689	0.274897
a12	0.0148267	0.0143486	0.0170401	0.0244902	0.0626846	0.170657	0.345203	0.35075
a62	0.00858606	0.00691451	0.00714603	0.0109188	0.0371154	0.138405	0.375225	0.415689
a24	0.00445931	0.00365675	0.00334951	0.00479621	0.0174993	0.0829436	0.367693	0.515603
a25	0.00446415	0.00321445	0.00258018	0.00345295	0.0118942	0.0522639	0.301063	0.621067
a56	0.00248166	0.00195597	0.00193836	0.00330237	0.0133206	0.0540464	0.292521	0.630433
a98	0.00238745	0.0018409	0.00169606	0.00275104	0.0120253	0.0579224	0.298001	0.623376
a73	0.0011451	0.000890523	0.000936067	0.00188193	0.00947087	0.0551187	0.313237	0.617319
a94	0.000928324	0.00080901	0.000893495	0.00198934	0.0123695	0.0739317	0.348615	0.560463
a90	0.00108191	0.000892289	0.000888515	0.00187561	0.010915	0.0608515	0.324427	0.599068
a41	0.00214991	0.00180713	0.00167685	0.00253708	0.0109474	0.0591137	0.316082	0.605686
a94	0.00387278	0.00305393	0.00294182	0.00556114	0.0213291	0.0823265	0.299802	0.581113
a70	0.00332453	0.0026115	0.00246621	0.00493862	0.0208955	0.0775308	0.2956	0.592633
a66	0.0034661	0.00298745	0.00300202	0.00543669	0.020585	0.0759146	0.290766	0.597842
a50	0.00521647	0.00458251	0.005228	0.00937957	0.026547	0.0853259	0.256257	0.607463
a98	0.00643254	0.0051803	0.0052056	0.00947409	0.0289102	0.091033	0.259476	0.594288
a9	0.00468021	0.00386145	0.00413055	0.00818514	0.0284034	0.0912927	0.278966	0.580481
a87	0.00614361	0.00483796	0.00556849	0.0104167	0.0280183	0.0831529	0.266734	0.595128
</S>	0.0106987	0.00804678	0.00791621	0.011819	0.0289365	0.0972916	0.262573	0.572718
