 	notre	père	a	l'	habitude	de	culpabiliser	les	autres	</S>
a85	0.285878	0.184487	0.130589	0.104056	0.115673	0.10041	0.0615641	0.00587445	0.00566814	0.00580056
a66	0.5343	0.103469	0.076166	0.0614509	0.0693978	0.0283606	0.0426502	0.0281906	0.0290563	0.0269591
a87	0.312715	0.166518	0.0929271	0.06358	0.0518635	0.0308383	0.0220044	0.0470394	0.0888524	0.123662
a10	0.390347	0.179915	0.119596	0.0874916	0.0555089	0.0430311	0.022819	0.0194304	0.032988	0.0488736
a87	0.378118	0.163557	0.135592	0.106106	0.0648872	0.0435452	0.0229811	0.0177724	0.0280646	0.0393761
a23	0.342925	0.150482	0.130375	0.11134	0.0831914	0.0613446	0.0344191	0.0217483	0.02832	0.0358537
a40	0.248455	0.0975275	0.102227	0.118613	0.0893127	0.0785328	0.0762196	0.0485638	0.0631823	0.0773663
a47	0.257804	0.189232	0.154862	0.0940201	0.0910124	0.0633477	0.0766814	0.0245014	0.023893	0.0246463
a36	0.18353	0.160468	0.185968	0.127695	0.119303	0.0860844	0.0735145	0.0205997	0.0205683	0.0222698
a37	0.10324	0.105077	0.152671	0.152124	0.153274	0.129472	0.122689	0.0287931	0.0264486	0.026212
a0	0.149646	0.12564	0.141814	0.144626	0.137224	0.12914	0.099311	0.0247412	0.022339	0.0255182
a75	0.173769	0.157411	0.161702	0.162806	0.134835	0.105026	0.0627113	0.012651	0.0129204	0.0161679
a12	0.103459	0.10512	0.124598	0.14893	0.157354	0.133306	0.111929	0.034271	0.0355227	0.0455101
a62	0.0729662	0.0779534	0.104818	0.159034	0.182112	0.177477	0.121167	0.0257518	0.0316086	0.047111
a21	0.0396302	0.0486878	0.0839436	0.185108	0.242575	0.210758	0.107897	0.01944	0.025276	0.0366837
a85	0.0289918	0.0373377	0.0630771	0.142411	0.222769	0.2319	0.137543	0.0340828	0.0409359	0.0609522
a47	0.00773436	0.0111401	0.0200225	0.0407511	0.0702132	0.0735642	0.0710494	0.142078	0.224065	0.339383
a37	0.00732702	0.0107035	0.021109	0.0496318	0.10096	0.120273	0.0899881	0.102835	0.184638	0.312534
a12	0.0109336	0.0160784	0.0269824	0.0613037	0.121198	0.145873	0.128086	0.098894	0.154698	0.235953
a43	0.00807963	0.0125846	0.0220802	0.0425043	0.0735736	0.102647	0.154215	0.166157	0.178015	0.240144
a93	0.00783846	0.014302	0.024238	0.0404149	0.0632556	0.0647678	0.110416	0.179036	0.228828	0.266903
a90	0.00620578	0.0116692	0.0198376	0.0323521	0.0439136	0.0456716	0.0853186	0.19284	0.253097	0.309095
a15	0.00297598	0.00503619	0.00786482	0.0121778	0.0173912	0.0228771	0.0449072	0.210039	0.303321	0.373409
a79	0.000111941	0.000203347	0.00036065	0.000655739	0.00134338	0.00172244	0.00543099	0.142129	0.386727	0.461315
a75	7.73378e-05	0.000129639	0.000200797	0.000361658	0.000827823	0.00112356	0.00457249	0.145881	0.392269	0.454557
a21	0.000122376	0.000182247	0.000276866	0.000468261	0.00109261	0.00168726	0.00648693	0.175783	0.38107	0.43283
a12	0.000246167	0.000362587	0.000442379	0.000466111	0.0006882	0.000748499	0.0024062	0.129507	0.380399	0.484733
a96	0.000152382	0.000297097	0.000443619	0.000548422	0.000927237	0.000939143	0.00254992	0.11695	0.373811	0.503381
a88	0.00026571	0.00053304	0.000776151	0.000974312	0.00175768	0.00161558	0.00466694	0.104296	0.34952	0.535595
a71	0.000288932	0.0005296	0.000791075	0.00125733	0.00305349	0.00302782	0.0118339	0.132378	0.331336	0.515503
a9	0.00455413	0.00777466	0.00837688	0.00905281	0.0124638	0.0181636	0.0501879	0.125917	0.277862	0.485647
a87	0.0586282	0.0552723	0.0424374	0.0412359	0.0572603	0.0790779	0.13188	0.120924	0.164541	0.248742
a23	0.25075	0.140958	0.0823456	0.0830089	0.0873703	0.0932966	0.0756133	0.0570332	0.0590444	0.0705802
a87	0.100921	0.0396795	0.0121831	0.00931047	0.0105716	0.00789847	0.00904746	0.122497	0.28449	0.403401
</S>	0.00913054	0.00381947	0.00170535	0.00171753	0.00236098	0.00275225	0.00563904	0.130198	0.360943	0.481734
