 	les	militaires	ont	affronté	une	bande	de	voleurs	ce	matin	</S>
a84	0.365246	0.174177	0.0778058	0.08218	0.0780768	0.051816	0.0480995	0.0497084	0.0359234	0.020594	0.016373
a30	0.273084	0.0868567	0.0647031	0.0968167	0.0804324	0.069835	0.0902329	0.104337	0.0643026	0.03814	0.03126
a87	0.21199	0.169448	0.120931	0.104516	0.0791558	0.0855929	0.0988367	0.057069	0.0275846	0.0219876	0.0228887
a40	0.190283	0.169501	0.114521	0.105949	0.075897	0.0817842	0.103245	0.0681557	0.0374867	0.0283783	0.0247993
a79	0.294016	0.162162	0.0855826	0.0960234	0.0489387	0.0363386	0.0651406	0.0959175	0.0563481	0.0320269	0.0275061
a37	0.285294	0.220151	0.11161	0.120061	0.0617705	0.0350134	0.0479697	0.0523929	0.0335479	0.0178153	0.0143741
a90	0.176498	0.260274	0.175049	0.150398	0.0715854	0.0322522	0.0359094	0.0300858	0.02747	0.020274	0.0202036
a25	0.167349	0.224925	0.187052	0.182372	0.0853811	0.039739	0.0385297	0.0268087	0.0193714	0.0137939	0.0146783
a98	0.147252	0.200766	0.209795	0.155271	0.10581	0.0580904	0.0406381	0.0205061	0.0174267	0.0182892	0.0261553
a85	0.0810179	0.156076	0.209245	0.166527	0.132749	0.0940088	0.0624521	0.0273956	0.0193311	0.0207489	0.0304476
a47	0.0746467	0.100159	0.149987	0.155618	0.168299	0.133603	0.0888565	0.0400795	0.028001	0.0265092	0.0342417
a36	0.0443561	0.0644866	0.112724	0.130765	0.189348	0.178649	0.12146	0.0449965	0.0314994	0.0338892	0.0478266
a85	0.0392172	0.0524226	0.0938973	0.116357	0.174925	0.194036	0.130222	0.0522298	0.0371361	0.0445244	0.0650334
a6	0.0268652	0.0300832	0.0534905	0.0767793	0.151191	0.184698	0.125136	0.0650761	0.0734579	0.0880955	0.125127
a12	0.018606	0.0200942	0.0352387	0.0541501	0.124694	0.179628	0.132561	0.0802807	0.0948863	0.11289	0.146971
a18	0.014951	0.0143661	0.0270799	0.0325366	0.0837896	0.188238	0.15179	0.102626	0.107422	0.121493	0.155707
a24	0.00939244	0.0109378	0.0243341	0.0265744	0.0594825	0.180196	0.145566	0.117356	0.107349	0.122999	0.195813
a61	0.00798725	0.00802509	0.0156473	0.0197939	0.0414498	0.107765	0.100067	0.119382	0.161055	0.187025	0.231802
a31	0.00511946	0.00457563	0.0097307	0.0122883	0.0309566	0.0957836	0.0908765	0.111963	0.174736	0.21632	0.24765
a43	0.0043501	0.00429014	0.00938763	0.0135377	0.0313886	0.0755337	0.0705985	0.0916958	0.168899	0.243567	0.286752
a56	0.00202096	0.00235802	0.00523307	0.00854179	0.0195043	0.0471029	0.0466326	0.0733933	0.161749	0.266598	0.366866
a75	0.00149464	0.00159741	0.0040508	0.00587089	0.0151388	0.045476	0.0423358	0.0559674	0.140637	0.273099	0.414333
a56	0.000858504	0.00123371	0.00478498	0.00691059	0.0196718	0.0716093	0.0554264	0.0494271	0.111492	0.254776	0.423809
a25	0.000718777	0.00103211	0.00344765	0.00534326	0.0114268	0.0411887	0.0343067	0.0447	0.106339	0.253347	0.498151
a15	0.000468819	0.000680883	0.00207029	0.00354216	0.00714305	0.0250939	0.0254801	0.0447724	0.10822	0.269151	0.513378
a7	0.00107084	0.00136329	0.00385083	0.00577388	0.0100115	0.0273035	0.0252801	0.0394013	0.0971211	0.264422	0.524402
a84	0.00808001	0.00838126	0.0172458	0.0284748	0.0420997	0.0678462	0.0517401	0.0481823	0.0937253	0.210596	0.423628
a87	0.0387277	0.0338867	0.0473634	0.0748271	0.0958921	0.128558	0.10395	0.0853926	0.0835987	0.124534	0.18327
a23	0.123777	0.089209	0.0792456	0.104297	0.0868816	0.0877488	0.0922399	0.0883373	0.0809076	0.0806937	0.0866624
a87	0.0177953	0.0157479	0.0360462	0.0417209	0.0448914	0.0670237	0.0849721	0.117962	0.182567	0.202985	0.188288
a97	0.00841039	0.00932477	0.021966	0.0296304	0.0315615	0.0517553	0.0516212	0.0654206	0.124905	0.200243	0.405162
</S>	0.0275536	0.0287853	0.0453112	0.0606496	0.0589468	0.0930929	0.126876	0.13118	0.126455	0.122872	0.178277
