 	la	couverture	est	sur	le	lit	</S>
a84	0.674313	0.149158	0.0438234	0.0361288	0.0320679	0.0292478	0.0352617
a20	0.543935	0.0849549	0.0394949	0.0557189	0.0874106	0.0873996	0.101087
a44	0.1263	0.0673746	0.0591854	0.081243	0.126781	0.223807	0.315309
a54	0.428698	0.156401	0.0703166	0.0711003	0.0766757	0.0929606	0.103848
a6	0.287407	0.161347	0.0873455	0.102417	0.112169	0.129006	0.120309
a37	0.366508	0.186866	0.0906181	0.0926965	0.0811331	0.0808793	0.101299
a96	0.222448	0.16225	0.141002	0.139088	0.116613	0.101204	0.117395
a44	0.116952	0.105046	0.169421	0.173594	0.162499	0.14232	0.130169
a96	0.0864993	0.0938721	0.163438	0.179816	0.172691	0.151868	0.151816
a0	0.0458295	0.0623422	0.149639	0.175287	0.191891	0.192007	0.183004
a54	0.0268371	0.0388216	0.116474	0.156305	0.198297	0.241982	0.221283
a7	0.0136261	0.0412187	0.120771	0.177162	0.184569	0.201266	0.261387
a44	0.00281109	0.0227971	0.0870088	0.129844	0.15067	0.245883	0.360986
a13	0.00218723	0.0171859	0.0952003	0.145965	0.197334	0.245917	0.296211
a70	0.000867647	0.0107559	0.0807887	0.116735	0.174834	0.243779	0.37224
a88	0.000946785	0.00939202	0.0645082	0.0887619	0.166079	0.277519	0.392793
a71	0.000333647	0.00403683	0.0379848	0.0667976	0.157701	0.306044	0.427102
a9	0.000768722	0.00454187	0.041071	0.0698924	0.181382	0.313398	0.388946
a87	0.0173953	0.0372917	0.134215	0.129428	0.231195	0.219279	0.231196
a23	0.188681	0.154019	0.137379	0.13504	0.16678	0.121188	0.0969134
a97	0.0534755	0.109556	0.10669	0.158729	0.212468	0.172865	0.186217
a87	0.00700789	0.0361469	0.0836654	0.150342	0.236128	0.235473	0.251236
a97	0.0122556	0.0504555	0.0858312	0.13895	0.19892	0.207203	0.306385
</S>	0.0307993	0.0926011	0.112735	0.147011	0.186705	0.184013	0.246136
